parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram
tp,2,profile_13_burstgpt_3_c2,throughput,total,42,667428.5714285715,667428.5714285715,0.0,0.0,320422668190.4762,320422668190.4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6541369.539047619,6541369.539047619,0.0,True
pp,2,profile_13_burstgpt_3_c2,mb1,total,42,113571.42857142858,113571.42857142858,0.0,0.0,8778703238.095238,8778703238.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655644.1752380952,655644.1752380952,0.0,True
pp,2,profile_13_burstgpt_3_c2,mb16,total,42,48619.04761904762,13142.857142857143,35476.19047619047,2.6992753623188404,8778703238.095238,8778703238.095238,0.0,0.0,1.7097332822325368,0.8548666411162684,1.9557412015641666,0.9778706007820833,2.419892342617153,0.1152329686960549,330882.2704761905,153501.3180952381,1.1555663142312462,False
pp,2,profile_13_burstgpt_3_c2,mb4,total,42,56714.28571428571,32761.904761904763,23952.380952380947,0.7311046511627904,8778703238.095238,8778703238.095238,0.0,0.0,1.4189585652080527,0.7094792826040264,1.5665659438322077,0.7832829719161039,1.1785457789240112,0.05612122756781006,371358.46095238096,251596.5561904762,0.47600772671640473,False
pp,4,profile_13_burstgpt_3_c2,mb1,total,42,113571.42857142858,113571.42857142858,0.0,0.0,8778703238.095238,8778703238.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655644.1752380952,655644.1752380952,0.0,True
pp,4,profile_13_burstgpt_3_c2,mb16,total,42,48619.04761904762,24476.190476190477,24142.85714285714,0.9863813229571984,8778703238.095238,8778703238.095238,0.0,0.0,1.284176267259153,0.6420881336295765,1.9001066477070745,0.9500533238535372,1.2774067376817546,0.060828892270559744,330882.2704761905,210167.98476190478,0.5743704772686505,False
pp,4,profile_13_burstgpt_3_c2,mb4,total,42,56714.28571428571,36761.90476190476,19952.380952380947,0.5427461139896371,8778703238.095238,8778703238.095238,0.0,0.0,1.150583173455493,0.5752915867277465,1.1621933878421615,0.5810966939210808,0.8333013216660216,0.0396810153174296,371358.46095238096,271596.55619047617,0.3673165306703659,False
pp,8,profile_13_burstgpt_3_c2,mb1,total,42,113571.42857142858,113571.42857142858,0.0,0.0,8778703238.095238,8778703238.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655644.1752380952,655644.1752380952,0.0,True
pp,8,profile_13_burstgpt_3_c2,mb16,total,42,48619.04761904762,36571.42857142857,12047.619047619046,0.32942708333333326,8778703238.095238,8778703238.095238,0.0,0.0,0.7551471188377407,0.37757355941887033,1.8822431567721296,0.9411215783860648,0.47740130535917236,0.022733395493293923,330882.2704761905,270644.1752380953,0.22257303407731432,False
pp,8,profile_13_burstgpt_3_c2,mb4,total,42,56714.28571428571,48904.76190476191,7809.523809523802,0.15968841285296964,8778703238.095238,8778703238.095238,0.0,0.0,0.2940178570698611,0.14700892853493056,0.2931034482758621,0.14655172413793105,0.26973208854437386,0.012844385168779707,371358.46095238096,332310.8419047619,0.11750329548022945,False
