parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
pp,h0,decode,parallel_size,2,90,0.37716288138406473,0.07701752594113923,0.027679568726024836,0.01571838124826887,0.4187867321154249,0.20939336605771244,0.020791882994000924,0.33849346885001746,0.07509003217650588,phase31_fixed_repeated
pp,h0,decode,parallel_size,4,90,0.604788876779663,0.13803354712078206,0.027679568726024846,0.015718381248268885,0.5536970314182644,0.2768485157091322,0.028432951376406716,0.5439708120420662,0.13459704694249788,phase31_fixed_repeated
pp,h0,decode,parallel_size,8,90,0.6560169743894186,0.20496172334184193,0.027679568726024836,0.01571838124826887,0.5705284649712469,0.28526423248562344,0.02799203247945811,0.5981342827997322,0.2000223642939202,phase31_fixed_repeated
pp,h0,decode,source,burstgpt,243,0.5042044482050556,0.12090157614394559,0.03005600916873808,0.017751526108314174,0.49132865127527986,0.24566432563763993,0.02461786187155107,0.4617273476099804,0.11817105407224937,phase31_fixed_repeated
pp,h0,decode,source,mooncake,27,0.9220557413316544,0.31970650527068795,0.006291604741605666,0.006291604741605671,0.7214162335389351,0.36070811676946757,0.03582879932225953,0.7797824171495633,0.3060875019959771,phase31_fixed_repeated
pp,h0,total,overall,all,270,0.4692938984896487,0.13277732394208344,0.06818040411715214,0.03622735682701307,0.5273984954332426,0.2636992477166213,0.033081659538774816,0.2557913253480445,0.09427368441389544,phase31_fixed_repeated
pp,h0,total,model,deepseek-v2-lite,90,0.4692938984896487,0.13277732394208341,0.06818040411715214,0.03622735682701313,0.5629915943755612,0.2814957971877806,0.035029934574675674,0.2775983988483916,0.1014173326712724,phase31_fixed_repeated
pp,h0,total,model,qwen3-30b-a3b,90,0.4692938984896487,0.13277732394208341,0.06818040411715214,0.03622735682701313,0.5629915943755612,0.2814957971877806,0.035029934574675674,0.2775983988483916,0.1014173326712724,phase31_fixed_repeated
pp,h0,total,model,qwen3-8b,90,0.4692938984896487,0.13277732394208341,0.06818040411715212,0.03622735682701301,0.45621229754860504,0.22810614877430252,0.029185109466973093,0.21217717834735023,0.08274131135606404,phase31_fixed_repeated
pp,h0,total,policy,mb1,90,0.03674680680860002,0.02755520674270671,0.06818040411715212,0.03622735682701305,0.04660097634889971,0.023300488174449855,0.0023717872839002373,0.030624090394300744,0.02222204471441471,phase31_fixed_repeated
pp,h0,total,policy,mb16,90,1.0415758901643384,0.7697803901711616,0.06818040411715214,0.036227356827013064,0.9736105694665514,0.4868052847332757,0.06692169676647777,0.4997293037517559,0.2982011197266111,phase31_fixed_repeated
pp,h0,total,policy,mb4,90,0.32955899849600756,0.2326097630566495,0.06818040411715214,0.0362273568270131,0.5619839404842764,0.2809919702421382,0.029951494565946434,0.23702058189807684,0.13866022924285726,phase31_fixed_repeated
pp,h0,total,parallel_size,2,90,0.3096215056879447,0.07035131842872248,0.06818040411715215,0.03622735682701305,0.43740439011545124,0.21870219505772562,0.027978835722803443,0.17121795110075688,0.04899971929914732,phase31_fixed_repeated
