topology,backend,op,group_size,payload_scope,payload_bytes,input_payload_bytes_per_rank,repeats,pooled_samples,median_latency_us,mean_latency_us,p95_latency_us,p99_latency_us,min_latency_us,max_latency_us,latency_cv,repeat_median_cv,intrinsic_min_median_latency_us,intrinsic_min_mean_latency_us,intrinsic_min_p95_latency_us,intrinsic_min_p99_latency_us,intrinsic_min_latency_cv,intrinsic_min_repeat_median_cv,ring_equivalent_factor,ring_equivalent_bytes,algorithmic_bandwidth_GBps,ring_equivalent_bus_bandwidth_GBps,intrinsic_min_algorithmic_bandwidth_GBps,intrinsic_min_ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,524288,262144,5,500,43.55200007557869,118.38905452936888,53.727999329566956,73.05823788046752,34.01599824428558,9740.799903869629,6.968634149649086,0.030363869654009428,36.33600100874901,38.42233602702618,46.072000451385954,56.22911971062421,0.39880439751885677,0.02377963555396699,0.5,262144.0,12.0382071796971,6.01910358984855,14.428885552754185,7.214442776377092
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,1048576,524288,5,500,41.471999138593674,42.06131196022034,50.572801195085034,61.06495924293994,33.88800099492073,93.72799843549728,0.13891217632467434,0.0475724267238157,35.45600175857544,36.65024001151323,43.820798397064195,49.648001641035066,0.09760155423212856,0.0148887923568535,0.5,524288.0,25.283951142451663,12.641975571225831,29.574005753381087,14.787002876690543
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,2097152,1048576,5,500,43.375998735427856,43.8775677382946,51.55840124934911,56.94144133478402,34.88000109791756,66.04799628257751,0.09362593363432971,0.012394310083172305,36.06399893760681,37.257984049618244,44.49119977653026,49.443520195782185,0.09309277100851508,0.019096121671786412,0.5,1048576.0,48.34821240178445,24.174106200892226,58.150844658913634,29.075422329456817
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,4194304,2097152,5,500,43.50399971008301,54.77875159680843,55.77920004725456,130.34656152129173,39.264000952243805,4102.975845336914,3.3164422209632614,0.015179000978043351,42.080000042915344,44.2031360194087,53.29599957913159,95.9462396055459,0.21001761492113824,0.007857669608498758,0.5,2097152.0,96.41191678814484,48.20595839407242,99.6745246131757,49.83726230658785
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,8388608,4194304,5,500,43.64800080657005,92.42297711223364,52.641598507761955,68.60224060714242,39.29600119590759,12081.76040649414,8.09424018611859,0.018473592994542754,42.367998510599136,43.39462403208017,51.29759944975376,56.03423826396465,0.0943712669656122,0.025707933130368888,0.5,4194304.0,192.1876797330272,96.0938398665136,197.99396466418952,98.99698233209476
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,16777216,8388608,5,500,43.5199998319149,44.91935981065035,51.521601155400276,57.81056024134155,41.37599840760231,112.35199868679047,0.10554247040302804,0.0010805065730583603,43.28000172972679,43.47891166806221,49.53920096158981,53.963520526885915,0.06885416419706196,0.0023914346005686313,0.5,8388608.0,385.5058838418611,192.75294192093054,387.6436074279683,193.82180371398414
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,33554432,16777216,5,500,60.896001756191254,61.25203225761652,62.912002205848694,63.427197188138784,57.88800120353699,102.75200009346008,0.05728429535233213,0.0002574005029569232,60.63999980688095,60.274624429643154,60.896001756191254,61.94080084562285,0.04163302729273152,0.005001467323781507,0.5,16777216.0,551.012070288975,275.5060351444875,553.3382603374037,276.6691301687018
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,67108864,33554432,5,500,103.80800068378448,137.7766400128603,105.98400235176086,123.68416294455528,100.8640006184578,8834.65576171875,3.9112266186060927,0.0009926048926007034,101.87200084328651,102.36595217883587,104.0016021579504,118.56992125511168,0.028604769097104087,0.0009189553424952466,0.5,33554432.0,646.4710191695548,323.2355095847774,658.7567088550273,329.37835442751367
single-node-nvlink,nccl,all_gather,2,logical-gathered-output,134217728,67108864,5,500,179.51999604701996,230.3278729915619,181.7599982023239,200.4435187578201,175.87199807167053,8885.88809967041,2.845414767020659,0.000504215929062784,177.63200402259827,178.11654433608055,179.80800569057465,195.30080437660217,0.04081046916145941,0.0002696538590189037,0.5,67108864.0,747.6477882990017,373.82389414950086,755.5942902210621,377.79714511053106
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,1024,256,5,500,45.023998245596886,56.168767899274826,68.1199967861175,296.54335528612074,38.36800158023834,878.2719969749451,1.2888507030323804,0.043715764618793465,35.77600046992302,40.208767995238304,54.53120134770867,82.59552299976349,0.25334337529645395,0.022070459361597673,0.75,768.0,0.02274342661471967,0.017057569961039753,0.02862253987448596,0.02146690490586447
