op,group_size,payload_bytes,repeats,pooled_samples,backend_proxy_pre_run,observed_backend_audit_only,intrinsic_median_us,completion_median_us,completion_p95_us,repeat_median_cv
fused_allreduce_residual_rmsnorm,2,20480,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.208000000000538,9.248000000000275,14.788149999999856,0.09829523296520681
fused_allreduce_residual_rmsnorm,2,24576,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.207999999998719,8.99200000000019,14.559999999999581,0.14406117588185638
fused_allreduce_residual_rmsnorm,2,32768,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.127999999998792,10.11200000000008,15.171200000000109,0.07898963846180428
fused_allreduce_residual_rmsnorm,2,65536,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.191999999999098,10.095999999999776,15.680000000000291,0.11558000278645021
fused_allreduce_residual_rmsnorm,2,4190208,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,14.88000000000011,17.311999999999898,23.87265000000009,0.08667889185980383
fused_allreduce_residual_rmsnorm,2,4194304,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,14.846999999999753,17.184000000000196,22.720000000000255,0.08008932666039024
fused_allreduce_residual_rmsnorm,4,4096,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.175500000000284,18.20799999999963,30.560649999997576,0.14038370007293727
fused_allreduce_residual_rmsnorm,4,8192,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.144000000000233,18.640000000000327,31.27675000000003,0.11920064958329633
fused_allreduce_residual_rmsnorm,4,12288,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.239999999998872,18.016499999999724,30.55264999999997,0.08488469158965446
fused_allreduce_residual_rmsnorm,4,16384,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.208000000000538,18.751999999999725,33.09759999999977,0.0939590156269519
fused_allreduce_residual_rmsnorm,4,20480,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.272000000000844,18.2079999999994,30.79839999999964,0.07927137357487551
fused_allreduce_residual_rmsnorm,4,24576,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,7.872000000000298,19.520000000000437,51.01120000000009,0.5274423080170254
fused_allreduce_residual_rmsnorm,4,32768,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.128000000000384,19.4399999999996,57.649599999999445,0.5730648023387787
fused_allreduce_residual_rmsnorm,4,65536,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.191500000000815,20.208000000000993,56.998399999998576,0.5644145294376752
fused_allreduce_residual_rmsnorm,4,4190208,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,13.824000000000524,27.439500000000407,41.44479999999962,0.10841409487629391
fused_allreduce_residual_rmsnorm,4,4194304,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,13.823999999998705,27.503999999999678,41.44480000000221,0.09540746590995056
fused_allreduce_residual_rmsnorm,8,4096,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.528000000002066,39.53600000000142,82.43839999999891,0.3396950146438507
fused_allreduce_residual_rmsnorm,8,8192,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.591999999998734,37.599999999999454,80.03680000000276,0.3623236858131471
fused_allreduce_residual_rmsnorm,8,12288,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.592000000000553,35.61599999999953,78.11360000000094,0.4034287480764566
fused_allreduce_residual_rmsnorm,8,16384,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.592000000000553,35.40800000000036,77.9760000000011,0.3924323617129969
fused_allreduce_residual_rmsnorm,8,20480,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,6.688500000002023,36.51200000000017,75.11034999999941,0.37715317476210425
fused_allreduce_residual_rmsnorm,8,24576,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.335500000001957,50.97599999999966,79.15199999999867,0.35330958621193265
fused_allreduce_residual_rmsnorm,8,32768,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.448000000000093,37.7445000000007,76.11584999999756,0.3657648922073409
fused_allreduce_residual_rmsnorm,8,65536,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm,8.479999999999563,36.64000000000169,77.10620000000297,0.37183284989513504
fused_allreduce_residual_rmsnorm,8,4190208,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,12.927999999999884,41.23150000000078,83.14555000000209,0.2948611656289243
fused_allreduce_residual_rmsnorm,8,4194304,5,500,flashinfer_mnnvl:auto_one_or_two_shot,flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot,12.895000000000437,41.88799999999992,60.810249999999165,0.13445390508878569
