method,phase,model,parallel_size,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
h0,prefill,deepseek-v2-lite,4,all,burstgpt_2,9,0.08050579415710998,0.06421637217634282,0.03751127697915523,0.038520986792894146,0.5373091820460242,0.2686545910230121,0.032824379973502786,0.03846169005824966,0.03934943377336111
h0,prefill,deepseek-v2-lite,4,all,burstgpt_3,9,0.03434128280942014,0.02793813441092998,0.1305468370101957,0.024420446238510526,0.835854256699644,0.417927128349822,0.0505558459699679,0.10562434134716708,0.02457450499554159
h0,prefill,deepseek-v2-lite,4,all,mooncake_conversation,9,0.09844180292378184,0.1417829336641364,0.0069912790629296905,0.0069688495855515925,0.6000549347356389,0.30002746736781943,0.028735154530900402,0.007287314007045364,0.007287398498012253
h0,prefill,deepseek-v2-lite,4,all,mooncake_synthetic,9,0.17580681248838012,0.1870462584710364,0.020093750589767825,0.02037896977267015,0.511712511544063,0.2558562557720315,0.050238063042179315,0.02123151794458831,0.02153103914552169
h0,prefill,deepseek-v2-lite,4,all,mooncake_toolagent,9,0.033536204925803954,0.04139227616380664,0.008232137971212522,0.008166349730205096,0.2799296783673454,0.1399648391836727,0.011896502056070518,0.008459313993665792,0.00839580425380956
h0,prefill,deepseek-v2-lite,4,balanced,all,18,0.04408528559066055,0.04572448130658882,0.04012035358954944,0.012910672479116994,0.3472568655273272,0.1736284327636636,0.01968811857030285,0.03643197735251401,0.013083891168955265
h0,prefill,deepseek-v2-lite,4,balanced,burstgpt_1,3,0.03011534261534275,0.030195723203130975,0.03734683992403582,0.03031170454038302,0.14091364091364092,0.07045682045682046,0.005871401704735037,0.03697448286543288,0.030308705278162037
h0,prefill,deepseek-v2-lite,4,balanced,burstgpt_2,3,0.08174603174603177,0.0822245024052253,0.0375112769791552,0.0385209867928941,0.9920634920634921,0.49603174603174605,0.053373015873015885,0.038761246877224854,0.03975746525801713
h0,prefill,deepseek-v2-lite,4,balanced,burstgpt_3,3,0.02084040686981865,0.02139770922915667,0.13054683701019568,0.02442044623851049,0.5039611804317686,0.2519805902158843,0.036224169802601215,0.1072834146388403,0.024306995935912505
h0,prefill,deepseek-v2-lite,4,balanced,mooncake_conversation,3,0.09057527119545718,0.09137730960139535,0.00699127906292948,0.0069688495855513765,0.1934714835870163,0.09673574179350815,0.012029565784379657,0.007326861584346218,0.007309852170840889
