parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram,comparison
pp,2,profile_03_burstgpt_1_c2,mb16,decode,312,34923.07692307692,8538.461538461539,26384.615384615383,3.0900900900900896,979836717.948718,979836717.9487181,1.1920928955078125e-07,1.2166240289539787e-16,1.659086399174505,0.8295431995872525,1.762795433838898,0.881397716919449,2.2618143316772557,0.1077054443655836,184413.75179487182,52490.67487179488,2.5132669230351987,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_03_burstgpt_1_c2,mb16,prefill,312,224.35897435897436,1544.871794871795,1320.5128205128206,0.8547717842323651,7441381743.589744,7441381743.589744,0.0,0.0,2.0,1.0,2.0,1.0,3.989107461673296,0.18995749817491886,75535.6123076923,82138.17641025642,0.08038362173499235,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_03_burstgpt_1_c2,mb4,decode,312,51333.333333333336,30923.076923076922,20410.256410256414,0.6600331674958542,979836717.948718,979836717.948718,0.0,0.0,1.2433180418255043,0.6216590209127522,0.89350983439627,0.446754917198135,0.9488999983900914,0.04518571420905197,266465.0338461539,164413.7517948718,0.6206979704386575,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_03_burstgpt_1_c2,mb4,prefill,312,512.8205128205128,1916.6666666666667,1403.8461538461538,0.7324414715719063,7441381743.589745,7441381743.589744,9.5367431640625e-07,1.281582304560275e-16,1.954933110367893,0.9774665551839465,1.971179766558932,0.985589883279466,2.58582117200009,0.1231343415238138,76977.92,83997.15076923078,0.08356510554167527,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_03_burstgpt_1_c2,mb1,decode,312,119608.97435897436,119608.97435897436,0.0,0.0,979836717.948718,979836717.948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607843.238974359,607843.238974359,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_03_burstgpt_1_c2,mb1,prefill,312,2000.0,2000.0,0.0,0.0,7441381743.589744,7441381743.589744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84413.81743589744,84413.81743589744,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_03_burstgpt_1_c2,mb16,decode,312,34923.07692307692,9237.179487179488,25685.897435897434,2.7807078417765436,979836717.948718,979836717.9487181,1.1920928955078125e-07,1.2166240289539787e-16,1.4661224512672204,0.7330612256336102,1.6383514657805884,0.8191757328902942,2.1099450247888716,0.10047357260899388,184413.75179487182,55984.26461538462,2.294028296375879,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_03_burstgpt_1_c2,mb16,prefill,312,224.35897435897436,1346.1538461538462,1121.7948717948718,0.8333333333333334,7441381743.589744,7441381743.589744,0.0,0.0,2.0,1.0,2.0,1.0,3.803234541298249,0.18110640672848805,75535.6123076923,81144.58666666667,0.0691232106710389,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_03_burstgpt_1_c2,mb4,decode,312,51333.333333333336,31455.128205128207,19878.20512820513,0.6319543509272467,979836717.948718,979836717.9487181,1.1920928955078125e-07,1.2166240289539787e-16,1.1905580154510256,0.5952790077255128,0.8703574682458867,0.43517873412294333,0.9082661151499194,0.0432507673880914,266465.0338461539,167074.00820512822,0.5948922080027941,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_03_burstgpt_1_c2,mb4,prefill,312,512.8205128205128,1807.6923076923078,1294.871794871795,0.7163120567375886,7441381743.589745,7441381743.589744,9.5367431640625e-07,1.281582304560275e-16,1.9395390070921985,0.9697695035460993,1.9238140939692039,0.9619070469846019,2.4566504414897326,0.11698335435665393,76977.92,83452.27897435898,0.07758157181481232,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_03_burstgpt_1_c2,mb1,decode,312,119608.97435897436,119608.97435897436,0.0,0.0,979836717.948718,979836717.948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607843.238974359,607843.238974359,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
