slice_type,slice_value,points,max_edge_wape,r61_graph_wape,phase65_wape,phase67_wape,phase69_wape,max_edge_signed_bias,r61_graph_signed_bias,phase65_signed_bias,phase67_signed_bias,phase69_signed_bias
configuration_topology,P2D2_MATCHING/L3,20,0.02539753810286612,0.08505561935869647,0.04616539511664035,0.006005912127781383,0.006005912127781383,0.025397538102866137,-0.0850556193586965,-0.04616539511664036,-0.0011660096198142546,-0.0011660096198142546
configuration_topology,P4D1/L1,20,0.6679001066969719,0.022208769454955927,0.06357807282326582,0.00937327127171387,0.0026030372953395457,-0.6679001066969719,0.021095361206243262,-0.0635780728232658,0.006010370741997751,-0.0014529967534718578
configuration_topology,P4D1/L2,20,0.6633591903598769,0.03441627310348124,0.05132616516037181,0.01318694987619299,0.004611348043090494,-0.6633591903598769,0.03441627310348112,-0.0513261651603719,0.01206320586643802,0.004548608872664048
configuration_topology,P4D1/L3,20,0.6628431409724471,0.03532671257499101,0.05050866303942714,0.012723098424123096,0.004339017377130277,-0.6628431409724471,0.03532671257499095,-0.05050866303942727,0.010923244885251792,0.003421260268079923
model,deepseek-v2-lite,120,0.5528589766304915,0.018673001661173902,0.05197678562588117,0.008855788022695729,0.003501403866025968,-0.5491593387661949,0.0006248504720725429,-0.051976785625881115,0.006673882127563083,0.001656308264113714
model,qwen3-8b,120,0.4631383543765237,0.20888147769977272,0.15004834967582792,0.08492851569941033,0.014976371453616539,-0.4327235125671659,0.06667212131366788,-0.14933976879043231,0.08065719597986411,0.004209546856247319
model_configuration,deepseek-v2-lite/P1D4,30,0.6739451078555178,0.011195719233931888,0.05552496871909224,0.004377786268641185,0.0013768780160088186,-0.6739451078555179,0.01089665907444804,-0.05552496871909222,0.0008332427014080858,0.0005019123978034875
model_configuration,deepseek-v2-lite/P2D2_ALL_TO_ALL,30,0.41811549501509687,0.016298007458922296,0.04903096804448456,0.023629029988831235,0.006745758328981681,-0.4181154950150969,-0.015250667816295891,-0.04903096804448454,0.02360474455253181,0.0023332966171296806
model_configuration,deepseek-v2-lite/P2D2_MATCHING,30,0.01727814126664427,0.05422041087264143,0.03994402328138101,0.005030209791348041,0.005030209791348041,0.017226631945483715,-0.05422041087264133,-0.03994402328138101,0.0036157898800420626,0.0036157898800420626
model_configuration,deepseek-v2-lite/P4D1,30,0.6722475922215296,0.016561717201325342,0.05378111290065906,0.006215991538302776,0.003337987022285095,-0.6722475922215296,0.016159616093246083,-0.05378111290065913,0.003951770891821095,0.001830956348223496
model_configuration,qwen3-8b/P1D4,30,0.5702552433813618,0.20609012767794863,0.28951190712992086,0.08920068129297587,0.01035352189170111,-0.5702552433813618,0.20609012767794863,-0.289511907129921,0.08920068129297573,0.0020951594999970946
model_configuration,qwen3-8b/P2D2_ALL_TO_ALL,30,0.3262118486775812,0.10154662795424542,0.08153869380023566,0.11433680561470584,0.020104247614671764,-0.3262118486775812,-0.10154662795424553,-0.07819890546590054,0.11432463628228254,0.008556504195071295
model_configuration,qwen3-8b/P2D2_MATCHING,30,0.12342735160251629,0.40224336348119427,0.1004071713107559,0.031221158800439675,0.031221158800439675,0.12342735160251626,-0.40224336348119427,-0.10040717131075588,-0.0034250187894059865,-0.0034250187894059865
model_configuration,qwen3-8b/P4D1,30,0.5693926207758423,0.20851110104040477,0.07251186121579967,0.0817860735619283,0.01030234854538141,-0.5693926207758423,0.20851110104040485,-0.07251186121579957,0.08178607356192841,0.006383560094478945
overall,all,240,0.5459957057942031,0.03322319373089992,0.059478870302778486,0.01467504919347312,0.004379193257280235,-0.5402524610587613,0.00567720406030795,-0.059424666682655065,0.012333311449142601,0.0018516208636838616
