model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v03,240.0625,240.211,240.211,0.000618206493457888,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v04,264.177,263.552,264.177,0.002365838055546092,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v05,177.1695,176.74099999999999,177.1695,0.0024185878494888445,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v06,216.17950000000002,214.614,216.17950000000002,0.007241667225615815,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v07,239.6795,240.675,240.675,0.004136283369689503,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v08,263.6585,265.4,265.4,0.0065617935192161785,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__third_blind_v09,263.323,265.76250000000005,265.76250000000005,0.009179248389069436,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v00,167.1485,167.31799999999998,167.31799999999998,0.0010130410356325734,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v01,178.81150000000002,180.3555,180.3555,0.008560870059410346,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v02,219.368,219.334,219.368,0.00015499070055792922,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v03,242.33800000000002,242.3595,242.3595,8.871119143245783e-05,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v04,266.56100000000004,265.41949999999997,266.56100000000004,0.004282321870041245,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v05,178.5735,178.607,178.607,0.00018756263752262587,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v06,215.2605,216.6365,216.6365,0.006351653576382579,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v07,240.007,240.2765,240.2765,0.0011216244618179208,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v08,265.025,265.345,265.345,0.0012059771241216151,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__third_blind_v09,264.55150000000003,264.09349999999995,264.55150000000003,0.0017312319151472724,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v00,288.88199999999995,292.321,292.321,0.011764464407278567,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v01,315.134,312.587,315.134,0.008082276111114717,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v02,368.525,362.839,368.525,0.015429075368021109,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v03,409.539,411.745,411.745,0.005357684974923842,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v04,463.31,463.423,463.423,0.00024383770335093327,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v05,378.949,379.857,379.857,0.0023903732193957606,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v06,338.709,335.902,338.709,0.008287349908033198,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v07,424.8135,427.35450000000003,427.35450000000003,0.005945883335731935,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v08,423.04049999999995,419.0005,423.04049999999995,0.009549913069788741,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__third_blind_v09,385.608,391.493,391.493,0.015032197255123312,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v00,295.4105,279.8565,295.4105,0.05265215691385387,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v01,299.759,308.904,308.904,0.02960466682205469,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v02,350.131,361.92150000000004,361.92150000000004,0.03257750644822168,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v03,401.027,401.969,401.969,0.0023434642969980455,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v04,453.793,457.103,457.103,0.007241256347037762,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v05,384.268,382.364,384.268,0.004954875243319758,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v06,343.465,359.86,359.86,0.0455593842049687,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v07,433.844,433.26599999999996,433.844,0.001332276117682926,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v08,417.7935,417.7305,417.7935,0.000150792197580834,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__third_blind_v09,394.80899999999997,399.095,399.095,0.010739297660958063,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v00,277.65099999999995,275.9925,277.65099999999995,0.0059733262260893965,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v01,300.716,300.845,300.845,0.00042879223520423835,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v02,358.509,354.239,358.509,0.011910440184207477,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v03,398.034,398.472,398.472,0.0010991989399505818,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v04,448.733,449.95,449.95,0.002704744971663484,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v05,380.228,380.806,380.806,0.0015178332274175684,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v06,336.017,338.078,338.078,0.006096226314637388,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v07,429.55449999999996,428.136,429.55449999999996,0.0033022585027044013,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v08,410.537,412.2985,412.2985,0.004272390028098604,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__third_blind_v09,382.733,386.853,386.853,0.010650040196146869,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v00,5732.943,5742.302,5742.302,0.001629834167551527,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v01,6388.971,6421.909,6421.909,0.005129004475149072,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v02,7401.923,7411.286,7411.286,0.0012633435007096316,False
