model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,phase69_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase69_absolute_error_us,phase69_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v08,34|44|44|60,4,362299392,1654.31663419|2133.77601782|2133.77601782|2894.46939945,2894.469399449747,8816.33806928096,8816.33806928096,7750.744790668197,7131.011250522162,7594.695016693504,7617.970397562183,2846.981,7627.152,4732.6826005502535,123.59279066819727,496.14074947783774,32.45698330649611,9.181602437816764,-9.181602437816764,0.0007115368882119669
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v09,38|38|38|60,4,346374144,1861.15198571|1861.15198571|1861.15198571|2894.46939945,2894.469399449747,8477.925356574171,8477.925356574171,7463.059617482651,6842.484139786102,7256.479563487485,7296.261669895582,2886.806,7327.239,4432.769600550253,135.82061748265187,484.7548602138977,70.75943651251418,30.977330104417888,-30.977330104417888,0.0027175311191568003
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v00,34|34|34|34,4,270729216,1665.11402721|1665.11402721|1665.11402721|1665.11402721,1665.1140272143596,6660.456108857438,6660.456108857438,5762.664123226605,5406.369164141592,5751.194829021299,5744.309230500435,1628.613,5716.916,4051.801972785641,45.74812322660455,310.5468358584085,34.27882902129841,27.393230500434584,27.393230500434584,0.0012207630827530559
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v01,38|38|38|38,4,302579712,1875.78637614|1875.78637614|1875.78637614|1875.78637614,1875.7863761434548,7503.145504573819,7503.145504573819,6505.659796755501,6105.3972312202495,6440.266874013924,6419.610078451333,1821.755,6383.757,4507.970623856545,121.90279675550119,278.3597687797501,56.50987401392467,35.853078451333204,35.853078451333204,0.0010384167191827486
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v02,44|44|44|44,4,350355456,2153.46784983|2153.46784983|2153.46784983|2153.46784983,2153.467849830353,8613.871399321411,8613.871399321411,7484.982117018478,7026.767049336413,7455.12087458232,7413.807283457136,2101.822,7384.526,5231.058150169647,100.45611701847793,357.7589506635868,70.59487458231979,29.28128345713594,29.28128345713594,0.0024376649225691946
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v03,52|52|52|52,4,414056448,2536.01101877|2536.01101877|2536.01101877|2536.01101877,2536.0110187701553,10144.044075080621,10144.044075080621,8834.128888795192,8296.076540199565,8815.439129013088,8746.583143804448,2498.864,8719.292,6183.280981229844,114.83688879519286,423.2154598004345,96.14712901308849,27.29114380444844,27.29114380444844,0.0013772907249808833
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v04,60|60|60|60,4,477757440,2925.27902059|2925.27902059|2925.27902059|2925.27902059,2925.279020587492,11701.116082349969,11701.116082349969,10206.992687313252,9587.699576013945,10180.029524494927,10083.631145202831,2872.713,10059.463,7134.183979412508,147.529687313252,471.7634239860545,120.56652449492685,24.16814520283151,24.16814520283151,0.0005858165589952495
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v05,34|38|44|52,4,334430208,1665.11402721|1875.78637614|2153.46784983|2536.01101877,2536.0110187701553,8230.379271958322,8230.379271958323,7207.31946458092,6664.506106140364,7042.428262977582,7056.105905466028,2455.564,7049.997,4513.9859812298455,157.3224645809196,385.49089385963634,7.568737022418645,6.108905466027863,6.108905466027863,0.0006114896219105631
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v06,34|34|44|44,4,310542336,1665.11402721|1665.11402721|2153.46784983|2153.46784983,2153.467849830353,7637.163754089424,7637.163754089424,6654.6814293677035,6194.036409111406,6562.938093908626,6562.891316631985,2086.03,6542.746,4389.278150169647,111.93542936770336,348.709590888594,20.192093908625793,20.145316631985224,20.145316631985224,0.0025221825820535304
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v07,38|44|52|60,4,386187264,1875.78637614|2153.46784983|2536.01101877|2925.27902059,2925.279020587492,9490.544265331455,9490.544265331455,8327.782148999157,7702.989352401479,8133.577040873132,8132.092333432685,2842.042,8054.785,5129.505979412508,272.9971489991567,351.7956475985211,78.79204087313246,77.30733343268548,77.30733343268548,0.001575709345438768
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v08,34|44|44|60,4,362299392,1665.11402721|2153.46784983|2153.46784983|2925.27902059,2925.279020587492,8897.328747462558,8897.328747462558,7823.488715015986,7197.220056545251,7595.338543112549,7618.613923981227,2810.101,7566.623,4641.343979412508,256.8657150159861,369.4029434547483,28.715543112549312,51.99092398122775,51.99092398122775,0.0015207576748570144
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v09,38|38|38|60,4,346374144,1875.78637614|1875.78637614|1875.78637614|2925.27902059,2925.279020587492,8552.638149017857,8552.638149017857,7530.466701404724,6903.340486621111,7254.902699873494,7294.684806281591,2817.859,7292.635,4367.3559794125085,237.8317014047234,389.29451337888895,37.732300126505834,2.049806281590463,2.049806281590463,0.009257422042924186
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v00,34|34|34|34,4,270729216,1662.01884933|1662.01884933|1662.01884933|1662.01884933,1662.0188493332,6648.0753973328,6648.0753973328,5751.748102276566,5396.099111035289,5749.629046074517,5742.743447553653,1617.242,5724.26,4062.2411506668004,27.48810227656577,328.1608889647114,25.36904607451652,18.483447553652695,18.483447553652695,0.0025526443592709066
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v01,38|38|38|38,4,302579712,1875.62816433|1875.62816433|1875.62816433|1875.62816433,1875.6281643254517,7502.512657301807,7502.512657301807,6505.101817994287,6104.872271481157,6440.186838107711,6419.530042545119,1817.844,6378.548,4502.919835674548,126.55381799428687,273.67572851884233,61.63883810771131,40.98204254511893,40.98204254511893,0.0004946266767922332
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v02,44|44|44|44,4,350355456,2157.18077283|2157.18077283|2157.18077283|2157.18077283,2157.1807728277695,8628.723091311078,8628.723091311078,7498.076790986133,7039.086831212342,7456.999161302917,7415.685570177733,2098.813,7393.268,5236.087227172231,104.80879098613332,354.18116878765795,63.73116130291692,22.41757017773307,22.41757017773307,0.0023526808442491513
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v03,52|52|52|52,4,414056448,2542.69219993|2542.69219993|2542.69219993|2542.69219993,2542.6921999328806,10170.768799731522,10170.768799731522,8857.69196540777,8318.24524519442,8818.818992765873,8749.963007557233,2490.677,8700.661,6157.968800067119,157.03096540777005,382.41575480558095,118.15799276587313,49.30200755723308,49.30200755723308,0.00020550162797981276
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v04,60|60|60|60,4,477757440,2933.15924965|2933.15924965|2933.15924965|2933.15924965,2933.1592496458893,11732.636998583557,11732.636998583557,10234.784545744453,9613.846819896826,10184.015960412384,10087.617581120288,2881.778,10084.137,7150.977750354112,150.64754574445215,470.29018010317486,99.8789604123831,3.480581120287752,3.480581120287752,0.004269676225144551
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v05,34|38|44|52,4,334430208,1662.01884933|1875.62816433|2157.18077283|2542.69219993,2542.6921999328806,8237.519986419302,8237.519986419302,7214.234143684751,6669.977690534966,7038.881568515074,7052.55921100352,2450.76,7020.164,4477.471800067119,194.0701436847512,350.18630946503345,18.717568515074163,32.39521100352067,32.39521100352067,0.007816768952976028
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v06,34|34|44|44,4,310542336,1662.01884933|1662.01884933|2157.18077283|2157.18077283,2157.1807728277695,7638.3992443219395,7638.3992443219395,6656.200949053168,6194.747160934158,6560.000542952086,6559.9537656754455,2084.402,6529.998,4372.817227172231,126.2029490531686,335.2508390658413,30.002542952086515,29.955765675445946,29.955765675445946,0.0038981635216427217
