workload_id,phase,group_size,batch_size,input_len,output_len,repeat_count,calls,logical_payload_bytes,message_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,rank0_median_us,rank0_iqr_fraction,intrinsic_median_us,intrinsic_iqr_fraction,post_rendezvous_median_us,post_rendezvous_iqr_fraction,sync_inclusive_median_us,sync_inclusive_iqr_fraction,post_rendezvous_over_intrinsic,sync_inclusive_over_intrinsic
decode-tp2-b8-l8192-m512,decode,2,8,8192,512,3,37303,2444689408,65536,2444689408.0,74606,172645.69350000002,10.81375172594444,172374.73575000002,0.044692928920124525,210860.10791015625,0.0593289657563505,9105149.000500001,0.2825444323504455,1.2232657355076249,52.82183007204407
decode-tp2-b16-l128-m32,decode,2,16,128,32,3,2263,296615936,131072,296615936.0,4526,15813.483624999999,18.192290473251116,14988.062124999999,0.022905788095670825,17226.507385253906,0.07857614602558058,545448.0070000001,0.15694707806953287,1.1493485443004798,36.39216347323488
decode-tp2-b16-l128-m128,decode,2,16,128,128,3,9271,1215168512,131072,1215168512.0,18542,78107.428875,5.118749660833719,61553.169375000005,0.08773780647424223,69884.63354492188,0.0729781753276629,1445568.340125,0.31785913029560925,1.135353942851653,23.484872587440183
decode-tp2-b16-l128-m512,decode,2,16,128,512,3,37303,4889378816,131072,4889378816.0,74606,2140109.1993750003,0.6071063280927166,245091.1855,0.08446436892566246,282836.4415283203,0.06581981011587612,6588184.199625,0.4557042314171921,1.1540049510606343,26.880543199400375
decode-tp2-b16-l2048-m32,decode,2,16,2048,32,3,2263,296615936,131072,296615936.0,4526,97748.971375,0.5631439579432609,15072.5875,0.1292273183021826,17191.138549804688,0.04437273176125279,438134.75674999994,0.43423547309112237,1.14055656003355,29.068317350952512
decode-tp2-b16-l2048-m128,decode,2,16,2048,128,3,9271,1215168512,131072,1215168512.0,18542,271485.32825,3.079156530579475,60326.190624999996,0.1340676170865049,70892.49450683594,0.0417129270727523,1886142.3256249998,0.22785832488547164,1.1751528444339916,31.265728965875674
decode-tp2-b16-l2048-m512,decode,2,16,2048,512,3,37303,4889378816,131072,4889378816.0,74606,610462.8285000001,2.373486839379279,244045.93500000003,0.15915870996785908,290491.6793823242,0.030682875372090714,5557695.7870000005,0.22724101579635433,1.1903155829345167,22.773154516996975
decode-tp2-b16-l8192-m32,decode,2,16,8192,32,3,2263,296615936,131072,296615936.0,4526,126823.33275,0.449066950675131,15013.923874999999,0.15613097845149448,17266.29425048828,0.03953015254481528,320709.5855,0.336745939926077,1.1500187688602013,21.36081068281026
decode-tp2-b16-l8192-m128,decode,2,16,8192,128,3,9271,1215168512,131072,1215168512.0,18542,215268.794125,1.799251473370049,62343.871375,0.07888931809217484,71474.7612915039,0.06567228877038636,1694557.3011249998,0.17786600130010394,1.146460104499789,27.180816073037775
decode-tp2-b16-l8192-m512,decode,2,16,8192,512,3,37303,4889378816,131072,4889378816.0,74606,1762015.25325,0.368606691678479,241808.32987500002,0.15955018545036792,286248.23358154297,0.007471832513625984,7405116.3865,0.2982091594672061,1.183781525349088,30.62390940100363
decode-tp4-b1-l128-m32,decode,4,1,128,32,3,2263,18538496,8192,27807744.0,13578,727286.423625,0.4806616734231082,12522.980875000001,0.14258524131140632,14910.180725097656,0.02783793856835634,792411.5491249999,0.22459383425382878,1.190625528692078,63.27659181424725
decode-tp4-b1-l128-m128,decode,4,1,128,128,3,9271,75948032,8192,113922048.0,55626,2213887.6061250004,0.5212863472866107,40822.705375,0.04845248451395636,64288.23095703125,0.010154529565134353,2547690.2468749997,0.12041890981009531,1.574815543616608,62.4086577180947
decode-tp4-b1-l128-m512,decode,4,1,128,512,3,37303,305586176,8192,458379264.0,223818,9196398.973125,0.3716244011501028,164767.798125,0.03694270478981685,253868.53643798828,0.04131360760500614,10216267.464375,0.19375227758963096,1.5407654852885306,62.0040297960679
decode-tp4-b1-l2048-m32,decode,4,1,2048,32,3,2263,18538496,8192,27807744.0,13578,298897.9545,0.6788734928428558,10786.357,0.07976250693352717,15759.081970214844,0.038664935191547435,536552.560875,0.15949086967909612,1.4610198763321893,49.743630854699134
decode-tp4-b1-l2048-m128,decode,4,1,2048,128,3,9271,75948032,8192,113922048.0,55626,2488585.272375,0.5582931619012008,42674.4765,0.015669849517662048,65739.92529296875,0.022049723569290674,2756708.1803749995,0.03616733155137112,1.5404975218142103,64.59852367198927
decode-tp4-b1-l2048-m512,decode,4,1,2048,512,3,37303,305586176,8192,458379264.0,223818,9338625.283750001,0.22292014716394623,167481.14425,0.032660580759675414,244130.87377929688,0.030684412191107326,11547499.753125,0.029928033796361504,1.4576618452933507,68.94805862974034
decode-tp4-b1-l8192-m32,decode,4,1,8192,32,3,2263,18538496,8192,27807744.0,13578,597172.034,0.11377640184754516,10179.349875,0.10059236469657151,15705.742065429688,0.01875652502223296,734159.1972500001,0.03247731592386576,1.5429022735530729,72.12240528769526
decode-tp4-b1-l8192-m128,decode,4,1,8192,128,3,9271,75948032,8192,113922048.0,55626,2459971.1405,0.13104640670580248,41913.889375,0.1030629733225515,64072.670471191406,0.011290329800375738,2830998.862375,0.03649293867547843,1.5286739414216295,67.54321549704667
decode-tp4-b1-l8192-m512,decode,4,1,8192,512,3,37303,305586176,8192,458379264.0,223818,10552358.7435,0.13499998983070946,168582.477,0.1100647303634054,267314.62939453125,0.02864146530875502,11776441.230749998,0.054933349075848015,1.5856608240163135,69.85566614227645
decode-tp4-b2-l128-m32,decode,4,2,128,32,3,2263,37076992,16384,55615488.0,13578,630088.3028749999,0.46481529083091366,10127.742625,0.01355787070072767,15746.705810546875,0.019982846269604348,670429.6336249999,0.06056399195536084,1.5548090422120964,66.19734114984975
decode-tp4-b2-l128-m128,decode,4,2,128,128,3,9271,151896064,16384,227844096.0,55626,2163419.7746250005,0.4237192309205892,41391.332,0.062089426416622934,65720.515625,0.0430197026253812,2883705.8785000006,0.07830887240309113,1.5877845058235864,69.66931816787148
decode-tp4-b2-l128-m512,decode,4,2,128,512,3,37303,611172352,16384,916758528.0,223818,9491136.108125001,0.30725492762041984,171626.440125,0.06237311172569554,262182.17333984375,0.028717746609426702,11155120.993625,0.08670666929477987,1.5276327653763002,64.99651793453523
decode-tp4-b2-l2048-m32,decode,4,2,2048,32,3,2263,37076992,16384,55615488.0,13578,450353.7865,0.2123095423613145,10288.512499999999,0.07434578735264213,16107.881164550781,0.0260220068070161,648079.5248750001,0.06259396880394294,1.5656180778854847,62.99059508116457
decode-tp4-b2-l2048-m128,decode,4,2,2048,128,3,9271,151896064,16384,227844096.0,55626,2534309.272875,0.0760958635017833,42531.633250000006,0.01241808060592182,65146.170837402344,0.051261790147481626,2794347.868875,0.06702133159977637,1.531711008003727,65.70045999526717
decode-tp4-b2-l2048-m512,decode,4,2,2048,512,3,37303,611172352,16384,916758528.0,223818,9495243.20675,0.30441963854281984,169584.35637499997,0.09085682130036032,261679.06414794922,0.0330233773855597,11424914.941125,0.13318070477141528,1.5430613397458741,67.37009937320641
decode-tp4-b2-l8192-m32,decode,4,2,8192,32,3,2263,37076992,16384,55615488.0,13578,622087.6950000001,0.0910515940200359,10260.79075,0.05695678839372086,15718.755859375,0.018739491570144793,633109.4078749999,0.0687401717557364,1.531924414244097,61.70181453851399
decode-tp4-b2-l8192-m128,decode,4,2,8192,128,3,9271,151896064,16384,227844096.0,55626,2652944.100375,0.1718328074875615,42050.11275,0.026742035905718182,65227.97204589844,0.009718925499250023,2682016.241875,0.07716690736008054,1.5511961271946515,63.781428074173235
decode-tp4-b2-l8192-m512,decode,4,2,8192,512,3,37303,611172352,16384,916758528.0,223818,11066019.13725,0.01689093125375238,179151.426125,0.038729013494756555,250603.73797607422,0.004933781687720978,11428796.497125,0.02457402303979686,1.3988375275406377,63.79405815698471
decode-tp4-b4-l128-m32,decode,4,4,128,32,3,2263,74153984,32768,111230976.0,13578,686633.1708750001,0.08209113725625887,10236.889749999998,0.01760499936027934,16494.46728515625,0.00865755130545224,689907.99925,0.05620325487913231,1.6112772226697325,67.39429808257924
decode-tp4-b4-l128-m128,decode,4,4,128,128,3,9271,303792128,32768,455688192.0,55626,2781473.085125,0.12965305018717932,41997.78874999999,0.006545002324675978,67763.7319946289,0.02045062631154803,2876661.648875,0.08948611006726222,1.6135071395783644,68.49555023001064
decode-tp4-b4-l128-m512,decode,4,4,128,512,3,37303,1222344704,32768,1833517056.0,223818,11822382.366375001,0.06433081531228638,177997.20487500002,0.0672635843265514,271067.6599121094,0.04368155385829707,11873175.894125002,0.032383319445537205,1.52287593562196,66.70428281423315
decode-tp4-b4-l2048-m32,decode,4,4,2048,32,3,2263,74153984,32768,111230976.0,13578,701643.5646249999,0.026985537090502148,10423.966999999999,0.039450108101838716,15772.521484375,0.034214479982802366,715207.3743750001,0.005722083932057368,1.5131016324567224,68.61182257915823
decode-tp4-b4-l2048-m128,decode,4,4,2048,128,3,9271,303792128,32768,455688192.0,55626,2658860.2207500003,0.09091361147007376,42372.867375,0.025646861537182028,66414.1244506836,0.017737975675614165,2839443.441625,0.02975165084698911,1.567373854191136,67.01088733259228
decode-tp4-b4-l2048-m512,decode,4,4,2048,512,3,37303,1222344704,32768,1833517056.0,223818,11397661.650375,0.16609685762826742,170274.206375,0.047896626116340615,279403.5969238281,0.002667771922077261,11443810.5075,0.09269841793450355,1.6409038272566614,67.20812712112692
decode-tp4-b4-l8192-m32,decode,4,4,8192,32,3,2263,74153984,32768,111230976.0,13578,621852.1415,0.1339169247477779,10445.856875,0.014245809537764801,16584.53076171875,0.01835692817681575,687343.52425,0.01743730911421319,1.5876659004787246,65.80058797234861
decode-tp4-b4-l8192-m128,decode,4,4,8192,128,3,9271,303792128,32768,455688192.0,55626,2866047.3381250002,0.04352603294982948,42797.33312499999,0.02370455822648862,67067.85974121094,0.01743499576181174,2875374.5515,0.03138743405721485,1.5671037152086786,67.18583475988495
decode-tp4-b4-l8192-m512,decode,4,4,8192,512,3,37303,1222344704,32768,1833517056.0,223818,10102980.7445,0.10366319302673595,185576.42075,0.05132901663370425,268416.69146728516,0.011594624909207296,11476161.087125,0.03341693720256707,1.4463943769498808,61.840620919104566
