parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
tp,h0,prefill,source,burstgpt,243,0.04140766929608543,0.03308452160006369,0.028898986078419186,0.028557348894040328,0.2928775354554075,0.14643876772770376,0.013908660251815171,0.028346201564105757,0.02836422496061973,new_confirmation_repeated
tp,h0,decode,overall,all,243,0.21871025126409285,0.16537976204677968,0.02679836411740243,0.012127575613830847,0.4286240049828927,0.21431200249144636,0.02035048257838296,0.20808003597601013,0.15750748375080284,new_confirmation_repeated
tp,h0,decode,model,deepseek-v2-lite,81,0.21871025126409285,0.16537976204677968,0.02679836411740245,0.012127575613830866,0.40654324999335106,0.20327162499667553,0.01785035866353757,0.2105312537894438,0.1593645614428794,new_confirmation_repeated
tp,h0,decode,model,qwen3-30b-a3b,81,0.21871025126409285,0.16537976204677968,0.026798364117402412,0.012127575613830837,0.40654324999335106,0.20327162499667553,0.017850358663537562,0.21053125378944376,0.15936456144287933,new_confirmation_repeated
tp,h0,decode,model,qwen3-8b,81,0.21871025126409283,0.16537976204677965,0.026798364117402433,0.01212757561383085,0.4727855149619761,0.23639275748098806,0.02535073040807375,0.20317760034914287,0.15377868428472513,new_confirmation_repeated
tp,h0,decode,policy,balanced,81,0.24895448982935534,0.18628464191779268,0.026798364117402426,0.012127575613830833,0.4173128711810227,0.20865643559051136,0.019698550983854424,0.23869976942334864,0.17621201510226736,new_confirmation_repeated
tp,h0,decode,policy,latency,81,0.1737785975302856,0.13495028380216406,0.02679836411740244,0.01212757561383086,0.314255858364203,0.1571279291821015,0.014609573672002673,0.16960803397731472,0.130946377142657,new_confirmation_repeated
tp,h0,decode,policy,throughput,81,0.2333976664326376,0.22843733648586512,0.026798364117402426,0.012127575613830852,0.5543032854034524,0.2771516427017262,0.026743323079291784,0.2159323045273671,0.20741977119224558,new_confirmation_repeated
tp,h0,decode,parallel_size,2,81,0.21871025126409285,0.1653797620467797,0.026798364117402433,0.012127575613830849,0.4286240049828927,0.21431200249144636,0.02035048257838296,0.20808003597601013,0.15750748375080284,new_confirmation_repeated
tp,h0,decode,parallel_size,4,81,0.21871025126409285,0.1653797620467797,0.026798364117402433,0.012127575613830849,0.4286240049828927,0.21431200249144636,0.02035048257838296,0.20808003597601013,0.15750748375080284,new_confirmation_repeated
tp,h0,decode,parallel_size,8,81,0.21871025126409285,0.1653797620467797,0.026798364117402433,0.012127575613830849,0.4286240049828927,0.21431200249144636,0.02035048257838296,0.20808003597601013,0.15750748375080284,new_confirmation_repeated
