phase,tp,batch_size,input_len,output_len,left_model,right_model,left_calls,right_calls,calls_ratio_right_over_left,left_total_payload_bytes,right_total_payload_bytes,payload_ratio_right_over_left,left_histogram_json,right_histogram_json
decode,8,16,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,8,16,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,8,16,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,8,16,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,8,16,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,8,16,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,8,16,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
prefill,2,1,128,8,deepseek-v2-lite,qwen3-8b,55,73,1.3272727272727274,28835840,76546048,2.6545454545454548,"{""all_reduce:524288"":55}","{""all_reduce:1048576"":73}"
prefill,2,1,512,8,deepseek-v2-lite,qwen3-8b,55,73,1.3272727272727274,115343360,306184192,2.6545454545454548,"{""all_reduce:2097152"":55}","{""all_reduce:4194304"":73}"
prefill,2,1,2048,8,deepseek-v2-lite,qwen3-8b,55,73,1.3272727272727274,461373440,1224736768,2.6545454545454548,"{""all_reduce:8388608"":55}","{""all_reduce:16777216"":73}"
prefill,2,1,8192,8,deepseek-v2-lite,qwen3-8b,55,73,1.3272727272727274,1845493760,4898947072,2.6545454545454548,"{""all_reduce:33554432"":55}","{""all_reduce:67108864"":73}"
