configuration,topology_level,slice_type,slice_value,cases,h0_cost_mape,dnn_cost_mape,cost_mape_ratio,h0_cost_wape,dnn_cost_wape,cost_wape_ratio,h0_signed_bias,dnn_signed_bias,strict_mape_and_wape_improvement
P1D4,L1,segment,burstgpt_1,200,0.0342607292140826,0.02863571499953832,0.8358174404463007,0.02449994253488155,0.0218218799147006,0.890691065239517,-0.0017074607351606347,0.003080786814354022,True
P1D4,L1,segment,burstgpt_2,200,0.034917688374361,0.028595375093881846,0.8189366600475924,0.032537440565516725,0.026254020420253606,0.8068864656821746,-0.009897174559122156,0.0033487302735526613,True
P1D4,L1,segment,burstgpt_3,200,0.032271320254269174,0.032732316852240484,1.0142850244222754,0.02819160748943303,0.028275531976511833,1.0029769315960524,-0.005090409732688633,0.004605964166660662,False
P1D4,L2,model,deepseek-v2-lite,300,0.04444030746509673,0.044005645313933466,0.9902191911812346,0.030253280781145916,0.030073700832407995,0.9940641165486477,-0.0017647403967571446,0.0041581344296924335,True
P1D4,L2,model,qwen3-8b,300,0.023366862280983166,0.016110977665971724,0.6894797201369841,0.022436783255294763,0.015521375779533348,0.6917825787647399,-0.010282251015834104,0.0028716746494366896,True
P1D4,L2,overall,all,600,0.033903584873039946,0.030058311489952593,0.8865821004626238,0.027639439072891937,0.02520739414588076,0.9120081662801737,-0.004613001326029896,0.0037279414668593067,True
P1D4,L2,segment,burstgpt_1,200,0.034349975430536014,0.028695842786604267,0.8353963118440717,0.024552627613898467,0.02185041520932643,0.8899420279138515,-0.0016090777855022806,0.003070255275934297,True
P1D4,L2,segment,burstgpt_2,200,0.035009465310473484,0.028677305956514864,0.8191300753152525,0.03264554145349128,0.02635853859411372,0.8074161867299893,-0.009826196310782914,0.0034190824308543842,True
P1D4,L2,segment,burstgpt_3,200,0.03235131387811034,0.03280178572673864,1.0139243756938447,0.028230131933970337,0.028305195132513478,1.0026589744149519,-0.004992504320576744,0.004640488776870065,False
P1D4,L3,model,deepseek-v2-lite,300,0.0444263477758447,0.04397898165039836,0.989930161990728,0.03024902279292478,0.030067867476827843,0.9940112010448381,-0.001809557998081052,0.004151899918198,True
