method,configuration,slice_type,slice_value,cases,agreement_rate,mean_teacher_regret,max_teacher_regret,predicted_choice_wave_stability_rate,teacher_choice_wave_stability_rate
h0_plus_dnn_residual,P2D1,model,deepseek-v2-lite,300,0.98,1.177413835314193e-05,0.0013767938056496061,0.9666666666666667,0.9733333333333334
h0_plus_dnn_residual,P2D1,model,llama-3.2-3b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D1,model,mixtral-8x7b-instruct-v0.1,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D1,model,qwen2.5-14b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D1,model,qwen3-30b-a3b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D1,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D1,overall,all,1800,0.9966666666666667,1.9623563921903218e-06,0.0013767938056496061,0.9944444444444445,0.9955555555555555
h0_plus_dnn_residual,P2D1,segment,burstgpt_1,600,0.9916666666666667,5.533828985988993e-06,0.0013767938056496061,0.99,0.99
h0_plus_dnn_residual,P2D1,segment,burstgpt_2,600,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D1,segment,burstgpt_3,600,0.9983333333333333,3.5324019058197273e-07,0.00021194411434918365,0.9933333333333333,0.9966666666666667
h0_plus_dnn_residual,P2D2_ALL_TO_ALL,model,deepseek-v2-lite,300,0.98,4.812102389990242e-07,5.6101509086996555e-05,0.4266666666666667,0.35333333333333333
h0_plus_dnn_residual,P2D2_ALL_TO_ALL,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D2_ALL_TO_ALL,overall,all,600,0.99,2.406051194995121e-07,5.6101509086996555e-05,0.7133333333333334,0.6766666666666666
h0_plus_dnn_residual,P2D2_ALL_TO_ALL,segment,burstgpt_1,200,0.975,6.793999450886812e-07,5.6101509086996555e-05,0.645,0.65
h0_plus_dnn_residual,P2D2_ALL_TO_ALL,segment,burstgpt_2,200,1.0,0.0,0.0,0.815,0.705
h0_plus_dnn_residual,P2D2_ALL_TO_ALL,segment,burstgpt_3,200,0.995,4.241541340985511e-08,8.483082681971023e-06,0.68,0.675
h0_plus_dnn_residual,P2D2_MATCHING,model,deepseek-v2-lite,300,0.98,3.0929987280221824e-06,0.0003608813926529781,0.9666666666666667,0.9733333333333334
