candidate_id,oof_scheme,slice_type,slice_value,points,wape,signed_bias
r61_graph,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.05792627808832092,-0.04910738133676497
r61_graph,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.07428655018916748,-0.07295439665870329
r61_graph,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.05247808441673955,-0.04756776228982678
r61_graph,payload_cohort,configuration_topology,P2D2_MATCHING/L1,40,0.226116103078525,-0.2261161030785251
r61_graph,payload_cohort,configuration_topology,P2D2_MATCHING/L2,40,0.23543507652723683,-0.2354350765272368
r61_graph,payload_cohort,configuration_topology,P2D2_MATCHING/L3,40,0.23653836885269447,-0.23653836885269441
r61_graph,payload_cohort,configuration_topology,P4D1/L1,40,0.14387646515054522,0.13732047597128408
r61_graph,payload_cohort,configuration_topology,P4D1/L2,40,0.14412562665530243,0.14013184084489386
r61_graph,payload_cohort,configuration_topology,P4D1/L3,40,0.14855822019730686,0.14408081158954125
r61_graph,payload_cohort,model,deepseek-v2-lite,240,0.07503199308058216,0.019646039532068147
r61_graph,payload_cohort,model,qwen3-8b,240,0.6347560250685997,0.22387035051292442
r61_graph,payload_cohort,overall,all,480,0.1329545583120885,0.04078001859784689
r61_graph,topology,configuration,P1D4,120,0.1284484390929419,0.12429254227429097
r61_graph,topology,configuration,P2D2_ALL_TO_ALL,120,0.06164652428003216,-0.05664183866201848
r61_graph,topology,configuration,P2D2_MATCHING,120,0.23271259775601882,-0.23271259775601888
r61_graph,topology,configuration,P4D1,120,0.1455123433559514,0.14049422044532414
r61_graph,topology,configuration_topology,P1D4/L1,40,0.13647696061965364,0.13197817824737249
r61_graph,topology,configuration_topology,P1D4/L2,40,0.1216661849952139,0.11773007666300866
r61_graph,topology,configuration_topology,P1D4/L3,40,0.12717778874391186,0.12314596733027565
r61_graph,topology,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.05792627808832092,-0.04910738133676497
r61_graph,topology,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.07428655018916748,-0.07295439665870329
r61_graph,topology,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.05247808441673955,-0.04756776228982678
r61_graph,topology,configuration_topology,P2D2_MATCHING/L1,40,0.226116103078525,-0.2261161030785251
r61_graph,topology,configuration_topology,P2D2_MATCHING/L2,40,0.23543507652723683,-0.2354350765272368
r61_graph,topology,configuration_topology,P2D2_MATCHING/L3,40,0.23653836885269447,-0.23653836885269441
r61_graph,topology,configuration_topology,P4D1/L1,40,0.14387646515054522,0.13732047597128408
r61_graph,topology,configuration_topology,P4D1/L2,40,0.14412562665530243,0.14013184084489386
r61_graph,topology,configuration_topology,P4D1/L3,40,0.14855822019730686,0.14408081158954125
r61_graph,topology,model,deepseek-v2-lite,240,0.07503199308058216,0.019646039532068147
r61_graph,topology,model,qwen3-8b,240,0.6347560250685997,0.22387035051292442
