profile_id,source,sample_label,sample_requests,pp_size,microbatch,prefill_proxy_calls_per_1000,decode_proxy_calls_per_1000,total_logical_bytes_per_1000
profile_02_burstgpt_1_c1,burstgpt,compact32,32,4,16,187.5,10500.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,8,1,2000.0,21375.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,8,4,500.0,12375.0,3112960000.0
profile_02_burstgpt_1_c1,burstgpt,compact32,32,8,16,187.5,10500.0,3112960000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,2,1,2000.0,124375.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,2,4,1562.5,37437.5,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,2,16,312.5,15875.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,4,1,2000.0,124375.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,4,4,1250.0,40125.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,4,16,250.0,31750.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,8,1,2000.0,124375.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,8,4,625.0,56312.5,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h32,32,8,16,250.0,31750.0,8250368000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,2,1,2000.0,119468.75,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,2,4,1750.0,34062.5,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,2,16,906.25,11593.75,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,4,1,2000.0,119468.75,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,4,4,1562.5,36281.25,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,4,16,375.0,15875.0,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,8,1,2000.0,119468.75,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,8,4,1187.5,40406.25,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h64,64,8,16,281.25,31750.0,8685568000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,2,1,2000.0,120218.75,8535552000.0
