topology,backend,op,algorithm,group_size,repeat_id,payload_scope,payload_bytes,intrinsic_median_latency_us,intrinsic_p95_latency_us,completion_median_latency_us,completion_p95_latency_us,rank_skew_median_us,rank_skew_p95_us,ring_equivalent_factor,ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,1048576,7.584499999999707,8.899199999998928,11.711500000000342,14.53120000000024,4.175499999999374,6.886400000000094,1.0,138.25248862812848
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,1048576,7.583999999999378,8.864000000000487,12.287999999999556,16.750400000000717,4.816499999999905,9.170550000001912,1.0,138.26160337553875
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,1048576,7.72800000000052,9.153600000000006,11.648000000000593,16.612800000000878,4.096499999999651,9.083200000002215,1.0,135.68530020703022
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,1048576,7.599500000000262,8.865599999999631,11.615499999999884,14.030450000001338,4.176000000000386,6.563250000001244,1.0,137.97960392130588
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,2097152,10.559999999999945,11.492799999999397,14.55999999999949,17.57120000000002,4.255499999999756,7.371250000000554,1.0,198.59393939394042
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,2097152,10.55999999999949,11.6166499999998,14.175999999999704,16.132749999999714,3.648499999999558,6.144050000000243,1.0,198.59393939394897
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,2097152,10.416000000000167,11.489599999999768,14.75149999999985,16.907200000000106,4.432000000001153,6.858550000000087,1.0,201.33947772657126
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,2097152,10.623999999999796,11.679999999999847,14.079999999999927,19.744649999999503,3.535500000000411,9.207299999999485,1.0,197.39759036144955
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,2097152,10.52800000000002,11.616049999999996,14.14449999999988,16.334399999999732,3.855999999999767,6.000000000000363,1.0,199.19756838905738
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,4194304,15.072499999999991,15.391999999999825,17.55199999999965,20.035200000000124,2.368499999999301,5.093749999999954,1.0,278.27526953060226
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,4194304,15.103999999999814,15.423049999998875,18.160499999999047,20.486399999999595,2.9924999999993815,5.516149999999287,1.0,277.69491525424064
