model,tp,profile_id,strategy,repeat,phase,requests,normalization_requests,total_calls_per_1000,total_logical_bytes_per_1000,calls_by_12bin_json,logical_bytes_by_12bin_json,canonical_exact_histogram_per_1000_json,raw_op_exact_histogram_per_1000_json
qwen3-8b,2,profile_01_burstgpt_1_c0,latency,2,decode,32,1000,1649343.75,26929408000.0,"[483625.0,1001468.75,164250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3961856000.0,17585408000.0,5382144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":483625.0,""16384"":857750.0,""24576"":143718.75,""32768"":164250.0}","{""all_reduce:8192"":483625.0,""all_reduce:16384"":857750.0,""all_reduce:24576"":143718.75,""all_reduce:32768"":164250.0}"
qwen3-8b,2,profile_01_burstgpt_1_c0,latency,2,prefill,32,1000,18250.0,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15968.75,2281.25,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251540480000.0,80676096000.0,0.0,0.0]","{""11288576"":2281.25,""12746752"":2281.25,""13746176"":2281.25,""13934592"":2281.25,""15056896"":2281.25,""18333696"":2281.25,""25157632"":2281.25,""35364864"":2281.25}","{""all_reduce:11288576"":2281.25,""all_reduce:12746752"":2281.25,""all_reduce:13746176"":2281.25,""all_reduce:13934592"":2281.25,""all_reduce:15056896"":2281.25,""all_reduce:18333696"":2281.25,""all_reduce:25157632"":2281.25,""all_reduce:35364864"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,throughput,0,decode,32,1000,579437.5,26929408000.0,"[0.0,0.0,574875.0,4562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,26331392000.0,598016000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""32768"":123187.5,""40960"":232687.5,""49152"":25093.75,""57344"":146000.0,""65536"":45625.0,""73728"":2281.25,""131072"":4562.5}","{""all_reduce:32768"":123187.5,""all_reduce:40960"":232687.5,""all_reduce:49152"":25093.75,""all_reduce:57344"":146000.0,""all_reduce:65536"":45625.0,""all_reduce:73728"":2281.25,""all_reduce:131072"":4562.5}"
qwen3-8b,2,profile_01_burstgpt_1_c0,throughput,0,prefill,32,1000,4562.5,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,2281.25,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137039104000.0,195177472000.0,0.0]","{""60071936"":2281.25,""85557248"":2281.25}","{""all_reduce:60071936"":2281.25,""all_reduce:85557248"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,throughput,1,decode,32,1000,579437.5,26929408000.0,"[0.0,0.0,574875.0,4562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,26331392000.0,598016000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""32768"":123187.5,""40960"":232687.5,""49152"":25093.75,""57344"":146000.0,""65536"":45625.0,""73728"":2281.25,""131072"":4562.5}","{""all_reduce:32768"":123187.5,""all_reduce:40960"":232687.5,""all_reduce:49152"":25093.75,""all_reduce:57344"":146000.0,""all_reduce:65536"":45625.0,""all_reduce:73728"":2281.25,""all_reduce:131072"":4562.5}"
qwen3-8b,2,profile_01_burstgpt_1_c0,throughput,1,prefill,32,1000,4562.5,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,2281.25,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137039104000.0,195177472000.0,0.0]","{""60071936"":2281.25,""85557248"":2281.25}","{""all_reduce:60071936"":2281.25,""all_reduce:85557248"":2281.25}"
qwen3-8b,2,profile_01_burstgpt_1_c0,throughput,2,decode,32,1000,579437.5,26929408000.0,"[0.0,0.0,574875.0,4562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,26331392000.0,598016000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""32768"":123187.5,""40960"":232687.5,""49152"":25093.75,""57344"":146000.0,""65536"":45625.0,""73728"":2281.25,""131072"":4562.5}","{""all_reduce:32768"":123187.5,""all_reduce:40960"":232687.5,""all_reduce:49152"":25093.75,""all_reduce:57344"":146000.0,""all_reduce:65536"":45625.0,""all_reduce:73728"":2281.25,""all_reduce:131072"":4562.5}"
qwen3-8b,2,profile_01_burstgpt_1_c0,throughput,2,prefill,32,1000,4562.5,332216576000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,2281.25,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137039104000.0,195177472000.0,0.0]","{""60071936"":2281.25,""85557248"":2281.25}","{""all_reduce:60071936"":2281.25,""all_reduce:85557248"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,balanced,0,decode,32,1000,1158875.0,74340864000.0,"[0.0,0.0,1158875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,74340864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""57344"":196187.5,""65536"":962687.5}","{""all_reduce:57344"":196187.5,""all_reduce:65536"":962687.5}"
qwen3-8b,2,profile_08_burstgpt_2_c2,balanced,0,prefill,32,1000,9125.0,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9125.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172746752000.0,0.0]","{""98615296"":2281.25,""137150464"":2281.25,""138313728"":2281.25,""140001280"":2281.25}","{""all_reduce:98615296"":2281.25,""all_reduce:137150464"":2281.25,""all_reduce:138313728"":2281.25,""all_reduce:140001280"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,balanced,1,decode,32,1000,1158875.0,74340864000.0,"[0.0,0.0,1158875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,74340864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""57344"":196187.5,""65536"":962687.5}","{""all_reduce:57344"":196187.5,""all_reduce:65536"":962687.5}"
qwen3-8b,2,profile_08_burstgpt_2_c2,balanced,1,prefill,32,1000,9125.0,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9125.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172746752000.0,0.0]","{""98615296"":2281.25,""137150464"":2281.25,""138313728"":2281.25,""140001280"":2281.25}","{""all_reduce:98615296"":2281.25,""all_reduce:137150464"":2281.25,""all_reduce:138313728"":2281.25,""all_reduce:140001280"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,balanced,2,decode,32,1000,1158875.0,74340864000.0,"[0.0,0.0,1158875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,74340864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""57344"":196187.5,""65536"":962687.5}","{""all_reduce:57344"":196187.5,""all_reduce:65536"":962687.5}"
qwen3-8b,2,profile_08_burstgpt_2_c2,balanced,2,prefill,32,1000,9125.0,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9125.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172746752000.0,0.0]","{""98615296"":2281.25,""137150464"":2281.25,""138313728"":2281.25,""140001280"":2281.25}","{""all_reduce:98615296"":2281.25,""all_reduce:137150464"":2281.25,""all_reduce:138313728"":2281.25,""all_reduce:140001280"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,latency,0,decode,32,1000,3186906.25,74340864000.0,"[289718.75,2803656.25,93531.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2373376000.0,68902656000.0,3064832000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":289718.75,""24576"":2803656.25,""32768"":93531.25}","{""all_reduce:8192"":289718.75,""all_reduce:24576"":2803656.25,""all_reduce:32768"":93531.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,latency,0,prefill,32,1000,25093.75,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,22812.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38833664000.0,1133913088000.0,0.0,0.0]","{""17022976"":2281.25,""29548544"":2281.25,""51068928"":9125.0,""51249152"":2281.25,""51855360"":2281.25,""52043776"":2281.25,""53198848"":2281.25,""54886400"":2281.25}","{""all_reduce:17022976"":2281.25,""all_reduce:29548544"":2281.25,""all_reduce:51068928"":9125.0,""all_reduce:51249152"":2281.25,""all_reduce:51855360"":2281.25,""all_reduce:52043776"":2281.25,""all_reduce:53198848"":2281.25,""all_reduce:54886400"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,latency,1,decode,32,1000,3186906.25,74340864000.0,"[289718.75,2803656.25,93531.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2373376000.0,68902656000.0,3064832000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":289718.75,""24576"":2803656.25,""32768"":93531.25}","{""all_reduce:8192"":289718.75,""all_reduce:24576"":2803656.25,""all_reduce:32768"":93531.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,latency,1,prefill,32,1000,25093.75,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,22812.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38833664000.0,1133913088000.0,0.0,0.0]","{""17022976"":2281.25,""29548544"":2281.25,""51068928"":9125.0,""51249152"":2281.25,""51855360"":2281.25,""52043776"":2281.25,""53198848"":2281.25,""54886400"":2281.25}","{""all_reduce:17022976"":2281.25,""all_reduce:29548544"":2281.25,""all_reduce:51068928"":9125.0,""all_reduce:51249152"":2281.25,""all_reduce:51855360"":2281.25,""all_reduce:52043776"":2281.25,""all_reduce:53198848"":2281.25,""all_reduce:54886400"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,latency,2,decode,32,1000,3186906.25,74340864000.0,"[289718.75,2803656.25,93531.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2373376000.0,68902656000.0,3064832000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":289718.75,""24576"":2803656.25,""32768"":93531.25}","{""all_reduce:8192"":289718.75,""all_reduce:24576"":2803656.25,""all_reduce:32768"":93531.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,latency,2,prefill,32,1000,25093.75,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,22812.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38833664000.0,1133913088000.0,0.0,0.0]","{""17022976"":2281.25,""29548544"":2281.25,""51068928"":9125.0,""51249152"":2281.25,""51855360"":2281.25,""52043776"":2281.25,""53198848"":2281.25,""54886400"":2281.25}","{""all_reduce:17022976"":2281.25,""all_reduce:29548544"":2281.25,""all_reduce:51068928"":9125.0,""all_reduce:51249152"":2281.25,""all_reduce:51855360"":2281.25,""all_reduce:52043776"":2281.25,""all_reduce:53198848"":2281.25,""all_reduce:54886400"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,throughput,0,decode,32,1000,579437.5,74340864000.0,"[0.0,0.0,0.0,579437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,74340864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""122880"":196187.5,""131072"":383250.0}","{""all_reduce:122880"":196187.5,""all_reduce:131072"":383250.0}"
qwen3-8b,2,profile_08_burstgpt_2_c2,throughput,0,prefill,32,1000,4562.5,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.5]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172746752000.0]","{""236929024"":2281.25,""277151744"":2281.25}","{""all_reduce:236929024"":2281.25,""all_reduce:277151744"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,throughput,1,decode,32,1000,579437.5,74340864000.0,"[0.0,0.0,0.0,579437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,74340864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""122880"":196187.5,""131072"":383250.0}","{""all_reduce:122880"":196187.5,""all_reduce:131072"":383250.0}"
qwen3-8b,2,profile_08_burstgpt_2_c2,throughput,1,prefill,32,1000,4562.5,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.5]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172746752000.0]","{""236929024"":2281.25,""277151744"":2281.25}","{""all_reduce:236929024"":2281.25,""all_reduce:277151744"":2281.25}"
qwen3-8b,2,profile_08_burstgpt_2_c2,throughput,2,decode,32,1000,579437.5,74340864000.0,"[0.0,0.0,0.0,579437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,74340864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""122880"":196187.5,""131072"":383250.0}","{""all_reduce:122880"":196187.5,""all_reduce:131072"":383250.0}"
qwen3-8b,2,profile_08_burstgpt_2_c2,throughput,2,prefill,32,1000,4562.5,1172746752000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562.5]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172746752000.0]","{""236929024"":2281.25,""277151744"":2281.25}","{""all_reduce:236929024"":2281.25,""all_reduce:277151744"":2281.25}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,balanced,0,decode,32,1000,1738312.5,65165056000.0,"[0.0,289718.75,1448593.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,4746752000.0,60418304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""16384"":289718.75,""32768"":515562.5,""40960"":319375.0,""49152"":595406.25,""57344"":2281.25,""65536"":15968.75}","{""all_reduce:16384"":289718.75,""all_reduce:32768"":515562.5,""all_reduce:40960"":319375.0,""all_reduce:49152"":595406.25,""all_reduce:57344"":2281.25,""all_reduce:65536"":15968.75}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,balanced,0,prefill,32,1000,13687.5,3054067712000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,11406.25]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305716992000.0,2748350720000.0]","{""134012928"":2281.25,""208666624"":2281.25,""216915968"":2281.25,""250142720"":2281.25,""263323648"":2281.25,""265707520"":2281.25}","{""all_reduce:134012928"":2281.25,""all_reduce:208666624"":2281.25,""all_reduce:216915968"":2281.25,""all_reduce:250142720"":2281.25,""all_reduce:263323648"":2281.25,""all_reduce:265707520"":2281.25}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,balanced,1,decode,32,1000,1738312.5,65165056000.0,"[0.0,289718.75,1448593.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,4746752000.0,60418304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""16384"":289718.75,""32768"":515562.5,""40960"":319375.0,""49152"":595406.25,""57344"":2281.25,""65536"":15968.75}","{""all_reduce:16384"":289718.75,""all_reduce:32768"":515562.5,""all_reduce:40960"":319375.0,""all_reduce:49152"":595406.25,""all_reduce:57344"":2281.25,""all_reduce:65536"":15968.75}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,balanced,1,prefill,32,1000,13687.5,3054067712000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,11406.25]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305716992000.0,2748350720000.0]","{""134012928"":2281.25,""208666624"":2281.25,""216915968"":2281.25,""250142720"":2281.25,""263323648"":2281.25,""265707520"":2281.25}","{""all_reduce:134012928"":2281.25,""all_reduce:208666624"":2281.25,""all_reduce:216915968"":2281.25,""all_reduce:250142720"":2281.25,""all_reduce:263323648"":2281.25,""all_reduce:265707520"":2281.25}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,balanced,2,decode,32,1000,1738312.5,65165056000.0,"[0.0,289718.75,1448593.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,4746752000.0,60418304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""16384"":289718.75,""32768"":515562.5,""40960"":319375.0,""49152"":595406.25,""57344"":2281.25,""65536"":15968.75}","{""all_reduce:16384"":289718.75,""all_reduce:32768"":515562.5,""all_reduce:40960"":319375.0,""all_reduce:49152"":595406.25,""all_reduce:57344"":2281.25,""all_reduce:65536"":15968.75}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,balanced,2,prefill,32,1000,13687.5,3054067712000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.25,11406.25]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305716992000.0,2748350720000.0]","{""134012928"":2281.25,""208666624"":2281.25,""216915968"":2281.25,""250142720"":2281.25,""263323648"":2281.25,""265707520"":2281.25}","{""all_reduce:134012928"":2281.25,""all_reduce:208666624"":2281.25,""all_reduce:216915968"":2281.25,""all_reduce:250142720"":2281.25,""all_reduce:263323648"":2281.25,""all_reduce:265707520"":2281.25}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,latency,0,decode,32,1000,7035375.0,65165056000.0,"[6166218.75,853187.5,15968.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[50513664000.0,14128128000.0,523264000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":6166218.75,""16384"":834937.5,""24576"":18250.0,""32768"":15968.75}","{""all_reduce:8192"":6166218.75,""all_reduce:16384"":834937.5,""all_reduce:24576"":18250.0,""all_reduce:32768"":15968.75}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,latency,0,prefill,32,1000,61593.75,3054067712000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,6843.75,4562.5,50187.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,51859200000.0,75480832000.0,2926727680000.0,0.0,0.0]","{""7340032"":2281.25,""7569408"":2281.25,""7823360"":2281.25,""11255808"":2281.25,""21831680"":2281.25,""30638080"":2281.25,""32595968"":2281.25,""35946496"":2281.25,""38600704"":2281.25,""42967040"":2281.25,""45228032"":2281.25,""56557568"":2281.25,""63258624"":2281.25,""64946176"":2281.25,""66904064"":2281.25,""67108864"":27375.0}","{""all_reduce:7340032"":2281.25,""all_reduce:7569408"":2281.25,""all_reduce:7823360"":2281.25,""all_reduce:11255808"":2281.25,""all_reduce:21831680"":2281.25,""all_reduce:30638080"":2281.25,""all_reduce:32595968"":2281.25,""all_reduce:35946496"":2281.25,""all_reduce:38600704"":2281.25,""all_reduce:42967040"":2281.25,""all_reduce:45228032"":2281.25,""all_reduce:56557568"":2281.25,""all_reduce:63258624"":2281.25,""all_reduce:64946176"":2281.25,""all_reduce:66904064"":2281.25,""all_reduce:67108864"":27375.0}"
qwen3-8b,2,profile_16_mooncake_conversation_c0,latency,1,decode,32,1000,7035375.0,65165056000.0,"[6166218.75,853187.5,15968.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[50513664000.0,14128128000.0,523264000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":6166218.75,""16384"":834937.5,""24576"":18250.0,""32768"":15968.75}","{""all_reduce:8192"":6166218.75,""all_reduce:16384"":834937.5,""all_reduce:24576"":18250.0,""all_reduce:32768"":15968.75}"
