model,tp,profile_id,strategy,repeat,phase,requests,normalization_requests,total_calls_per_1000,total_logical_bytes_per_1000,calls_by_12bin_json,logical_bytes_by_12bin_json,canonical_exact_histogram_per_1000_json,raw_op_exact_histogram_per_1000_json
qwen3-30b-a3b,2,profile_01_burstgpt_1_c0,throughput,0,prefill,32,1000,6062.5,220719232000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6062.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220719232000.0,0.0,0.0]","{""30035968"":3031.25,""42778624"":3031.25}","{""all_reduce:30035968"":3031.25,""all_reduce:42778624"":3031.25}"
qwen3-30b-a3b,2,profile_02_burstgpt_1_c1,balanced,0,decode,32,1000,800250.0,4395264000.0,"[754781.25,15156.25,30312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3091584000.0,310400000.0,993280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":754781.25,""12288"":3031.25,""16384"":3031.25,""20480"":3031.25,""24576"":3031.25,""28672"":3031.25,""32768"":30312.5}","{""all_reduce:4096"":15562.5,""all_reduce:12288"":62.5,""all_reduce:16384"":62.5,""all_reduce:20480"":62.5,""all_reduce:24576"":62.5,""all_reduce:28672"":62.5,""all_reduce:32768"":625.0,""fused_allreduce_residual_rmsnorm:4096"":739218.75,""fused_allreduce_residual_rmsnorm:12288"":2968.75,""fused_allreduce_residual_rmsnorm:16384"":2968.75,""fused_allreduce_residual_rmsnorm:20480"":2968.75,""fused_allreduce_residual_rmsnorm:24576"":2968.75,""fused_allreduce_residual_rmsnorm:28672"":2968.75,""fused_allreduce_residual_rmsnorm:32768"":29687.5}"
qwen3-30b-a3b,2,profile_02_burstgpt_1_c1,balanced,0,prefill,32,1000,12125.0,71553408000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,9093.75,0.0,3031.25,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,26086016000.0,0.0,45467392000.0,0.0,0.0,0.0]","{""2629632"":3031.25,""2826240"":3031.25,""3149824"":3031.25,""14999552"":3031.25}","{""all_reduce:2629632"":62.5,""all_reduce:2826240"":62.5,""all_reduce:3149824"":62.5,""all_reduce:14999552"":3031.25,""fused_allreduce_residual_rmsnorm:2629632"":2968.75,""fused_allreduce_residual_rmsnorm:2826240"":2968.75,""fused_allreduce_residual_rmsnorm:3149824"":2968.75}"
qwen3-30b-a3b,2,profile_02_burstgpt_1_c1,latency,0,decode,32,1000,842687.5,4395264000.0,"[766906.25,75781.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3178496000.0,1216768000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":757812.5,""8192"":9093.75,""12288"":6062.5,""16384"":69718.75}","{""all_reduce:4096"":15625.0,""all_reduce:8192"":187.5,""all_reduce:12288"":125.0,""all_reduce:16384"":1437.5,""fused_allreduce_residual_rmsnorm:4096"":742187.5,""fused_allreduce_residual_rmsnorm:8192"":8906.25,""fused_allreduce_residual_rmsnorm:12288"":5937.5,""fused_allreduce_residual_rmsnorm:16384"":68281.25}"
qwen3-30b-a3b,2,profile_02_burstgpt_1_c1,latency,0,prefill,32,1000,24250.0,71553408000.0,"[0.0,0.0,0.0,0.0,0.0,9093.75,12125.0,0.0,3031.25,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,11646208000.0,18723328000.0,0.0,41183872000.0,0.0,0.0,0.0]","{""1126400"":3031.25,""1302528"":3031.25,""1413120"":3031.25,""1503232"":3031.25,""1523712"":3031.25,""1564672"":3031.25,""1585152"":3031.25,""13586432"":3031.25}","{""all_reduce:1126400"":62.5,""all_reduce:1302528"":62.5,""all_reduce:1413120"":62.5,""all_reduce:1503232"":62.5,""all_reduce:1523712"":62.5,""all_reduce:1564672"":62.5,""all_reduce:1585152"":62.5,""all_reduce:13586432"":3031.25,""fused_allreduce_residual_rmsnorm:1126400"":2968.75,""fused_allreduce_residual_rmsnorm:1302528"":2968.75,""fused_allreduce_residual_rmsnorm:1413120"":2968.75,""fused_allreduce_residual_rmsnorm:1503232"":2968.75,""fused_allreduce_residual_rmsnorm:1523712"":2968.75,""fused_allreduce_residual_rmsnorm:1564672"":2968.75,""fused_allreduce_residual_rmsnorm:1585152"":2968.75}"
qwen3-30b-a3b,2,profile_02_burstgpt_1_c1,throughput,0,decode,32,1000,769937.5,4395264000.0,"[745687.5,3031.25,21218.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3079168000.0,62080000.0,1254016000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":739625.0,""8192"":6062.5,""20480"":3031.25,""32768"":3031.25,""53248"":3031.25,""65536"":15156.25}","{""all_reduce:4096"":15250.0,""all_reduce:8192"":125.0,""all_reduce:20480"":62.5,""all_reduce:32768"":62.5,""all_reduce:53248"":62.5,""all_reduce:65536"":312.5,""fused_allreduce_residual_rmsnorm:4096"":724375.0,""fused_allreduce_residual_rmsnorm:8192"":5937.5,""fused_allreduce_residual_rmsnorm:20480"":2968.75,""fused_allreduce_residual_rmsnorm:32768"":2968.75,""fused_allreduce_residual_rmsnorm:53248"":2968.75,""fused_allreduce_residual_rmsnorm:65536"":14843.75}"
qwen3-30b-a3b,2,profile_02_burstgpt_1_c1,throughput,0,prefill,32,1000,6062.5,71553408000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,3031.25,3031.25,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,16538112000.0,55015296000.0,0.0,0.0,0.0]","{""5455872"":3031.25,""18149376"":3031.25}","{""all_reduce:5455872"":62.5,""all_reduce:18149376"":3031.25,""fused_allreduce_residual_rmsnorm:5455872"":2968.75}"
qwen3-30b-a3b,2,profile_03_burstgpt_1_c2,balanced,0,decode,32,1000,1273125.0,24707840000.0,"[275843.75,715375.0,281906.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1837568000.0,13632768000.0,9237504000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":103062.5,""8192"":172781.25,""12288"":12125.0,""16384"":469843.75,""20480"":78812.5,""24576"":63656.25,""28672"":90937.5,""32768"":281906.25}","{""all_reduce:4096"":2125.0,""all_reduce:8192"":3562.5,""all_reduce:12288"":250.0,""all_reduce:16384"":9687.5,""all_reduce:20480"":1625.0,""all_reduce:24576"":1312.5,""all_reduce:28672"":1875.0,""all_reduce:32768"":5812.5,""fused_allreduce_residual_rmsnorm:4096"":100937.5,""fused_allreduce_residual_rmsnorm:8192"":169218.75,""fused_allreduce_residual_rmsnorm:12288"":11875.0,""fused_allreduce_residual_rmsnorm:16384"":460156.25,""fused_allreduce_residual_rmsnorm:20480"":77187.5,""fused_allreduce_residual_rmsnorm:24576"":62343.75,""fused_allreduce_residual_rmsnorm:28672"":89062.5,""fused_allreduce_residual_rmsnorm:32768"":276093.75}"
qwen3-30b-a3b,2,profile_03_burstgpt_1_c2,balanced,0,prefill,32,1000,12125.0,175363584000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,3031.25,0.0,9093.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,8107648000.0,0.0,167255936000.0,0.0,0.0,0.0]","{""2674688"":3031.25,""11292672"":3031.25,""19214336"":3031.25,""24670208"":3031.25}","{""all_reduce:2674688"":62.5,""all_reduce:11292672"":3031.25,""all_reduce:19214336"":3031.25,""all_reduce:24670208"":3031.25,""fused_allreduce_residual_rmsnorm:2674688"":2968.75}"
qwen3-30b-a3b,2,profile_03_burstgpt_1_c2,latency,0,decode,32,1000,2443187.5,24707840000.0,"[1521687.5,921500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[10578432000.0,14129408000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":460750.0,""8192"":1060937.5,""12288"":236437.5,""16384"":685062.5}","{""all_reduce:4096"":9500.0,""all_reduce:8192"":21875.0,""all_reduce:12288"":4875.0,""all_reduce:16384"":14125.0,""fused_allreduce_residual_rmsnorm:4096"":451250.0,""fused_allreduce_residual_rmsnorm:8192"":1039062.5,""fused_allreduce_residual_rmsnorm:12288"":231562.5,""fused_allreduce_residual_rmsnorm:16384"":670937.5}"
