workload_id,model,tp,mode,case_label,phase,batch_size,input_len,output_len,output_lens_json,prefill_chunk_size,repeat_count,calls,logical_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,payload_supports,op_payload_supports,calls_by_payload_json,calls_by_op_payload_json,raw_ops_json,backend_signature,target_post_us,post_repeat_iqr_fraction,intrinsic_us,sync_inclusive_us,continuous_raw_us,curve_min_payload_bytes,curve_max_payload_bytes,curve_extrapolated_calls,curve_extrapolated_call_fraction,pred_total_bytes_tp2_fit_us,pred_continuous_tp2_calibrated_us,pred_continuous_per_tp_calibrated_us
qwen3-30b-a3b-chunk-c1024-b4-l1025-m8,qwen3-30b-a3b,4,chunked_prefill,c1024,prefill,4,1025,8,"[8,8,8,8]",1024,3,194,1628979200,2443468800.0,1164,2,3,"{""16384"":97,""16777216"":97}","{""all_reduce:16384"":2,""all_reduce:16777216"":97,""fused_allreduce_residual_rmsnorm:16384"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,5718.04443359375,0.00560174133506055,5290.308,129353.025,8067.247500000046,8192,134217728,0,0.0,4459.589026342593,7736.70463433555,6944.3315961511125
qwen3-30b-a3b-chunk-c4096-b1-l4095-m8,qwen3-30b-a3b,4,chunked_prefill,c4096,prefill,1,4095,8,[8],4096,3,97,1626992640,2440488960.0,582,1,1,"{""16773120"":97}","{""all_reduce:16773120"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,4911.99365234375,0.0014125581288545266,4685.165,87907.015,5761.892219600986,8192,134217728,0,0.0,4455.008716816718,5525.807685698082,4959.868926073257
qwen3-30b-a3b-chunk-c4096-b1-l4096-m8,qwen3-30b-a3b,4,chunked_prefill,c4096,prefill,1,4096,8,[8],4096,3,97,1627389952,2441084928.0,582,1,1,"{""16777216"":97}","{""all_reduce:16777216"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,4922.42578125,0.0021031872623777817,4674.896,61133.059,5762.5275000000465,8192,134217728,0,0.0,4455.924849326791,5526.416936475069,4960.415778980349
qwen3-30b-a3b-chunk-c4096-b1-l4097-m8,qwen3-30b-a3b,4,chunked_prefill,c4096,prefill,1,4097,8,[8],4096,3,194,1627787264,2441680896.0,1164,2,3,"{""4096"":97,""16777216"":97}","{""all_reduce:4096"":2,""all_reduce:16777216"":97,""fused_allreduce_residual_rmsnorm:4096"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,5625.73095703125,0.0046529109889105556,5333.744,125727.29600000002,7863.9355000001115,8192,134217728,97,0.5,4456.840946524444,7541.723025972163,6769.3194937610215
qwen3-30b-a3b-chunk-c4096-b4-l4095-m8,qwen3-30b-a3b,4,chunked_prefill,c4096,prefill,4,4095,8,"[8,8,8,8]",4096,3,97,6507970560,9761955840.0,582,1,1,"{""67092480"":97}","{""all_reduce:67092480"":97}","[""all_reduce""]",nccl:all_reduce,17961.0302734375,0.010153900357735212,17880.011000000002,35746.59099999999,18432.41282672067,8192,134217728,0,0.0,14317.032845154014,17677.17350167762,15866.723660814505
qwen3-30b-a3b-chunk-c4096-b4-l4096-m8,qwen3-30b-a3b,4,chunked_prefill,c4096,prefill,4,4096,8,"[8,8,8,8]",4096,3,97,6509559808,9764339712.0,582,1,1,"{""67108864"":97}","{""all_reduce:67108864"":97}","[""all_reduce""]",nccl:all_reduce,18524.94677734375,0.011605734043548909,18424.731,31362.829999999998,18434.6554428339,8192,134217728,0,0.0,14319.977014307675,17679.324230098468,15868.654117259923
qwen3-30b-a3b-chunk-c4096-b4-l4097-m8,qwen3-30b-a3b,4,chunked_prefill,c4096,prefill,4,4097,8,"[8,8,8,8]",4096,3,194,6511149056,9766723584.0,1164,2,3,"{""16384"":97,""67108864"":97}","{""all_reduce:16384"":2,""all_reduce:67108864"":97,""fused_allreduce_residual_rmsnorm:16384"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,18688.220703125,0.01988701000139104,18467.083,100242.42199999999,20739.3754428339,8192,134217728,0,0.0,14322.921069977989,19889.61192795895,17852.56993443069
qwen3-30b-a3b-mixed-balanced,qwen3-30b-a3b,4,mixed_same_coarse,balanced,decode,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,6111,98533376,147800064.0,36666,3,6,"{""8192"":3104,""16384"":1552,""32768"":1455}","{""all_reduce:8192"":64,""all_reduce:16384"":32,""all_reduce:32768"":30,""fused_allreduce_residual_rmsnorm:8192"":3040,""fused_allreduce_residual_rmsnorm:16384"":1520,""fused_allreduce_residual_rmsnorm:32768"":1425}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,50772.69873046875,0.020814043426370443,42359.826,3939248.3600000003,137201.45600000056,8192,134217728,0,0.0,43577.428186599434,111123.95997233779,45865.55155991073
qwen3-30b-a3b-mixed-bimodal,qwen3-30b-a3b,4,mixed_same_coarse,bimodal,decode,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,6111,98533376,147800064.0,36666,3,6,"{""12288"":4656,""24576"":776,""32768"":679}","{""all_reduce:12288"":96,""all_reduce:24576"":16,""all_reduce:32768"":14,""fused_allreduce_residual_rmsnorm:12288"":4560,""fused_allreduce_residual_rmsnorm:24576"":760,""fused_allreduce_residual_rmsnorm:32768"":665}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,50319.439453125,0.0003821435265547419,41843.462,4255852.791999999,139986.8977632648,8192,134217728,0,0.0,43577.428186599434,113379.98063006501,46796.70656755238
qwen3-30b-a3b-mixed-staircase,qwen3-30b-a3b,4,mixed_same_coarse,staircase,decode,8,512,64,"[16,16,16,24,32,40,48,64]",0,3,6111,98533376,147800064.0,36666,6,12,"{""4096"":1552,""8192"":776,""12288"":776,""16384"":776,""20480"":776,""32768"":1455}","{""all_reduce:4096"":32,""all_reduce:8192"":16,""all_reduce:12288"":16,""all_reduce:16384"":16,""all_reduce:20480"":16,""all_reduce:32768"":30,""fused_allreduce_residual_rmsnorm:4096"":1520,""fused_allreduce_residual_rmsnorm:8192"":760,""fused_allreduce_residual_rmsnorm:12288"":760,""fused_allreduce_residual_rmsnorm:16384"":760,""fused_allreduce_residual_rmsnorm:20480"":760,""fused_allreduce_residual_rmsnorm:32768"":1425}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,48850.04052734375,0.021376125753478067,42402.091,3811412.77,137897.08337710117,8192,134217728,1552,0.25396825396825395,43577.428186599434,111687.37140441901,46098.095253404
