pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
2,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,1,556,264,1.106060606060606,5799936,5799936,0.0,0.9305101373446697,556,264,5799936,5799936
2,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,1,22,8,1.75,94420992,94420992,0.0,1.0,22,8,94420992,94420992
2,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,1,548,264,1.0757575757575757,5799936,5799936,0.0,0.944702499447025,548,264,5799936,5799936
2,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,1,22,6,2.6666666666666665,94420992,94420992,0.0,1.0,22,6,94420992,94420992
2,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,1,542,264,1.053030303030303,5799936,5799936,0.0,0.9514424689701443,542,264,5799936,5799936
2,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,prefill,1,64,6,9.666666666666666,62160896,62160896,0.0,0.96875,64,6,62160896,62160896
2,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,decode,1,1166,236,3.940677966101695,10043392,10043392,0.0,0.7282030409628747,1166,236,10043392,10043392
2,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,1,64,6,9.666666666666666,62160896,62160896,0.0,0.96875,64,6,62160896,62160896
2,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,1,1110,236,3.7033898305084745,10043392,10043392,0.0,0.6895709268590625,1110,236,10043392,10043392
2,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,prefill,1,64,6,9.666666666666666,62160896,62160896,0.0,0.96875,64,6,62160896,62160896
2,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,decode,1,1120,236,3.7457627118644066,10043392,10043392,0.0,0.688589588377724,1120,236,10043392,10043392
2,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,prefill,1,98,78,0.2564102564102564,2398896128,2398896128,0.0,0.3129251700680272,98,78,2398896128,2398896128
2,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,decode,1,1242,508,1.4448818897637796,37273600,37273600,0.0,0.6532199779375405,1242,508,37273600,37273600
2,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,prefill,1,98,78,0.2564102564102564,2398896128,2398896128,0.0,0.30612244897959184,98,78,2398896128,2398896128
