pp_size,max_microbatch,profile_id,arrival_mode,phase,repeats,exact_histograms_identical,max_distribution_tvd_vs_r0,min_calls,max_calls,min_bytes,max_bytes
4,16,profile_10_burstgpt_2_c4,profiled,decode,3,0,0.18650114048536068,940,1138,10043392,10043392
4,16,profile_10_burstgpt_2_c4,profiled,prefill,3,1,0.0,64,64,62160896,62160896
4,16,profile_24_mooncake_synthetic_c0,draining,decode,3,0,0.4315444754969096,806,1016,37273600,37273600
4,16,profile_24_mooncake_synthetic_c0,draining,prefill,3,0,0.13513513513513517,74,74,2398896128,2398896128
4,16,profile_24_mooncake_synthetic_c0,profiled,decode,3,0,0.2636942463108307,1370,1754,37273600,37273600
4,16,profile_24_mooncake_synthetic_c0,profiled,prefill,3,0,0.11999999999999997,98,100,2398896128,2398896128
8,1,profile_02_burstgpt_1_c1,draining,decode,3,1,0.0,708,708,5799936,5799936
8,1,profile_02_burstgpt_1_c1,draining,prefill,3,1,0.0,64,64,94420992,94420992
8,1,profile_02_burstgpt_1_c1,profiled,decode,3,1,0.0,708,708,5799936,5799936
8,1,profile_02_burstgpt_1_c1,profiled,prefill,3,1,0.0,64,64,94420992,94420992
8,1,profile_10_burstgpt_2_c4,draining,decode,3,1,0.0,1226,1226,10043392,10043392
8,1,profile_10_burstgpt_2_c4,draining,prefill,3,1,0.0,64,64,62160896,62160896
8,1,profile_10_burstgpt_2_c4,profiled,decode,3,1,0.0,1226,1226,10043392,10043392
8,1,profile_10_burstgpt_2_c4,profiled,prefill,3,1,0.0,64,64,62160896,62160896
8,1,profile_24_mooncake_synthetic_c0,draining,decode,3,0,0.08878602919006137,3362,3650,37273600,37273600
8,1,profile_24_mooncake_synthetic_c0,draining,prefill,3,1,0.0,100,100,2398896128,2398896128
8,1,profile_24_mooncake_synthetic_c0,profiled,decode,3,0,0.09467568883281476,3366,3874,37273600,37273600
8,1,profile_24_mooncake_synthetic_c0,profiled,prefill,3,1,0.0,100,100,2398896128,2398896128
8,4,profile_02_burstgpt_1_c1,draining,decode,3,0,0.8764526840066408,312,556,5799936,5799936
8,4,profile_02_burstgpt_1_c1,draining,prefill,3,0,0.4444444444444444,18,18,94420992,94420992
8,4,profile_02_burstgpt_1_c1,profiled,decode,3,0,0.02047499011466987,562,586,5799936,5799936
8,4,profile_02_burstgpt_1_c1,profiled,prefill,3,0,0.7142857142857143,26,28,94420992,94420992
8,4,profile_10_burstgpt_2_c4,draining,decode,3,0,0.02061037547614724,592,596,10043392,10043392
8,4,profile_10_burstgpt_2_c4,draining,prefill,3,0,0.6666666666666666,18,18,62160896,62160896
8,4,profile_10_burstgpt_2_c4,profiled,decode,3,0,0.0893232576858849,966,1034,10043392,10043392
8,4,profile_10_burstgpt_2_c4,profiled,prefill,3,1,0.0,64,64,62160896,62160896
8,4,profile_24_mooncake_synthetic_c0,draining,decode,3,0,0.3986220472440945,2032,2034,37273600,37273600
8,4,profile_24_mooncake_synthetic_c0,draining,prefill,3,0,0.24390243902439027,78,82,2398896128,2398896128
8,4,profile_24_mooncake_synthetic_c0,profiled,decode,3,0,0.20424193299366988,2032,2118,37273600,37273600
8,4,profile_24_mooncake_synthetic_c0,profiled,prefill,3,0,0.04,100,100,2398896128,2398896128
8,16,profile_02_burstgpt_1_c1,draining,decode,3,0,0.034351145038167906,518,524,5799936,5799936
8,16,profile_02_burstgpt_1_c1,draining,prefill,3,0,1.0,6,8,94420992,94420992
8,16,profile_02_burstgpt_1_c1,profiled,decode,3,0,0.3873456501840055,340,538,5799936,5799936
8,16,profile_02_burstgpt_1_c1,profiled,prefill,3,0,0.39999999999999997,18,22,94420992,94420992
8,16,profile_10_burstgpt_2_c4,draining,decode,3,0,0.10110420979986194,252,276,10043392,10043392
8,16,profile_10_burstgpt_2_c4,draining,prefill,3,0,0.6666666666666666,6,6,62160896,62160896
8,16,profile_10_burstgpt_2_c4,profiled,decode,3,0,0.15571223709369023,864,1046,10043392,10043392
8,16,profile_10_burstgpt_2_c4,profiled,prefill,3,1,0.0,64,64,62160896,62160896
8,16,profile_24_mooncake_synthetic_c0,draining,decode,3,0,0.2770335460644739,1746,1750,37273600,37273600
8,16,profile_24_mooncake_synthetic_c0,draining,prefill,3,0,0.054054054054054085,74,74,2398896128,2398896128
8,16,profile_24_mooncake_synthetic_c0,profiled,decode,3,0,0.31522242404815326,1862,2354,37273600,37273600
8,16,profile_24_mooncake_synthetic_c0,profiled,prefill,3,0,0.07999999999999996,98,100,2398896128,2398896128
