model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase65_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__blind_v09,6|6|6|32,4,99532800,354.847|354.847|354.847|1545.589,1545.589,2610.13,2610.13,2304.3704046377566,2095.844247574252,1536.048,2133.754,588.165,170.61640463775666,37.90975242574768,-37.90975242574768,0.0011435245112604614
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v00,3|3|3|3,4,23887872,204.75|204.75|204.75|204.75,204.75,819.0,819.0,612.2769959501604,560.7620003916215,181.8825,533.7645,329.0145,78.51249595016043,26.997500391621543,26.997500391621543,0.007990415248672375
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v01,6|6|6|6,4,47775744,358.956|358.956|358.956|358.956,358.956,1435.824,1435.824,1156.1281060488975,1072.430108047321,332.611,1045.009,686.053,111.11910604889749,27.421108047321013,27.421108047321013,0.008791311845161262
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v02,12|12|12|12,4,95551488,664.861|664.861|664.861|664.861,664.861,2659.444,2659.444,2234.9886810897783,2087.4478925201483,629.463,2058.946,1394.085,176.0426810897784,28.50189252014843,28.50189252014843,0.0060574682386036255
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v03,24|24|24|24,4,191102976,1177.449|1177.449|1177.449|1177.449,1177.449,4709.796,4709.796,4042.775361395936,3788.2567583685573,1198.807,4074.818,2897.369,32.042638604063995,286.56124163144295,-286.56124163144295,0.0003823483650067298
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v04,32|32|32|32,4,254803968,1541.579|1541.579|1541.579|1541.579,1541.579,6166.316,6166.316,5326.982880689951,4996.469850211091,1581.934,5410.716,3869.1370000000006,83.733119310049,414.24614978890895,-414.24614978890895,0.004006678598544091
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v05,3|6|12|24,4,89579520,204.75|358.956|664.861|1177.449,1177.449,2406.016,2406.016,2084.328401823128,1824.0782207039906,1167.125,1888.771,711.3219999999999,195.55740182312798,64.69277929600935,-64.69277929600935,0.005162086880834151
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v06,3|3|12|12,4,59719680,204.75|204.75|664.861|664.861,664.861,1739.222,1739.2219999999998,1452.706528266154,1302.8763178529653,605.307,1265.0639999999999,600.2029999999999,187.64252826615416,37.81231785296541,37.81231785296541,0.0008556879335748879
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v07,6|12|24|32,4,147308544,358.956|664.861|1177.449|1541.579,1541.579,3742.8450000000003,3742.8450000000003,3266.786415939467,2930.2440279309767,1538.463,3076.5,1534.921,190.28641593946713,146.2559720690233,-146.2559720690233,0.0002762879895985402
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v08,3|12|12|32,4,117448704,204.75|664.861|664.861|1541.579,1541.579,3076.051,3076.051,2699.9437999078186,2361.7424939982625,1550.949,2462.246,920.6670000000001,237.69779990781853,100.5035060017376,-100.5035060017376,0.0012748523096392983
