model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v03,0,qwen3-8b__p4d1__l2__r0,5,336.5885,136.8735,0.022870082162406765
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v03,1,qwen3-8b__p4d1__l2__r1,5,329.70799999999997,138.23399999999998,0.025138198785762525
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v04,0,qwen3-8b__p4d1__l2__r0,5,433.6095,163.1275,0.01774327743975317
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v04,1,qwen3-8b__p4d1__l2__r1,5,420.308,164.98250000000002,0.029890370018906508
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v05,0,qwen3-8b__p4d1__l2__r0,5,147.868,137.989,0.10991086248704088
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v05,1,qwen3-8b__p4d1__l2__r1,5,157.196,127.7995,0.12541094568864838
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v06,0,qwen3-8b__p4d1__l2__r0,5,113.1505,100.887,0.07629820118479995
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v06,1,qwen3-8b__p4d1__l2__r1,5,111.83099999999999,101.5925,0.06474446974602341
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v07,0,qwen3-8b__p4d1__l2__r0,5,224.99450000000002,159.99349999999998,0.11128359456822673
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v07,1,qwen3-8b__p4d1__l2__r1,5,227.9235,150.6365,0.12702067273646095
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v08,0,qwen3-8b__p4d1__l2__r0,5,190.127,161.608,0.13429080151401648
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v08,1,qwen3-8b__p4d1__l2__r1,5,203.6875,151.32999999999998,0.09247508935656229
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v09,0,qwen3-8b__p4d1__l2__r0,5,177.7865,160.89100000000002,0.07512367110378664
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__blind_v09,1,qwen3-8b__p4d1__l2__r1,5,185.873,150.511,0.046690116081804456
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v00,0,qwen3-8b__p4d1__l3__r0,9,85.37950000000001,81.373,0.09569411052676577
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v00,1,qwen3-8b__p4d1__l3__r1,9,92.818,83.78999999999999,0.11186581948587207
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v01,0,qwen3-8b__p4d1__l3__r0,9,104.74000000000001,86.75,0.07841146025959851
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v01,1,qwen3-8b__p4d1__l3__r1,9,109.66550000000001,86.4045,0.08288377169961512
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v02,0,qwen3-8b__p4d1__l3__r0,9,181.8115,101.849,0.09022067864117825
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v02,1,qwen3-8b__p4d1__l3__r1,9,172.8865,101.9495,0.08182199560286844
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v03,0,qwen3-8b__p4d1__l3__r0,9,325.813,138.805,0.04028340124241176
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v03,1,qwen3-8b__p4d1__l3__r1,9,329.1465,137.96800000000002,0.07325059224258786
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v04,0,qwen3-8b__p4d1__l3__r0,9,429.527,163.9445,0.025463119624603403
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v04,1,qwen3-8b__p4d1__l3__r1,9,429.76250000000005,164.221,0.07096802587480934
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__blind_v05,0,qwen3-8b__p4d1__l3__r0,9,150.394,127.94550000000001,0.11142712746559247
