model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v00,83.3045,80.48599999999999,83.3045,0.03383370646243618,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v01,88.2585,87.6,88.2585,0.007461037747072561,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v02,103.974,103.195,103.974,0.007492257679804668,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v03,138.7575,138.872,138.872,0.0008245002592316731,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v04,163.50900000000001,163.09449999999998,163.50900000000001,0.0025350286528572265,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v05,87.0495,83.1135,87.0495,0.045215653162855536,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v06,103.121,92.75450000000001,103.121,0.10052753561350247,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v07,139.028,128.8485,139.028,0.07321906378571216,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v08,163.35649999999998,152.76600000000002,163.35649999999998,0.06483060055767578,False
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__blind_v09,160.2885,153.0575,160.2885,0.04511240669168402,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v00,76.5375,82.73949999999999,82.73949999999999,0.07495815178965305,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v01,83.0455,87.6345,87.6345,0.052365221459584964,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v02,99.387,100.366,100.366,0.009754299264691223,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v03,133.41,134.691,134.691,0.009510657727687862,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v04,157.2415,162.44549999999998,162.44549999999998,0.0320353595513571,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v05,81.4305,86.83500000000001,86.83500000000001,0.06223872862325114,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v06,97.378,101.5435,101.5435,0.04102182808353065,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v07,134.002,134.869,134.869,0.006428460209536589,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v08,158.3245,159.07799999999997,159.07799999999997,0.004736670061227663,False
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__blind_v09,158.183,159.43,159.43,0.00782161450166226,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v00,74.427,82.963,82.963,0.10288923978158923,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v01,81.922,88.7945,88.7945,0.07739781180140665,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v02,99.18350000000001,101.9075,101.9075,0.026730122905576033,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v03,134.084,135.88400000000001,135.88400000000001,0.013246592681993546,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v04,158.11399999999998,160.14249999999998,160.14249999999998,0.012666843592425548,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v05,78.3545,83.9725,83.9725,0.06690285510137242,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v06,91.508,99.77699999999999,99.77699999999999,0.0828748108281467,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v07,126.821,135.481,135.481,0.06392040212280686,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v08,150.69850000000002,159.61200000000002,159.61200000000002,0.05584479863669397,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__blind_v09,150.671,159.561,159.561,0.05571536904381406,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v00,103.37299999999999,98.6275,103.37299999999999,0.0459065713484178,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v01,112.8505,111.4025,112.8505,0.012831134997186484,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v02,150.84699999999998,155.252,155.252,0.028373225465694672,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v03,231.695,229.49,231.695,0.009516821683678907,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v04,277.5485,276.855,277.5485,0.0024986623959415088,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v05,193.73899999999998,183.96249999999998,193.73899999999998,0.050462219790542946,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v06,126.289,125.9545,126.289,0.0026486867423133097,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v07,239.3585,227.8825,239.3585,0.047944819172914266,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v08,218.6685,208.2,218.6685,0.04787383642362757,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__blind_v09,192.4415,189.78,192.4415,0.013830176962869182,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__blind_v00,93.8565,99.28550000000001,99.28550000000001,0.05468069355545387,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__blind_v01,102.6125,102.328,102.6125,0.0027725666950906974,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__blind_v02,126.756,140.3255,140.3255,0.09670017209986784,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__blind_v03,216.914,210.3655,216.914,0.030189383811095597,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__blind_v04,269.07849999999996,281.823,281.823,0.04522164621056485,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__blind_v05,183.3425,189.3015,189.3015,0.03147888421380709,False
