timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 04:49:53.344, 7, P0, 0 MiB, 0 %, 243.67 W
2026/08/12 04:49:54.344, 0, P0, 4 MiB, 0 %, 243.18 W
2026/08/12 04:49:54.344, 1, P0, 4 MiB, 0 %, 240.46 W
2026/08/12 04:49:54.344, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:49:54.344, 3, P0, 0 MiB, 0 %, 238.59 W
2026/08/12 04:49:54.344, 4, P0, 0 MiB, 0 %, 235.57 W
2026/08/12 04:49:54.344, 5, P0, 0 MiB, 0 %, 244.90 W
2026/08/12 04:49:54.344, 6, P0, 0 MiB, 0 %, 243.04 W
2026/08/12 04:49:54.344, 7, P0, 0 MiB, 0 %, 243.68 W
2026/08/12 04:49:55.344, 0, P0, 4 MiB, 0 %, 243.19 W
2026/08/12 04:49:55.344, 1, P0, 4 MiB, 0 %, 240.46 W
2026/08/12 04:49:55.344, 2, P0, 0 MiB, 0 %, 236.07 W
2026/08/12 04:49:55.344, 3, P0, 0 MiB, 0 %, 238.54 W
2026/08/12 04:49:55.344, 4, P0, 0 MiB, 0 %, 235.56 W
2026/08/12 04:49:55.344, 5, P0, 0 MiB, 0 %, 244.91 W
2026/08/12 04:49:55.344, 6, P0, 0 MiB, 0 %, 243.07 W
2026/08/12 04:49:55.344, 7, P0, 0 MiB, 0 %, 243.69 W
2026/08/12 04:49:56.344, 0, P0, 4 MiB, 0 %, 243.22 W
2026/08/12 04:49:56.344, 1, P0, 4 MiB, 0 %, 240.49 W
2026/08/12 04:49:56.344, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:49:56.344, 3, P0, 0 MiB, 0 %, 238.62 W
2026/08/12 04:49:56.344, 4, P0, 0 MiB, 0 %, 235.57 W
2026/08/12 04:49:56.344, 5, P0, 0 MiB, 0 %, 244.81 W
2026/08/12 04:49:56.344, 6, P0, 0 MiB, 0 %, 243.10 W
2026/08/12 04:49:56.344, 7, P0, 0 MiB, 0 %, 243.81 W
2026/08/12 04:49:57.345, 0, P0, 28 MiB, 0 %, 243.21 W
2026/08/12 04:49:57.345, 1, P0, 29 MiB, 0 %, 240.47 W
2026/08/12 04:49:57.347, 2, P0, 0 MiB, 0 %, 236.10 W
2026/08/12 04:49:57.349, 3, P0, 0 MiB, 0 %, 238.59 W
2026/08/12 04:49:57.355, 4, P0, 0 MiB, 0 %, 235.53 W
2026/08/12 04:49:57.359, 5, P0, 0 MiB, 0 %, 244.87 W
2026/08/12 04:49:57.363, 6, P0, 0 MiB, 0 %, 243.06 W
2026/08/12 04:49:57.366, 7, P0, 0 MiB, 0 %, 243.90 W
2026/08/12 04:49:58.366, 0, P0, 723 MiB, 0 %, 243.14 W
2026/08/12 04:49:58.366, 1, P0, 723 MiB, 0 %, 240.48 W
2026/08/12 04:49:58.366, 2, P0, 0 MiB, 0 %, 236.05 W
2026/08/12 04:49:58.366, 3, P0, 0 MiB, 0 %, 238.55 W
2026/08/12 04:49:58.366, 4, P0, 0 MiB, 0 %, 235.52 W
2026/08/12 04:49:58.366, 5, P0, 0 MiB, 0 %, 244.92 W
2026/08/12 04:49:58.366, 6, P0, 0 MiB, 0 %, 243.07 W
2026/08/12 04:49:58.366, 7, P0, 0 MiB, 0 %, 243.81 W
2026/08/12 04:49:59.366, 0, P0, 1851 MiB, 0 %, 243.16 W
2026/08/12 04:49:59.366, 1, P0, 1851 MiB, 0 %, 240.45 W
2026/08/12 04:49:59.366, 2, P0, 0 MiB, 0 %, 236.10 W
2026/08/12 04:49:59.366, 3, P0, 0 MiB, 0 %, 238.57 W
2026/08/12 04:49:59.366, 4, P0, 0 MiB, 0 %, 235.60 W
2026/08/12 04:49:59.366, 5, P0, 0 MiB, 0 %, 244.95 W
2026/08/12 04:49:59.366, 6, P0, 0 MiB, 0 %, 243.09 W
2026/08/12 04:49:59.366, 7, P0, 0 MiB, 0 %, 243.77 W
2026/08/12 04:50:00.367, 0, P0, 1851 MiB, 0 %, 242.70 W
2026/08/12 04:50:00.367, 1, P0, 1851 MiB, 0 %, 239.96 W
2026/08/12 04:50:00.367, 2, P0, 0 MiB, 0 %, 236.05 W
2026/08/12 04:50:00.367, 3, P0, 0 MiB, 0 %, 238.62 W
2026/08/12 04:50:00.367, 4, P0, 0 MiB, 0 %, 235.56 W
2026/08/12 04:50:00.367, 5, P0, 0 MiB, 0 %, 244.91 W
2026/08/12 04:50:00.367, 6, P0, 0 MiB, 0 %, 243.06 W
2026/08/12 04:50:00.367, 7, P0, 0 MiB, 0 %, 243.76 W
2026/08/12 04:50:01.367, 0, P0, 9683 MiB, 5 %, 243.23 W
2026/08/12 04:50:01.367, 1, P0, 9683 MiB, 9 %, 240.33 W
2026/08/12 04:50:01.367, 2, P0, 0 MiB, 0 %, 236.07 W
2026/08/12 04:50:01.367, 3, P0, 0 MiB, 0 %, 238.65 W
2026/08/12 04:50:01.367, 4, P0, 0 MiB, 0 %, 235.57 W
2026/08/12 04:50:01.367, 5, P0, 0 MiB, 0 %, 244.96 W
2026/08/12 04:50:01.367, 6, P0, 0 MiB, 0 %, 243.02 W
2026/08/12 04:50:01.367, 7, P0, 0 MiB, 0 %, 243.65 W
2026/08/12 04:50:02.367, 0, P0, 9683 MiB, 7 %, 243.90 W
2026/08/12 04:50:02.367, 1, P0, 9683 MiB, 9 %, 240.98 W
2026/08/12 04:50:02.367, 2, P0, 0 MiB, 0 %, 236.07 W
2026/08/12 04:50:02.367, 3, P0, 0 MiB, 0 %, 238.68 W
2026/08/12 04:50:02.367, 4, P0, 0 MiB, 0 %, 235.59 W
2026/08/12 04:50:02.367, 5, P0, 0 MiB, 0 %, 244.89 W
2026/08/12 04:50:02.367, 6, P0, 0 MiB, 0 %, 243.10 W
2026/08/12 04:50:02.367, 7, P0, 0 MiB, 0 %, 243.70 W
2026/08/12 04:50:03.367, 0, P0, 9683 MiB, 6 %, 243.80 W
2026/08/12 04:50:03.367, 1, P0, 9683 MiB, 5 %, 240.97 W
2026/08/12 04:50:03.367, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:50:03.367, 3, P0, 0 MiB, 0 %, 238.60 W
2026/08/12 04:50:03.367, 4, P0, 0 MiB, 0 %, 235.52 W
2026/08/12 04:50:03.367, 5, P0, 0 MiB, 0 %, 244.95 W
2026/08/12 04:50:03.367, 6, P0, 0 MiB, 0 %, 243.04 W
2026/08/12 04:50:03.367, 7, P0, 0 MiB, 0 %, 243.64 W
2026/08/12 04:50:04.367, 0, P0, 157443 MiB, 0 %, 255.38 W
2026/08/12 04:50:04.368, 1, P0, 157443 MiB, 0 %, 253.10 W
2026/08/12 04:50:04.368, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:50:04.368, 3, P0, 0 MiB, 0 %, 238.57 W
2026/08/12 04:50:04.368, 4, P0, 0 MiB, 0 %, 235.55 W
2026/08/12 04:50:04.368, 5, P0, 0 MiB, 0 %, 244.90 W
2026/08/12 04:50:04.368, 6, P0, 0 MiB, 0 %, 243.03 W
2026/08/12 04:50:04.368, 7, P0, 0 MiB, 0 %, 243.67 W
2026/08/12 04:50:05.368, 0, P0, 158085 MiB, 0 %, 243.03 W
2026/08/12 04:50:05.368, 1, P0, 158085 MiB, 0 %, 240.14 W
2026/08/12 04:50:05.368, 2, P0, 0 MiB, 0 %, 236.04 W
2026/08/12 04:50:05.368, 3, P0, 0 MiB, 0 %, 238.53 W
2026/08/12 04:50:05.368, 4, P0, 0 MiB, 0 %, 235.50 W
2026/08/12 04:50:05.368, 5, P0, 0 MiB, 0 %, 244.90 W
2026/08/12 04:50:05.368, 6, P0, 0 MiB, 0 %, 243.09 W
2026/08/12 04:50:05.368, 7, P0, 0 MiB, 0 %, 243.73 W
2026/08/12 04:50:06.368, 0, P0, 158087 MiB, 0 %, 243.12 W
2026/08/12 04:50:06.368, 1, P0, 158087 MiB, 2 %, 240.09 W
2026/08/12 04:50:06.368, 2, P0, 0 MiB, 0 %, 236.08 W
2026/08/12 04:50:06.368, 3, P0, 0 MiB, 0 %, 238.62 W
2026/08/12 04:50:06.368, 4, P0, 0 MiB, 0 %, 235.50 W
2026/08/12 04:50:06.368, 5, P0, 0 MiB, 0 %, 244.90 W
2026/08/12 04:50:06.368, 6, P0, 0 MiB, 0 %, 243.13 W
2026/08/12 04:50:06.368, 7, P0, 0 MiB, 0 %, 243.67 W
2026/08/12 04:50:07.368, 0, P0, 158087 MiB, 0 %, 242.92 W
2026/08/12 04:50:07.368, 1, P0, 158087 MiB, 0 %, 240.06 W
2026/08/12 04:50:07.369, 2, P0, 0 MiB, 0 %, 236.10 W
2026/08/12 04:50:07.369, 3, P0, 0 MiB, 0 %, 238.54 W
2026/08/12 04:50:07.370, 4, P0, 0 MiB, 0 %, 235.55 W
2026/08/12 04:50:07.370, 5, P0, 0 MiB, 0 %, 244.86 W
2026/08/12 04:50:07.371, 6, P0, 0 MiB, 0 %, 243.08 W
2026/08/12 04:50:07.371, 7, P0, 0 MiB, 0 %, 243.63 W
2026/08/12 04:50:08.372, 0, P0, 158207 MiB, 61 %, 264.50 W
2026/08/12 04:50:08.374, 1, P0, 158207 MiB, 16 %, 260.23 W
2026/08/12 04:50:08.374, 2, P0, 1 MiB, 0 %, 236.10 W
2026/08/12 04:50:08.374, 3, P0, 1 MiB, 0 %, 238.51 W
2026/08/12 04:50:08.374, 4, P0, 0 MiB, 0 %, 235.53 W
2026/08/12 04:50:08.374, 5, P0, 0 MiB, 0 %, 244.94 W
2026/08/12 04:50:08.375, 6, P0, 0 MiB, 0 %, 243.06 W
2026/08/12 04:50:08.375, 7, P0, 0 MiB, 0 %, 243.76 W
2026/08/12 04:50:09.375, 0, P0, 158207 MiB, 75 %, 288.86 W
2026/08/12 04:50:09.375, 1, P0, 158207 MiB, 55 %, 279.99 W
2026/08/12 04:50:09.375, 2, P0, 0 MiB, 0 %, 236.15 W
2026/08/12 04:50:09.375, 3, P0, 0 MiB, 0 %, 238.58 W
2026/08/12 04:50:09.375, 4, P0, 0 MiB, 0 %, 235.68 W
2026/08/12 04:50:09.375, 5, P0, 0 MiB, 0 %, 244.71 W
2026/08/12 04:50:09.375, 6, P0, 0 MiB, 0 %, 242.73 W
2026/08/12 04:50:09.375, 7, P0, 0 MiB, 0 %, 243.40 W
2026/08/12 04:50:10.375, 0, P0, 158207 MiB, 86 %, 291.31 W
2026/08/12 04:50:10.375, 1, P0, 158207 MiB, 16 %, 277.44 W
2026/08/12 04:50:10.375, 2, P0, 0 MiB, 0 %, 236.07 W
2026/08/12 04:50:10.375, 3, P0, 0 MiB, 0 %, 238.54 W
2026/08/12 04:50:10.375, 4, P0, 0 MiB, 0 %, 235.54 W
2026/08/12 04:50:10.375, 5, P0, 0 MiB, 0 %, 244.30 W
2026/08/12 04:50:10.375, 6, P0, 0 MiB, 0 %, 242.36 W
2026/08/12 04:50:10.375, 7, P0, 0 MiB, 0 %, 243.20 W
2026/08/12 04:50:11.375, 0, P0, 158207 MiB, 36 %, 289.61 W
2026/08/12 04:50:11.377, 1, P0, 158207 MiB, 3 %, 276.64 W
2026/08/12 04:50:11.379, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:50:11.379, 3, P0, 0 MiB, 0 %, 238.53 W
2026/08/12 04:50:11.379, 4, P0, 0 MiB, 0 %, 235.60 W
2026/08/12 04:50:11.379, 5, P0, 0 MiB, 0 %, 244.26 W
2026/08/12 04:50:11.379, 6, P0, 0 MiB, 0 %, 242.34 W
2026/08/12 04:50:11.379, 7, P0, 0 MiB, 0 %, 243.15 W
2026/08/12 04:50:12.379, 0, P0, 159037 MiB, 76 %, 298.99 W
2026/08/12 04:50:12.379, 1, P0, 159037 MiB, 17 %, 293.25 W
2026/08/12 04:50:12.379, 2, P0, 0 MiB, 0 %, 236.05 W
2026/08/12 04:50:12.379, 3, P0, 0 MiB, 0 %, 238.55 W
2026/08/12 04:50:12.379, 4, P0, 0 MiB, 0 %, 235.56 W
2026/08/12 04:50:12.379, 5, P0, 0 MiB, 0 %, 244.28 W
2026/08/12 04:50:12.379, 6, P0, 0 MiB, 0 %, 242.39 W
