curve_id,topology,scenario,curve_kind,tp,payload_bytes,latency_us,launch_us_parameter,round_us_parameter,bandwidth_gbps_parameter,saturation_mib_parameter,alternate_regime_json,rank_mapping
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,70843149,158.37075344483387,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,85164568,192.78131154544786,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,102381159,227.1918711716017,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,123078199,261.60242954731683,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,147959286,304.10006410602233,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,177870251,355.70212505293244,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,213827920,421.02549464463226,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,257054673,504.3858079110772,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,309020006,593.7215089826977,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,371490480,708.0408959929873,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,446589781,838.8089013280563,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,2,536870912,1003.75,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,4096,5.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,4924,5.898422569726686,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,5919,6.296706612167072,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,7116,6.69527619290074,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,8555,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,10284,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,12363,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,14862,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,17867,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,21479,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,25821,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,31041,7.0,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,37316,7.1456122739333185,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,44859,7.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,53928,7.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,64830,7.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,77936,7.3750011339202235,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,93691,7.507811424074561,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,112631,7.640622218382889,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,135401,7.85081798900267,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,162773,8.42206852173384,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,195678,8.99331288883059,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,235236,9.564572631044145,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,282791,10.13583246308129,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,339959,10.707086306439486,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,408684,11.278341099158709,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,491302,11.849594494230853,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,590622,12.420849254963365,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,710020,12.992103118749796,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,853555,13.563356741340518,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,1026107,14.134611871984392,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,1233542,14.705868082219393,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,1482910,15.277121163748948,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,1782691,15.848377283607476,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,2143074,16.419632098991222,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,2576310,16.990885888026114,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,3097129,17.56214127502806,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,3723234,18.13339567351189,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,4475911,19.438822526886167,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,5380747,22.098823223378655,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,6468501,24.758822174064782,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,7776152,27.41882159383774,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,9348154,31.262059564169956,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,11237946,36.38255787930088,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,13509772,41.50305594382265,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,16240863,46.62355429716351,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,19524063,63.084112852698865,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,23470984,81.70411007632,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,28215802,100.32410838585977,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,33919816,118.75816816657995,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,40776935,135.89701775135876,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,49020267,153.03586783532063,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,58930044,170.17471780244335,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,70843149,195.53193542027836,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,85164568,239.8405111984821,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,102381159,284.1490889410392,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,123078199,328.4576650734755,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,147959286,384.55489781603836,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,177870251,456.437757333154,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,213827920,547.3953934386245,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,257054673,652.515788479036,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,309020006,772.9987691232975,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,371490480,912.169590155257,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,446589781,1083.1432227577852,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,4,536870912,1294.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,4096,6.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,4924,6.7656150464844576,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,5919,7.031137741444715,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,7116,7.29685079526716,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,8555,7.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,10284,7.5,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,12363,7.505287924763277,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,14862,7.665273110094337,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,17867,7.75,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,21479,7.75,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,25821,7.792944766204077,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,31041,7.9529484774071255,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,37316,8.145612273933319,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,44859,8.25,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,53928,8.33058573587469,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,64830,8.490587568858762,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,77936,8.687501700880336,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,93691,8.88671713611184,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,112631,9.085933327574335,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,135401,9.374264032956779,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,162773,10.07836352678822,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,195678,10.782455421116774,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,235236,11.48656626617069,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,282791,12.190677221937403,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,339959,12.894780796309131,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,408684,13.598885540823524,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,491302,14.302988562656633,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,590622,15.00709326774554,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,710020,15.711196867296259,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,853555,16.415300169559245,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,1026107,17.119405330585412,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,1233542,17.823511822270415,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,1482910,18.52761445764405,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,1782691,19.231720837934795,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,2143074,19.935825610384533,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,2576310,20.639929117799625,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,3097129,21.344034594802025,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,3723234,22.048138853398378,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,4475911,23.462293090058324,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,5380747,26.188793803963122,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,6468501,28.915292728416404,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,7776152,31.641792133683687,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,9348154,36.46617738436553,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,11237946,42.78367530563096,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,13509772,49.10117291770327,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,16240863,55.41867088611082,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,19524063,77.99869923873986,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,23470984,103.80069539147202,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,28215802,129.60269304897713,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,33919816,155.5240633628965,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,40776935,185.68312426014296,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,49020267,215.84218603579677,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,58930044,246.0012476058499,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,70843149,277.2455331548055,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,85164568,309.53034249244723,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,102381159,341.8151532613869,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,123078199,374.0999628571351,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,147959286,425.9429771532364,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,177870251,495.8504431469953,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,213827920,578.3548022266832,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,257054673,684.1151996722112,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,309020006,804.9065100938466,measured,measured,measured,measured,{},single_node_all_ranks
l1_measured,L1_single_node_B200_NVLink_measured,measured,physical_measurement,8,371490480,947.3791548760134,measured,measured,measured,measured,{},single_node_all_ranks
