evaluation,curve_id,topology,scenario,phase,representation,samples,mape,median_ape,p95_ape,max_ape,signed_bias
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,residual_predicted_12bin,648,0.13271886576541894,0.0893656675515487,0.39143665427165997,0.7606138290531557,0.049266688852113195
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,threebin_calls_bytes,648,2.0128766080740366e-05,8.129993354483054e-06,7.500324666143321e-05,0.00042389248076991166,-8.083196960674369e-06
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,total_bytes_data_only,648,0.9888261698465071,0.9922451961204767,0.9979488296356043,0.9986248865012738,-0.9933088110271816
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,decode,twelvebin_exact,648,3.6826811065689937e-06,1.1342483376992617e-06,1.6426226876614136e-05,3.454863503023244e-05,-1.6775805896225856e-06
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,h0_predicted_12bin,648,0.042016993989633926,0.03917050053965357,0.09468551724980268,0.11922367609290341,0.0015003341144659
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,onebin_calls_bytes,648,5.37937810485432e-05,1.582098966487619e-16,0.0002799227556873163,0.0015601204747356255,-3.172115539849751e-05
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,residual_predicted_12bin,648,0.04564252876776417,0.03992602961176782,0.09666585037491829,0.1322977400552634,-0.00204219098535281
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,threebin_calls_bytes,648,3.0006951200098014e-05,1.4029162758143708e-16,0.00020359081585329887,0.001323936340445613,-9.470350428089293e-06
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,total_bytes_data_only,648,0.09918248099334388,0.05204158562239582,0.3691042732613588,0.8018231974902501,-0.034318099887269506
model_holdout,l2_optimistic,L2_same_rack_two_node_proxy,optimistic,prefill,twelvebin_exact,648,1.052109996232363e-05,1.2248665129444857e-16,1.0163286397451374e-05,0.0010258360590888569,-6.558455326233775e-07
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,h0_predicted_12bin,648,0.14179248675570472,0.11550190884880548,0.46339080092862617,0.6397524423152177,-0.013679812830987076
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,onebin_calls_bytes,648,0.00019467866284656244,8.246820367031834e-06,0.0011527104168965415,0.003030474900070978,-0.00021126386881745044
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,residual_predicted_12bin,648,0.12683659127053878,0.08701111690380806,0.3778145873816726,0.7410636681607379,0.045671244009058226
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,threebin_calls_bytes,648,3.9057739701818436e-05,5.791325937559731e-06,0.0002058867095870708,0.00045911996346212363,-3.955879392420778e-05
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,total_bytes_data_only,648,0.9220558501782845,0.9572395155254438,0.9911731037349525,0.9973537605852216,-0.9275429525297155
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,combined,twelvebin_exact,648,1.4166002420748858e-05,1.2858582529771847e-06,7.556093097111354e-05,0.00017626228410753855,-1.6563040789707936e-05
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,h0_predicted_12bin,648,0.1513407212851334,0.11793443170190741,0.478006778735617,0.6523173405108844,-0.014850026799119708
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,onebin_calls_bytes,648,3.4547837310065395e-07,1.4085520757666398e-07,1.249562919315257e-06,6.689958270655741e-06,-1.4857912787120545e-07
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,residual_predicted_12bin,648,0.13312888354676022,0.08969454358202075,0.391426583694729,0.7661197267572211,0.04949493446254884
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,threebin_calls_bytes,648,3.4547837310065395e-07,1.4085520757666398e-07,1.249562919315257e-06,6.689958270655741e-06,-1.4857912787120545e-07
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,total_bytes_data_only,648,0.9969417503877694,0.9978717591105628,0.9993801425831659,0.999554510893284,-0.9980379828600104
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,decode,twelvebin_exact,648,6.333893396552185e-08,2.0378709213918876e-08,2.9815817735951553e-07,5.477035940385157e-07,-3.085931581388634e-08
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,h0_predicted_12bin,648,0.037345751444087215,0.030288339877127292,0.08652873080191571,0.11314225476866765,0.0005901671771112772
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,onebin_calls_bytes,648,0.006458205056374539,0.00023778513535692718,0.03833030528594952,0.06413327640178233,-0.0027856742290710535
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,residual_predicted_12bin,648,0.0437990954237083,0.03873893099347459,0.09114890642834754,0.12041701695471688,-0.0009561145889063543
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,threebin_calls_bytes,648,0.0013027840038713483,0.00016458423448141682,0.0070768263900250076,0.017162383041494644,-0.0005201401171466565
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,total_bytes_data_only,648,0.17588598617270154,0.08961375552416767,0.6648640454598742,0.9282138172894303,-0.06790300558150307
model_holdout,l2_pessimistic,L2_same_rack_two_node_proxy,pessimistic,prefill,twelvebin_exact,648,0.0004641841227994118,3.802519743884873e-05,0.0021628132339630113,0.00612291977652941,-0.00021816198384380016
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,h0_predicted_12bin,648,0.1336783251046272,0.11266114322474949,0.44106818473745285,0.6182659828366535,-0.012315516825522102
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,onebin_calls_bytes,648,0.00035596394169101677,0.0001077838840224488,0.0015825040589299716,0.004774270245393766,-0.00021966808576613547
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,residual_predicted_12bin,648,0.12104032034509708,0.08371419467449531,0.36214130500736424,0.7042197765358225,0.043219703245578764
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,threebin_calls_bytes,648,0.00014886059413344007,7.549998659695844e-05,0.0005093296598095469,0.0025375264394898755,-5.147294504144151e-05
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,total_bytes_data_only,648,0.8853289310037704,0.9325751569451689,0.9858866005416898,0.9957381584199831,-0.8872654450819271
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,combined,twelvebin_exact,648,3.756981773266487e-05,1.8866963015100706e-05,0.00016050541738808495,0.0005289392107614558,-3.0865086907531956e-05
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,h0_predicted_12bin,648,0.14884129841250127,0.11551907311975013,0.4748399603165452,0.64668858642415,-0.01451812244065381
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,onebin_calls_bytes,648,7.147506787122079e-05,2.972241786188336e-05,0.00025379264999028406,0.0013692016853849372,-3.122036975778904e-05
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,residual_predicted_12bin,648,0.1312966275116151,0.08854765131436482,0.3914740882537023,0.7440837250091232,0.04885111593937046
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,threebin_calls_bytes,648,7.147506787122079e-05,2.972241786188336e-05,0.00025379264999028406,0.0013692016853849372,-3.122036975778904e-05
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,total_bytes_data_only,648,0.9950462547357134,0.9964637009704166,0.9989839421189579,0.9992689825746038,-0.9967695115734102
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,decode,twelvebin_exact,648,1.3034396473392182e-05,4.249255581903406e-06,6.0562517045075293e-05,0.00011155919574107453,-6.479451949680814e-06
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,h0_predicted_12bin,648,0.0365931232941809,0.03010157122414931,0.08897113530241256,0.13410748698664157,0.0028713123288105183
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,onebin_calls_bytes,648,0.004953384976152348,0.00023853846524553562,0.029510511448813066,0.04590937579164094,-0.0015190034038465511
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,residual_predicted_12bin,648,0.04418739438846123,0.038583203838824236,0.09477739964139785,0.20727225612102626,0.004391461870628649
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,threebin_calls_bytes,648,0.0013991327314047954,0.00015932459243070177,0.006136894575939554,0.037993850003299724,-0.00019111319595835102
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,total_bytes_data_only,648,0.2664911296383828,0.195434041721383,0.7679928786904942,0.927364263908682,-0.1322416958977633
model_holdout,l2_protocol_transition_stress,L2_same_rack_two_node_proxy,protocol_transition_stress,prefill,twelvebin_exact,648,0.00043177804304101515,3.8924605603527174e-05,0.0024156603398031297,0.006843264686261895,-0.0001990025280275425
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,h0_predicted_12bin,648,0.1423109658799534,0.11565791077680439,0.4634965363941704,0.6402176198251687,-0.013750064429688891
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,onebin_calls_bytes,648,0.0001801585694137606,7.78548606967685e-06,0.0010484180964112915,0.00288659812066984,-0.00019299472102747155
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,residual_predicted_12bin,648,0.1271553836477155,0.08711719060206043,0.37819328087237164,0.7418769442382788,0.045998412117541444
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,threebin_calls_bytes,648,3.614392187010671e-05,5.331478950408925e-06,0.00018716472507367306,0.0004374465410848092,-3.613792760835329e-05
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,total_bytes_data_only,648,0.9271771693247456,0.960330086633546,0.9919592910192311,0.9976564014746774,-0.9338087116302635
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,combined,twelvebin_exact,648,1.3111172321037897e-05,1.1875541486419506e-06,6.999428508226211e-05,0.00016791865575971435,-1.5130743626296107e-05
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,h0_predicted_12bin,648,0.15135588484230786,0.11795103392312528,0.47802589720405425,0.6523700272951581,-0.01485242896678209
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,onebin_calls_bytes,648,3.1927232695662826e-07,1.296054191030914e-07,1.1474522547901628e-06,6.367066067864501e-06,-1.3490535292965917e-07
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,residual_predicted_12bin,648,0.13314013393478177,0.0897032952887809,0.39142637269043284,0.7662053627951694,0.0494736287425727
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,threebin_calls_bytes,648,3.1927232695662826e-07,1.296054191030914e-07,1.1474522547901628e-06,6.367066067864501e-06,-1.3490535292965917e-07
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,total_bytes_data_only,648,0.9971737047106053,0.997979707426538,0.9994452452780118,0.9996055109442052,-0.9982185477965968
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,decode,twelvebin_exact,648,5.853575918929209e-08,1.9394643742693806e-08,2.698624374224299e-07,5.212760160951155e-07,-2.801932512895799e-08
model_holdout,l3_nominal,L3_cross_rack_two_node_proxy,nominal,prefill,exact_payload_oracle,648,0.0,0.0,0.0,0.0,0.0
