model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v05,1,qwen3-8b__p4d1__l1__r1,5,590.79,256.618,0.01114584272638047
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v06,0,qwen3-8b__p4d1__l1__r0,5,562.411,231.208,0.007816721497268161
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v06,1,qwen3-8b__p4d1__l1__r1,5,560.024,229.014,0.015741701120960003
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v07,0,qwen3-8b__p4d1__l1__r0,5,686.441,275.96,0.004600407720956972
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v07,1,qwen3-8b__p4d1__l1__r1,5,676.12,266.6,0.012775608693593565
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v08,0,qwen3-8b__p4d1__l1__r0,5,645.912,276.06050000000005,0.007355192217689252
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v08,1,qwen3-8b__p4d1__l1__r1,5,648.8595,266.32899999999995,0.013861855379353435
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v09,0,qwen3-8b__p4d1__l1__r0,5,609.307,275.546,0.011137529326057466
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v09,1,qwen3-8b__p4d1__l1__r1,5,604.436,265.652,0.007936198648659987
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v00,0,qwen3-8b__p4d1__l2__r0,5,481.712,176.864,0.024347173274589767
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v00,1,qwen3-8b__p4d1__l2__r1,5,485.277,178.779,0.014522881282350979
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v01,0,qwen3-8b__p4d1__l2__r0,5,530.531,189.63799999999998,0.024801486908412232
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v01,1,qwen3-8b__p4d1__l2__r1,5,527.5025,187.757,0.023418266502879398
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v02,0,qwen3-8b__p4d1__l2__r0,5,636.4335,232.6905,0.06690163530931653
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v02,1,qwen3-8b__p4d1__l2__r1,5,648.939,235.66,0.015152495107737628
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v03,0,qwen3-8b__p4d1__l2__r0,5,739.5899999999999,254.518,0.014544676308602
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v03,1,qwen3-8b__p4d1__l2__r1,5,740.0654999999999,259.201,0.008629507424933833
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v04,0,qwen3-8b__p4d1__l2__r0,5,831.2125,277.57,0.011756585703078425
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v04,1,qwen3-8b__p4d1__l2__r1,5,836.527,282.919,0.013419196799980921
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v05,0,qwen3-8b__p4d1__l2__r0,5,593.4105,238.743,0.03475042335115667
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v05,1,qwen3-8b__p4d1__l2__r1,5,593.9965,257.1995,0.04112791009464732
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v06,0,qwen3-8b__p4d1__l2__r0,5,561.185,230.328,0.02412177934729479
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v06,1,qwen3-8b__p4d1__l2__r1,5,564.843,233.279,0.004720743834724842
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v07,0,qwen3-8b__p4d1__l2__r0,5,690.62,262.691,0.023256981343045692
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v07,1,qwen3-8b__p4d1__l2__r1,5,685.345,280.089,0.02481377495803645
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v08,0,qwen3-8b__p4d1__l2__r0,5,647.2745,263.2065,0.032145481497240926
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v08,1,qwen3-8b__p4d1__l2__r1,5,645.0705,279.03999999999996,0.040439896479276885
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v09,0,qwen3-8b__p4d1__l2__r0,5,601.461,262.503,0.025037434178379895
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v09,1,qwen3-8b__p4d1__l2__r1,5,609.541,277.634,0.032428755191566135
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v00,0,qwen3-8b__p4d1__l3__r0,5,479.527,176.192,0.09076212097852873
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v00,1,qwen3-8b__p4d1__l3__r1,5,472.362,178.122,0.04956893737529662
