model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase67_signed_error_us,cross_replica_relative_spread
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v09,40|40|40|64,4,27131904,214.989533465|214.989533465|214.989533465|296.0755,296.07550000000003,941.0441003935817,511.06503346452723,362.0424313131713,407.4781530618258,463.006150105418,278.229,423.142,127.06649999999996,61.09956868682872,15.663846938174174,39.86415010541799,39.86415010541799,0.028373453828738276
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v00,36|36|36|36,4,21233664,198.299082525|198.299082525|198.299082525|198.299082525,198.29908252499186,793.1963300999674,396.5981650499837,252.37729273252995,270.7588644366291,319.8146809248742,176.903,286.976,88.67691747500814,34.59870726747005,16.217135563370903,32.83868092487421,32.83868092487421,0.0011499219446921836
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v01,40|40|40|40,4,23592960,217.854039948|217.854039948|217.854039948|217.854039948,217.8540399480032,871.4161597920128,435.7080798960064,288.0959860945243,303.91921849544843,360.78284084343494,187.0775,318.613,100.75896005199681,30.51701390547572,14.693781504551566,42.16984084343494,42.16984084343494,0.01977948169095412
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v02,48|48|48|48,4,28311552,251.693|251.693|251.693|251.693,251.69299999999998,1006.7719999999999,503.38599999999997,349.90555241777946,361.30169558466014,437.4094352404586,231.78199999999998,376.70550000000003,125.01250000000005,26.799947582220568,15.403804415339891,60.70393524045858,60.70393524045858,0.0054830630293426635
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v03,56|56|56|56,4,33030144,278.306413028|278.306413028|278.306413028|278.306413028,278.306413028244,1113.225652112976,556.612826056488,398.517079342064,406.4314383726282,506.40726449936517,252.892,427.918,149.61158697175603,29.400920657936013,21.486561627371827,78.48926449936516,78.48926449936516,0.019285236891180214
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v04,64|64|64|64,4,37748736,301.36|301.36|301.36|301.36,301.36,1205.44,602.72,440.62629932784785,445.52459975223974,572.0151916699509,276.679,473.7655,172.40549999999996,33.13920067215213,28.240900247760237,98.24969166995095,98.24969166995095,0.00984980966321931
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v05,36|40|48|56,4,26542080,198.299082525|217.854039948|251.693|278.306413028,278.306413028244,946.1525355012391,529.9994130282439,375.89297555219696,364.34167699755665,451.1650977110324,251.7865,406.124,127.81758697175604,30.231024447803065,41.78232300244338,45.041097711032364,45.041097711032364,0.00285380819651139
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v06,36|36|48|48,4,24772608,198.299082525|198.299082525|251.693|251.693,251.69299999999998,899.9841650499836,503.38599999999997,349.90555241777946,321.462779564181,411.14086361231233,228.371,361.863,110.17000000000002,11.957447582220539,40.400220435818994,49.27786361231233,49.27786361231233,0.00988495646142324
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v07,40|48|56|64,4,30670848,217.854039948|251.693|278.306413028|301.36,301.36,1049.2134529762473,579.666413028244,421.0284092028868,404.77407139492544,519.8729799302957,275.444,452.152,150.79199999999997,31.123590797113195,47.377928605074544,67.72097993029575,67.72097993029575,0.0025832021090252976
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v08,36|48|48|64,4,28901376,198.299082525|251.693|251.693|301.36,301.36,1003.0450825249918,553.053,398.40430541301976,407.78976637655694,495.14230919638146,275.102,436.1955,134.83549999999997,37.791194586980225,28.40573362344304,58.94680919638148,58.94680919638148,0.0007141293296239114
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v09,40|40|40|64,4,27131904,217.854039948|217.854039948|217.854039948|301.36,301.36,954.9221198440096,519.2140399480032,369.63775286505995,415.57131037341617,466.54238382434903,276.27,407.002,105.642,37.36424713494006,8.569310373416158,59.54038382434902,59.54038382434902,0.001235866162819804
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v00,36|36|36|36,4,286654464,1760.60850303|1760.60850303|1760.60850303|1760.60850303,1760.6085030314837,7042.434012125935,7042.434012125935,6099.452423820874,5704.76447770109,6088.351603469992,1682.877,6066.05,4305.441496968517,33.40242382087399,361.2855222989101,22.301603469992187,22.301603469992187,0.000727821234576036
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v01,40|40|40|40,4,318504960,1956.53706995|1956.53706995|1956.53706995|1956.53706995,1956.537069951756,7826.148279807024,7826.148279807024,6790.44997657268,6353.81366990397,6769.899382414875,1859.773,6758.408,4801.870930048244,32.04197657267923,404.5943300960307,11.491382414874352,11.491382414874352,0.0024350409149610877
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v02,48|48|48|48,4,382205952,2295.5825|2295.5825|2295.5825|2295.5825,2295.5825,9182.33,9182.33,7986.189659241584,7476.9636319125075,8113.433065083786,2229.123,8077.784,5782.201499999999,91.59434075841546,600.8203680874922,35.6490650837859,35.6490650837859,0.0009779909935694786
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v03,56|56|56|56,4,445906944,2709.30192925|2709.30192925|2709.30192925|2709.30192925,2709.3019292467934,10837.207716987174,10837.207716987174,9445.288338056185,8847.484866115872,9486.393407774429,2592.666,9403.323,6694.021070753207,41.96533805618492,555.8381338841282,83.07040777442853,83.07040777442853,0.00016823839827690006
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v04,64|64|64|64,4,509607936,3067.682|3067.682|3067.682|3067.682,3067.682,12270.728,12270.728,10709.217104228675,10034.68435968759,10838.711341071865,2956.197,10781.48,7713.798,72.26289577132411,746.7956403124099,57.231341071865245,57.231341071865245,0.0018072657928223921
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v05,36|40|48|56,4,358318080,1760.60850303|1956.53706995|2295.5825|2709.30192925,2709.3019292467934,8722.030002230033,8722.030002230033,7647.1724743789755,7132.340098396603,7570.884052996671,2570.875,7591.036,4881.734070753207,56.136474378975436,458.69590160339703,20.15194700332904,-20.15194700332904,0.00050085390189161
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v06,36|36|48|48,4,334430208,1760.60850303|1760.60850303|2295.5825|2295.5825,2295.5825,8112.382006062968,8112.382006062968,7076.625206200492,6609.369532972442,7083.046595191894,2222.932,7085.43,4789.8475,8.804793799507934,476.06046702755793,2.3834048081062065,-2.3834048081062065,0.00029087860581511693
