model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v05,184.0325,183.633,184.0325,0.002170812220667486,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v06,226.776,227.37900000000002,227.37900000000002,0.0026519599435304428,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v07,251.3385,249.477,251.3385,0.007406346421260597,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v08,274.4635,273.30999999999995,274.4635,0.004202744627245754,False
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__second_blind_v09,275.7365,273.1355,275.7365,0.009432918746702011,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v00,301.837,301.86,301.86,7.619426224085522e-05,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v01,326.429,323.2895,326.429,0.009617711661647705,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v02,391.4845,387.2125,391.4845,0.010912309427321,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v03,440.20349999999996,433.563,440.20349999999996,0.015085068610313128,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v04,485.3805,480.31600000000003,485.3805,0.010434082127320634,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v05,403.44449999999995,404.649,404.649,0.0029766538407361757,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v06,359.739,361.192,361.192,0.004022791202463042,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v07,450.791,451.921,451.921,0.002500437023285033,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v08,447.72950000000003,433.2415,447.72950000000003,0.032358823798744676,False
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__second_blind_v09,408.959,403.097,408.959,0.014333955237566658,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v00,290.253,295.251,295.251,0.01692796976132169,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v01,319.0855,314.9015,319.0855,0.01311247298921457,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v02,384.96,390.5215,390.5215,0.014241213351889777,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v03,426.447,434.2115,434.2115,0.017881838689210207,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v04,488.001,480.5325,488.001,0.015304271917475475,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v05,420.573,408.9,420.573,0.02775499140458375,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v06,382.631,370.465,382.631,0.031795646458337136,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v07,459.832,457.575,459.832,0.0049083143408897275,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v08,448.5715,444.78049999999996,448.5715,0.008451272539606402,False
qwen3-8b,P2D2_ALL_TO_ALL,L2,qwen3-8b__p2d2_all_to_all__second_blind_v09,423.142,411.136,423.142,0.028373453828738276,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v00,286.976,286.646,286.976,0.0011499219446921836,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v01,312.31100000000004,318.613,318.613,0.01977948169095412,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v02,376.70550000000003,374.64,376.70550000000003,0.0054830630293426635,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v03,427.918,419.66549999999995,427.918,0.019285236891180214,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v04,473.7655,469.09900000000005,473.7655,0.00984980966321931,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v05,406.124,404.96500000000003,406.124,0.00285380819651139,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v06,358.286,361.863,361.863,0.00988495646142324,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v07,450.984,452.152,452.152,0.0025832021090252976,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v08,435.884,436.1955,436.1955,0.0007141293296239114,False
qwen3-8b,P2D2_ALL_TO_ALL,L3,qwen3-8b__p2d2_all_to_all__second_blind_v09,406.499,407.002,407.002,0.001235866162819804,False
