model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
deepseek-v2-lite,L2,32,63700992,1550.285,1548.248,1550.285,0.0013139519507703644,False
deepseek-v2-lite,L2,48,95551488,2318.276,2305.3585000000003,2318.276,0.00557202852464485,False
deepseek-v2-lite,L2,64,127401984,3100.839,3080.8005,3100.839,0.006462283272366,False
deepseek-v2-lite,L3,1,1990656,80.93299999999999,80.8055,80.93299999999999,0.0015753771638268412,False
deepseek-v2-lite,L3,2,3981312,138.06,137.19,138.06,0.006301607996523284,False
deepseek-v2-lite,L3,3,5971968,200.1465,200.29000000000002,200.29000000000002,0.0007164611313596149,False
deepseek-v2-lite,L3,4,7962624,253.985,254.42950000000002,254.42950000000002,0.0017470458417754426,False
deepseek-v2-lite,L3,6,11943936,353.543,354.847,354.847,0.0036748232336752847,False
deepseek-v2-lite,L3,8,15925248,455.879,458.76800000000003,458.76800000000003,0.006297300596379891,False
deepseek-v2-lite,L3,12,23887872,659.697,662.174,662.174,0.003740708635494561,False
deepseek-v2-lite,L3,16,31850496,847.595,850.299,850.299,0.0031800578384779364,False
deepseek-v2-lite,L3,24,47775744,1173.7875,1169.7225,1173.7875,0.003463148142231731,False
deepseek-v2-lite,L3,32,63700992,1545.589,1538.774,1545.589,0.004409322271315372,False
deepseek-v2-lite,L3,48,95551488,2324.2865,2304.279,2324.2865,0.008608017987455575,False
deepseek-v2-lite,L3,64,127401984,3109.26,3067.5755,3109.26,0.013406566192598977,False
qwen3-30b-a3b,L1,1,98304,113.777,110.001,113.777,0.033187726869226615,False
qwen3-30b-a3b,L1,2,196608,121.03899999999999,120.595,121.03899999999999,0.003668239162583865,False
qwen3-30b-a3b,L1,3,294912,124.08449999999999,120.7865,124.08449999999999,0.026578662121376866,False
qwen3-30b-a3b,L1,4,393216,125.216,123.15700000000001,125.216,0.016443585484283027,False
qwen3-30b-a3b,L1,6,589824,126.79599999999999,124.757,126.79599999999999,0.016080948925833522,False
qwen3-30b-a3b,L1,8,786432,128.6755,128.337,128.6755,0.002630648414033833,False
qwen3-30b-a3b,L1,12,1179648,134.61950000000002,134.46800000000002,134.61950000000002,0.0011253941665211847,False
qwen3-30b-a3b,L1,16,1572864,142.05349999999999,141.43,142.05349999999999,0.00438919139619917,False
qwen3-30b-a3b,L1,24,2359296,156.2945,155.50400000000002,156.2945,0.00505775955008001,False
qwen3-30b-a3b,L1,32,3145728,168.4025,170.2275,170.2275,0.010720946968028014,False
qwen3-30b-a3b,L1,48,4718592,196.1385,194.003,196.1385,0.01088771454864806,False
qwen3-30b-a3b,L1,64,6291456,225.986,224.933,225.986,0.004659580681989138,False
qwen3-30b-a3b,L1,96,9437184,329.8265,326.77049999999997,329.8265,0.00926547745557146,False
qwen3-30b-a3b,L1,128,12582912,394.329,391.65999999999997,394.329,0.006768459839372807,False
qwen3-30b-a3b,L1,192,18874368,567.9295,567.0815,567.9295,0.001493143074976659,False
qwen3-30b-a3b,L1,256,25165824,728.213,723.686,728.213,0.0062165877291395924,False
qwen3-30b-a3b,L1,384,37748736,977.0515,979.862,979.862,0.002868261040840377,False
qwen3-30b-a3b,L1,512,50331648,1256.1805,1253.685,1256.1805,0.001986577565883241,False
qwen3-30b-a3b,L1,768,75497472,1826.0215,1823.038,1826.0215,0.001633879995388909,False
qwen3-30b-a3b,L1,1024,100663296,2408.125,2403.401,2408.125,0.0019616921879055944,False
qwen3-30b-a3b,L1,1536,150994944,3651.5609999999997,3561.999,3651.5609999999997,0.024527044735114627,False
qwen3-30b-a3b,L1,2048,201326592,4885.120000000001,4834.213,4885.120000000001,0.010420828966330623,False
qwen3-30b-a3b,L1,3072,301989888,7360.073,7319.627,7360.073,0.005495325929511828,False
