model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,graph_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,graph_absolute_error_us,graph_signed_error_us,cross_replica_relative_spread
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v08,1|4|4|16,4,3686400,85.2085|98.729|98.729|132.832,132.832,415.4985,415.4985,260.1709730945603,114.4645,120.5955,12.236499999999992,139.57547309456027,139.57547309456027,0.004871657731839129
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v09,2|2|2|16,4,3244032,95.2945|95.2945|95.2945|132.832,132.832,418.7155,418.7155,262.9057497958711,113.89150000000001,114.42699999999999,18.405,148.4787497958711,148.4787497958711,0.011225497478741731
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v00,1|1,2,294912,94.6865|94.6865,94.6865,189.373,94.6865,1.0,78.518,75.665,19.02149999999999,74.665,-74.665,0.03129584352078252
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v01,2|2,2,589824,98.975|98.975,98.975,197.95,98.975,1.0,75.89949999999999,76.395,22.58,75.395,-75.395,0.07363047319850775
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v02,4|4,2,1179648,102.9795|102.9795,102.9795,205.959,102.9795,1.0,79.0715,79.0075,23.97200000000001,78.0075,-78.0075,0.10983134512546272
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v03,8|8,2,2359296,112.3035|112.3035,112.3035,224.607,112.3035,1.0,89.176,90.25999999999999,22.04350000000001,89.25999999999999,-89.25999999999999,0.10674717482827378
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v04,16|16,2,4718592,135.1405|135.1405,135.1405,270.281,135.1405,22.129942397392327,111.84700000000001,113.042,22.0985,90.91205760260767,-90.91205760260767,0.07238017727924136
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v05,1|2,2,442368,94.6865|98.975,98.975,193.6615,98.975,1.0,77.328,77.2755,21.6995,76.2755,-76.2755,0.12580313294640594
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v06,1|8,2,1327104,94.6865|112.3035,112.3035,206.99,112.3035,1.0,90.374,90.56450000000001,21.73899999999999,89.56450000000001,-89.56450000000001,0.11971578267422679
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v07,2|16,2,2654208,98.975|135.1405,135.1405,234.1155,135.1405,22.129942397392327,112.6625,112.283,22.8575,90.15305760260767,-90.15305760260767,0.08382836226321
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v08,4|16,2,2949120,102.9795|135.1405,135.1405,238.12,135.1405,22.129942397392327,112.18549999999999,112.412,22.728499999999997,90.28205760260768,-90.28205760260768,0.08573372949507171
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v09,8|16,2,3538944,112.3035|135.1405,135.1405,247.44400000000002,135.1405,22.129942397392327,112.2705,112.09450000000001,23.045999999999992,89.96455760260768,-89.96455760260768,0.08360802715565896
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v00,1|1,2,294912,83.1415|83.1415,83.14150000000001,166.28300000000002,83.14150000000001,1.0,78.4505,78.8535,4.288000000000011,77.8535,-77.8535,0.018223667941182038
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v01,2|2,2,589824,93.5185|93.5185,93.51849999999999,187.03699999999998,93.51849999999999,1.0,77.2845,80.007,13.511499999999984,79.007,-79.007,0.018254652717887135
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v02,4|4,2,1179648,96.791|96.791,96.791,193.582,96.791,1.0,80.4865,82.5215,14.269499999999994,81.5215,-81.5215,0.00973079742854889
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v03,8|8,2,2359296,107.497|107.497,107.497,214.994,107.497,1.0,88.423,89.02250000000001,18.474499999999992,88.02250000000001,-88.02250000000001,0.0012581089050520348
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v04,16|16,2,4718592,130.2485|130.2485,130.2485,260.497,130.2485,17.353010034803177,111.05199999999999,110.7085,19.540000000000006,93.35548996519682,-93.35548996519682,0.0025923935379848152
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v05,1|2,2,442368,83.1415|93.5185,93.51849999999999,176.66,93.51849999999999,1.0,77.8325,78.0325,15.48599999999999,77.0325,-77.0325,0.0009803607471245417
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v06,1|8,2,1327104,83.1415|107.497,107.497,190.63850000000002,107.497,1.0,91.75200000000001,89.0875,18.409499999999994,88.0875,-88.0875,0.026445909920022548
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v07,2|16,2,2654208,93.5185|130.2485,130.2485,223.767,130.2485,17.353010034803177,110.1335,110.23949999999999,20.009000000000015,92.88648996519682,-92.88648996519682,0.012658801972069889
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v08,4|16,2,2949120,96.791|130.2485,130.2485,227.0395,130.2485,17.353010034803177,110.4325,110.0295,20.21900000000001,92.67648996519682,-92.67648996519682,0.009779195579367421
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__v09,8|16,2,3538944,107.497|130.2485,130.2485,237.7455,130.2485,17.353010034803177,113.244,113.025,17.2235,95.67198996519683,-95.67198996519683,0.03551426675514276
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v00,1|1,2,294912,85.2085|85.2085,85.2085,170.417,85.2085,1.0,81.3545,81.3405,3.867999999999995,80.3405,-80.3405,0.050706597574394024
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v01,2|2,2,589824,95.2945|95.2945,95.2945,190.589,95.2945,1.0,80.8055,82.16550000000001,13.12899999999999,81.16550000000001,-81.16550000000001,0.059854805240642434
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v02,4|4,2,1179648,98.729|98.729,98.729,197.458,98.729,1.0,81.5585,84.5145,14.214500000000001,83.5145,-83.5145,0.07697495696004825
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v03,8|8,2,2359296,109.7725|109.7725,109.77250000000001,219.54500000000002,109.77250000000001,1.0,90.348,91.155,18.617500000000007,90.155,-90.155,0.033486917887115455
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v04,16|16,2,4718592,132.832|132.832,132.832,265.664,132.832,19.87574199693502,118.003,116.18299999999999,16.649,96.30725800306497,-96.30725800306497,0.04760593202103571
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v05,1|2,2,442368,85.2085|95.2945,95.2945,180.503,95.2945,1.0,78.11250000000001,79.367,15.927499999999995,78.367,-78.367,0.049510501845855384
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v06,1|8,2,1327104,85.2085|109.7725,109.77250000000001,194.981,109.77250000000001,1.0,89.75800000000001,90.274,19.498500000000007,89.274,-89.274,0.1329452555553093
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v07,2|16,2,2654208,95.2945|132.832,132.832,228.1265,132.832,19.87574199693502,112.37700000000001,111.6935,21.138499999999993,91.81775800306498,-91.81775800306498,0.09581130504460877
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v08,4|16,2,2949120,98.729|132.832,132.832,231.56099999999998,132.832,19.87574199693502,111.87049999999999,111.5975,21.234499999999997,91.72175800306498,-91.72175800306498,0.09672707721947175
qwen3-8b,P2D2_MATCHING,L3,qwen3-8b__p2d2_matching__v09,8|16,2,3538944,109.7725|132.832,132.832,242.6045,132.832,19.87574199693502,111.6335,111.315,21.516999999999996,91.43925800306498,-91.43925800306498,0.0953914566769977
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v00,1|1|1|1,4,589824,94.6865|94.6865|94.6865|94.6865,94.6865,378.746,189.373,63.120625811871136,68.4195,103.09100000000001,8.404500000000013,39.97037418812887,-39.97037418812887,0.03258771376744828
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v01,2|2|2|2,4,1179648,98.975|98.975|98.975|98.975,98.975,395.9,197.95,70.95391397350417,68.1195,102.7205,3.745500000000007,31.76658602649583,-31.76658602649583,0.039446848486913585
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v02,4|4|4|4,4,2359296,102.9795|102.9795|102.9795|102.9795,102.9795,411.918,205.959,78.26845342628712,73.5635,105.8675,2.8880000000000052,27.599046573712883,-27.599046573712883,0.00851063829787244
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v03,8|8|8|8,4,4718592,112.3035|112.3035|112.3035|112.3035,112.3035,449.214,224.607,95.2994849802259,84.0395,126.995,14.691500000000005,31.695515019774106,-31.695515019774106,0.025961652033544603
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v04,16|16|16|16,4,9437184,135.1405|135.1405|135.1405|135.1405,135.1405,540.562,270.281,137.01309154364287,107.22550000000001,182.62,47.4795,45.60690845635713,-45.60690845635713,0.015091446719964955
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v05,1|2|4|8,4,2211840,94.6865|98.975|102.9795|112.3035,112.3035,408.9445,215.28300000000002,87.37313808466432,80.89150000000001,113.18700000000001,0.8835000000000122,25.813861915335693,-25.813861915335693,0.01815137780840572
qwen3-8b,P2D2_ALL_TO_ALL,L1,qwen3-8b__p2d2_all_to_all__v06,1|1|8|8,4,2654208,94.6865|94.6865|112.3035|112.3035,112.3035,413.98,224.607,95.2994849802259,82.8875,110.689,1.6145000000000067,15.389515019774095,-15.389515019774095,0.015959128730045385
