model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v02,0,qwen3-8b__p4d1__l2__r0,9,94.35499999999999,81.3255,0.03936152198834419
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v02,1,qwen3-8b__p4d1__l2__r1,5,86.441,82.9175,0.05688527114015395
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v03,0,qwen3-8b__p4d1__l2__r0,9,129.2595,90.13499999999999,0.07873035710192046
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v03,1,qwen3-8b__p4d1__l2__r1,5,120.128,93.8095,0.05956722588779667
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v04,0,qwen3-8b__p4d1__l2__r0,9,234.851,114.319,0.1401359383568592
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v04,1,qwen3-8b__p4d1__l2__r1,5,229.6235,116.6225,0.05931442707906311
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v05,0,qwen3-8b__p4d1__l2__r0,9,89.80199999999999,81.19200000000001,0.04720556640102417
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v05,1,qwen3-8b__p4d1__l2__r1,5,93.669,93.0545,0.08280740498627458
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v06,0,qwen3-8b__p4d1__l2__r0,9,95.413,89.15299999999999,0.07302266143537962
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v06,1,qwen3-8b__p4d1__l2__r1,5,93.07650000000001,92.60499999999999,0.04612007513670388
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v07,0,qwen3-8b__p4d1__l2__r0,9,119.7165,102.8755,0.08018187411324262
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v07,1,qwen3-8b__p4d1__l2__r1,5,119.022,115.98400000000001,0.10398101364476267
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v08,0,qwen3-8b__p4d1__l2__r0,9,115.643,103.9975,0.08506125811081944
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v08,1,qwen3-8b__p4d1__l2__r1,5,120.8905,107.09049999999999,0.08121002323874935
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v09,0,qwen3-8b__p4d1__l2__r0,9,117.09800000000001,103.278,0.06391203354557018
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v09,1,qwen3-8b__p4d1__l2__r1,5,107.188,106.56049999999999,0.04743667347081687
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v00,0,qwen3-8b__p4d1__l3__r0,5,85.976,81.6035,0.02362488790722482
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v00,1,qwen3-8b__p4d1__l3__r1,5,85.334,83.72,0.06828655607059689
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v01,0,qwen3-8b__p4d1__l3__r0,5,85.007,79.4675,0.027582643301418897
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v01,1,qwen3-8b__p4d1__l3__r1,5,86.1,82.421,0.026497382668399242
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v02,0,qwen3-8b__p4d1__l3__r0,5,94.8425,83.84899999999999,0.05931134230814347
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v02,1,qwen3-8b__p4d1__l3__r1,5,95.17150000000001,83.60900000000001,0.03037573718059626
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v03,0,qwen3-8b__p4d1__l3__r0,5,130.1405,92.685,0.07624882389596835
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v03,1,qwen3-8b__p4d1__l3__r1,5,129.848,91.501,0.05667188906785849
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v04,0,qwen3-8b__p4d1__l3__r0,5,225.353,116.15950000000001,0.05113777684729666
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v04,1,qwen3-8b__p4d1__l3__r1,5,232.7225,118.539,0.027547309167865356
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v05,0,qwen3-8b__p4d1__l3__r0,5,93.5445,92.5415,0.08541316494133686
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v05,1,qwen3-8b__p4d1__l3__r1,5,92.66,89.75450000000001,0.05122670397820504
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v06,0,qwen3-8b__p4d1__l3__r0,5,96.689,90.362,0.045307437575329054
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v06,1,qwen3-8b__p4d1__l3__r1,5,95.49449999999999,90.8385,0.0411331458400144
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v07,0,qwen3-8b__p4d1__l3__r0,5,130.6255,113.756,0.07399974894253877
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v07,1,qwen3-8b__p4d1__l3__r1,5,121.4385,112.338,0.04187814253629115
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v08,0,qwen3-8b__p4d1__l3__r0,5,120.5955,114.4645,0.04668356735944526
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v08,1,qwen3-8b__p4d1__l3__r1,5,120.008,113.48150000000001,0.0876904032823067
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v09,0,qwen3-8b__p4d1__l3__r0,5,114.42699999999999,113.89150000000001,0.06779379918767078
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v09,1,qwen3-8b__p4d1__l3__r1,5,113.14250000000001,112.8495,0.05354092135396284
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v00,0,qwen3-8b__p2d2_matching__l1__r0,5,75.665,78.518,0.09890806342425366
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v00,1,qwen3-8b__p2d2_matching__l1__r1,5,73.297,67.2525,0.1103234664221064
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v01,0,qwen3-8b__p2d2_matching__l1__r0,5,76.395,75.89949999999999,0.08655082037258391
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v01,1,qwen3-8b__p2d2_matching__l1__r1,5,70.77,67.489,0.09120830380305342
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v02,0,qwen3-8b__p2d2_matching__l1__r0,5,79.0075,79.0715,0.08586860318765972
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v02,1,qwen3-8b__p2d2_matching__l1__r1,5,70.33,69.4115,0.09579207127661322
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v03,0,qwen3-8b__p2d2_matching__l1__r0,5,90.25999999999999,89.176,0.06279999788910759
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v03,1,qwen3-8b__p2d2_matching__l1__r1,5,80.625,80.6375,0.0734434347516801
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v04,0,qwen3-8b__p2d2_matching__l1__r0,5,113.042,111.84700000000001,0.04068785255793224
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__v04,1,qwen3-8b__p2d2_matching__l1__r1,5,104.86,103.9225,0.04888225841471666
