model,tp,profile_id,source,segment,split,strategy,batch_count,request_count,input_tokens,actual_output_tokens,prefill_wall_us_per_1000,decode_wall_us_per_1000,total_wall_us_per_1000,arrival_span_ms
deepseek-v2-lite,2,profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,throughput,3,32,186555,3432,31373510.777484626,575752444.943646,607125955.7211306,297000.0
deepseek-v2-lite,2,profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,balanced,7,32,175061,3483,30045122.315641493,1348993621.0680752,1379038743.3837168,297000.0
deepseek-v2-lite,2,profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,latency,26,32,175061,3483,43809630.8207605,4348145108.6991005,4391954739.51986,297000.0
deepseek-v2-lite,2,profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,throughput,3,32,175061,3483,29414352.757157758,578043508.1396718,607457860.8968295,297000.0
deepseek-v2-lite,2,profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,balanced,6,32,167738,2058,28488435.229519382,1155739687.732421,1184228122.9619403,294000.0
deepseek-v2-lite,2,profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,latency,26,32,167738,2058,43904445.71617991,2716808882.3964353,2760713328.112615,294000.0
deepseek-v2-lite,2,profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,throughput,3,32,167738,2058,27907003.095606342,578973619.9658364,606880623.0614427,294000.0
deepseek-v2-lite,2,profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,balanced,7,32,197503,2057,33531326.946103945,1347052756.085759,1380584083.031863,296999.0
deepseek-v2-lite,2,profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,latency,29,32,197503,2057,49266596.81950696,3014385644.8994484,3063652241.7189555,296999.0
deepseek-v2-lite,2,profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,throughput,4,32,197503,2057,33361048.40855114,769755110.8431071,803116159.2516582,296999.0
deepseek-v2-lite,2,profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,balanced,7,32,199717,1988,34017879.6031978,1345044728.7468705,1379062608.3500683,297000.0
deepseek-v2-lite,2,profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,latency,28,32,199717,1988,47589295.281795785,2888796237.210045,2936385532.4918404,297000.0
deepseek-v2-lite,2,profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,throughput,4,32,199717,1988,33737392.659531906,772765784.6116927,806503177.2712245,297000.0
deepseek-v2-lite,2,profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,balanced,7,32,188607,2043,32170623.569982126,1304189968.3885276,1336360591.9585097,296999.0
deepseek-v2-lite,2,profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,latency,31,32,188607,2043,51909847.27232717,3000686014.740495,3052595862.012822,296999.0
deepseek-v2-lite,2,profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,throughput,3,32,188607,2043,31668487.732531503,578722480.1024423,610390967.8349737,296999.0
deepseek-v2-lite,2,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,balanced,6,32,146417,2307,25354529.527248815,1128373402.8984327,1153727932.4256816,299353.0
deepseek-v2-lite,2,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,latency,25,32,146417,2307,42430998.2045088,2885671254.6839843,2928102252.888493,299353.0
deepseek-v2-lite,2,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,throughput,3,32,146417,2307,24990438.017994165,578154479.9974654,603144918.0154595,299353.0
deepseek-v2-lite,4,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,balanced,4,32,17777,1473,8488081.628456712,677884658.3911217,686372740.0195785,295000.0
deepseek-v2-lite,4,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,latency,8,32,17777,1473,40530151.92039311,1127555281.3021932,1168085433.2225864,295000.0
deepseek-v2-lite,4,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,throughput,2,32,17777,1473,4131697.7003589272,394016360.1655513,398148057.86591023,295000.0
deepseek-v2-lite,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,balanced,4,32,5763,386,7924180.012196302,409542777.313618,417466957.3258143,281000.0
deepseek-v2-lite,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,latency,8,32,5763,386,14828955.114353448,428491829.9235869,443320785.0379404,281000.0
deepseek-v2-lite,4,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,throughput,2,32,5763,386,4015241.8077923357,399949566.1118999,403964807.9196923,281000.0
deepseek-v2-lite,4,profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,balanced,4,32,14124,2022,7945166.085846722,653719415.8299826,661664581.9158293,299000.0
deepseek-v2-lite,4,profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,latency,8,32,14124,2022,13958933.704998344,1252173508.895794,1266132442.6007922,299000.0
deepseek-v2-lite,4,profile_03_burstgpt_1_c2,burstgpt,burstgpt_1,train,throughput,2,32,14124,2022,4158170.4281270504,395802967.0466203,399961137.47474736,299000.0
deepseek-v2-lite,4,profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,balanced,4,32,9880,1986,7432707.352563739,464974544.88417137,472407252.2367351,292000.0
deepseek-v2-lite,4,profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,latency,8,32,9880,1986,13836724.683642387,892457336.9731661,906294061.6568085,292000.0
deepseek-v2-lite,4,profile_04_burstgpt_1_c3,burstgpt,burstgpt_1,train,throughput,2,32,9880,1986,3806167.689617723,390131947.03147745,393938114.7210952,292000.0
deepseek-v2-lite,4,profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,balanced,4,32,24182,1739,7606278.057210147,778706093.6097987,786312371.6670089,296000.0
deepseek-v2-lite,4,profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,latency,8,32,24182,1739,14460312.318988144,1367671346.8157687,1382131659.1347568,296000.0
deepseek-v2-lite,4,profile_05_burstgpt_1_c4,burstgpt,burstgpt_1,train,throughput,2,32,24182,1739,3843087.2664321214,389672378.1945184,393515465.4609505,296000.0
deepseek-v2-lite,4,profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,balanced,4,32,9100,851,7195226.935436949,635686563.240597,642881790.176034,299000.0
deepseek-v2-lite,4,profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,latency,8,32,9100,851,14646729.599917307,895903997.7926295,910550727.3925469,299000.0
deepseek-v2-lite,4,profile_06_burstgpt_2_c0,burstgpt,burstgpt_2,validation,throughput,2,32,9100,851,3641907.4749574065,389337358.12315714,392979265.5981146,299000.0
deepseek-v2-lite,4,profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,balanced,4,32,18897,904,7156333.769671619,475619029.25372124,482775363.02339286,184000.0
deepseek-v2-lite,4,profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,latency,8,32,18897,904,13681657.757842913,730251471.3082929,743933129.0661358,184000.0
deepseek-v2-lite,4,profile_07_burstgpt_2_c1,burstgpt,burstgpt_2,validation,throughput,2,32,18897,904,3741019.230801612,296547841.9500869,300288861.1808885,184000.0
deepseek-v2-lite,4,profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,balanced,4,32,62754,4010,8201336.517231539,781157051.8242661,789358388.3414977,228000.0
deepseek-v2-lite,4,profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,latency,11,32,62754,4010,18974359.903950244,2150605647.94112,2169580007.8450704,228000.0
deepseek-v2-lite,4,profile_08_burstgpt_2_c2,burstgpt,burstgpt_2,validation,throughput,2,32,62754,4010,7036311.057163402,390232900.18667465,397269211.2438381,228000.0
deepseek-v2-lite,4,profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,balanced,4,32,30550,3144,7221362.786367536,781851942.7964929,789073305.5828605,298000.0
deepseek-v2-lite,4,profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,latency,8,32,30550,3144,13759970.81049718,1562932621.9204812,1576692592.7309785,298000.0
deepseek-v2-lite,4,profile_09_burstgpt_2_c3,burstgpt,burstgpt_2,validation,throughput,2,32,30550,3144,3845231.40382953,390566156.8569485,394411388.26077807,298000.0
deepseek-v2-lite,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,balanced,4,32,3794,645,6908104.027388617,323878934.02483314,330787038.0522218,299000.0
deepseek-v2-lite,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,latency,8,32,3794,645,13904864.055803046,443427788.50113976,457332652.55694276,299000.0
deepseek-v2-lite,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,validation,throughput,2,32,3794,645,3579348.1511063874,183050379.62272763,186629727.77383402,299000.0
deepseek-v2-lite,4,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,balanced,4,32,29547,3101,7317993.731703609,785569303.4362048,792887297.1679084,293000.0
deepseek-v2-lite,4,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,latency,8,32,29547,3101,13697722.286451608,1507316368.7484338,1521014091.0348854,293000.0
deepseek-v2-lite,4,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,throughput,2,32,29547,3101,3824295.4469751567,389615148.88796955,393439444.3349447,293000.0
deepseek-v2-lite,4,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,balanced,4,32,1351,386,6516067.427583039,360580378.3866577,367096445.8142407,284000.0
deepseek-v2-lite,4,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,latency,8,32,1351,386,14014818.56009923,425061821.38458824,439076639.9446875,284000.0
deepseek-v2-lite,4,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,throughput,2,32,1351,386,3430572.949582711,205547828.02355474,208978400.97313747,284000.0
