parallelism,placement_id,topology,curve_kind,phase,slice_type,slice_value,cases,cost_mape,cost_wape,signed_bias,evidence_set
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,llama-3.2-3b-instruct,108,0.1906783470250658,0.04739383439427595,0.015969791677535743,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,mixtral-8x7b-instruct-v0.1,108,0.19097116241815507,0.04760464379572468,0.01654224102026207,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen2.5-14b-instruct,108,0.19114272046252945,0.04778666943371255,0.016983219777367647,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen3-30b-a3b,108,0.1902003836769756,0.047139890087639164,0.015160276631087325,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen3-8b,108,0.19097110665465364,0.04760463930091201,0.01654223685626538,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,overall,all,648,0.19069401634106833,0.04744505715795002,0.016060042259960283,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb1,216,0.034031003360265356,0.02388590975516359,0.0012144124435758451,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb16,216,0.442256371721133,0.23799359699473055,0.16505800829353956,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb4,216,0.09579467394180662,0.06082540649900534,0.013574854715487061,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,deepseek-v2-lite,108,0.11173561338268156,0.08708592350961873,-0.06777080373219999,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,llama-3.2-3b-instruct,108,0.09057244348476641,0.06784407087219613,-0.0360204963894562,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,mixtral-8x7b-instruct-v0.1,108,0.07507345147420921,0.05682382279706397,-0.021578813863832425,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen2.5-14b-instruct,108,0.06546234608279382,0.04434738070865536,-0.022833825322459256,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen3-30b-a3b,108,0.1114230000909919,0.08678207283645761,-0.0676779348807331,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen3-8b,108,0.07443736110639046,0.05558023775301363,-0.022819804772132683,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,overall,all,648,0.08811736927030556,0.0629846502957829,-0.03574953272261104,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb1,216,0.014386602808548352,0.016990233450729773,0.002702836110266541,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb16,216,0.12768018822450775,0.08368760695298137,-0.07275355305017107,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb4,216,0.12228531677786059,0.09618023002962199,-0.046629221469892505,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,deepseek-v2-lite,108,0.1363868091940231,0.04436981614750171,0.012147802950913755,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,llama-3.2-3b-instruct,108,0.1310405124644386,0.04412299212638808,0.013624326375769939,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,mixtral-8x7b-instruct-v0.1,108,0.12631617299106698,0.0436203851452662,0.014480558971372274,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,qwen2.5-14b-instruct,108,0.12095714743877274,0.043396047614358474,0.014467305099189396,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,qwen3-30b-a3b,108,0.13643416738939493,0.0443765989050643,0.012151174830098269,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,qwen3-8b,108,0.12627305976897277,0.043638095661237115,0.014413439138582567,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,overall,all,648,0.12956797820777818,0.04391648291028291,0.013557964282030628,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb1,216,0.031990803376806785,0.023030883193692835,0.0012523715244492492,phase34_open_target_repeated_engineering
