window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,normality_distance,normality_pool_quantile,selection_cluster,selection_cluster_members,selection_distance_to_medoid_mean,role_order_sha256,role,profile_id
burstgpt_2-6392714000,burstgpt,burstgpt_2,validation,6392714000,300,944,3.096113049270931,0.95,3,18,207.41607741906643,2f8c948e8eefa9f4f9c9cc6a7ef68b64aa9f552aa5edb387066ef8dabc073d5b,development_train,phase31_burstgpt_2_020
burstgpt_2-6442514000,burstgpt,burstgpt_2,validation,6442514000,300,281,1.7912827122708375,0.95,16,156,90.69464093917293,5e4203a101663bf4dc9f1ed979c5872ee9b86f235cee9b72a00747ecd02b4b37,development_train,phase31_burstgpt_2_024
burstgpt_2-6474314000,burstgpt,burstgpt_2,validation,6474314000,300,451,3.7201887881295295,0.95,9,69,83.69946319881032,6cb06ab870684268cf07615d72301ab5d4b8c470035176605fd0f82713337450,development_train,phase31_burstgpt_2_026
burstgpt_2-6535514000,burstgpt,burstgpt_2,validation,6535514000,300,760,0.2999978499805656,0.95,0,4695,40.32844134894588,83224ff9968c617adcf2051fcfcfd9fed71aab90cd426f1dc00323ddefe8bf79,development_train,phase31_burstgpt_2_030
burstgpt_2-6621914000,burstgpt,burstgpt_2,validation,6621914000,300,377,3.7572295813485135,0.95,5,11,254.0104059962564,1b106e2677f86e75f3e45b15a731720d96d0fb22a1cb5c407a233e170d57cb6e,development_train,phase31_burstgpt_2_019
burstgpt_2-6799214000,burstgpt,burstgpt_2,validation,6799214000,300,51,4.613689494034556,0.95,15,9,460.7885579885712,9d0b86da42375c1ba94222075ec1542d14d7656b365db2f90b0c822f159679cf,development_validation,phase31_burstgpt_2_032
burstgpt_2-7134914000,burstgpt,burstgpt_2,validation,7134914000,300,525,3.2509267537084603,0.95,12,594,68.63184264908087,6d15b270288b8a23116cea3dc4e467c741fd313a86e1d7641d038a0b9894b93d,development_train,phase31_burstgpt_2_027
burstgpt_2-7255814000,burstgpt,burstgpt_2,validation,7255814000,300,40,5.620073081674175,0.95,2,3,176.7385841162322,835313d521ce96d3b322852d100150c5cd185ed0000301e8e63d8e20263715a9,development_validation,phase31_burstgpt_2_031
burstgpt_2-7352114000,burstgpt,burstgpt_2,validation,7352114000,300,49,3.934038139669727,0.95,10,17,262.12379055956114,5a3b8b04b8cbf533fe6446a5ce1508b2e6e53ab667b1e4dfe8ebab5ecc258239,development_train,phase31_burstgpt_2_023
burstgpt_2-7423514000,burstgpt,burstgpt_2,validation,7423514000,300,59,4.565109326177981,0.95,1,10,393.27010358408825,441db3b6af5c161508f43db1c1fec721d68681f337f5c52eee9db45ed2fbb678,development_train,phase31_burstgpt_2_021
burstgpt_2-9823214000,burstgpt,burstgpt_2,test,9823214000,300,68,4.410703385064228,0.95,13,13,448.10733053090667,bea44f69ce735e34c5c66126c3f494499684357ee4b307c54b3b066b3e73a555,fixed_prediction,phase31_burstgpt_2_035
burstgpt_2-10081514000,burstgpt,burstgpt_2,test,10081514000,300,348,3.9554053867341907,0.95,4,89,108.1635963926869,736fb6f594178aa1e70fdbf65741a4ecbff2e1231cb9e4cf284184703754ef8d,development_train,phase31_burstgpt_2_029
burstgpt_2-10341314000,burstgpt,burstgpt_2,test,10341314000,300,124,4.1581194536681165,0.95,6,22,220.0383735598768,fe51ed6c730287a441e96ff99549c8ca901e94ba8819af3a2468c3139faa875b,fixed_prediction,phase31_burstgpt_2_036
burstgpt_3-19514510000,burstgpt,burstgpt_3,temporal_test,19514510000,300,64,1.6255700779282067,0.95,15,245,60.88151657138059,d7425385682d1ff67ad614aabfd91de206e41adf06de6862f37af66a59784f68,development_validation,phase31_burstgpt_3_050
burstgpt_3-21038510000,burstgpt,burstgpt_3,temporal_test,21038510000,300,166,2.427307136721636,0.95,10,32,36.2679295942155,b31b81b4f131764dcb662318d780b13cb699e184f9a68ea0fa2a879ee3ae3dec,development_train,phase31_burstgpt_3_045
burstgpt_3-21632810000,burstgpt,burstgpt_3,temporal_test,21632810000,300,1319,2.8410775348025035,0.95,4,920,20.82138685554184,5965bf1fa576ea3db35bd3ad149632bcb0fcc616aad87c44db8e17a71ac62dbc,development_train,phase31_burstgpt_3_040
burstgpt_3-22506410000,burstgpt,burstgpt_3,temporal_test,22506410000,300,112,2.371123718430691,0.95,17,254,21.670413115986584,850cc946b82c5b2670437c16071dbbbd084caa4430905c5bc488e80bfb11b93a,development_train,phase31_burstgpt_3_043
burstgpt_3-23305910000,burstgpt,burstgpt_3,temporal_test,23305910000,300,87,3.480070422529977,0.95,1,111,92.39294372187065,0bc1dd5e75559be32dd75988ee47c15ba07b0824565d817cbe95c2a50dc04fb9,development_train,phase31_burstgpt_3_037
burstgpt_3-23383310000,burstgpt,burstgpt_3,temporal_test,23383310000,300,236,2.262693667343863,0.95,8,34,57.128633564568915,f99b4e47e518ebf73e0bc0a37476c831c35bb1a4f592cad1223e7aae5a0d79ca,fixed_prediction,phase31_burstgpt_3_053
burstgpt_3-24151310000,burstgpt,burstgpt_3,temporal_test,24151310000,300,923,1.6005169115690305,0.95,9,1231,38.527661954382815,c42aa78a7c3b6bc3cdabaab7528f2ca709a517e972b854df2bd61eda568835f8,development_train,phase31_burstgpt_3_047
burstgpt_3-26496110000,burstgpt,burstgpt_3,temporal_test,26496110000,300,45,2.6894960794526575,0.95,6,108,99.35750959879853,fa17d9289d4169a3599edfdfc227943ef7de142086ed283ec8a1abd7b713095b,fixed_prediction,phase31_burstgpt_3_054
burstgpt_3-26577110000,burstgpt,burstgpt_3,temporal_test,26577110000,300,59,1.5499214230194127,0.95,16,310,72.87742281274596,ea02bc97ce24746d5237a1be149e8e23f9f5026ef3f3edda39d78b367ba96e7d,fixed_prediction,phase31_burstgpt_3_052
burstgpt_3-27184910000,burstgpt,burstgpt_3,temporal_test,27184910000,300,314,0.5855892876832273,0.95,0,7121,43.48934582940737,49579c5926be91f0f4a347806c928c042c44da1096625b30fb806b3b5506ea73,development_train,phase31_burstgpt_3_038
burstgpt_3-28158110000,burstgpt,burstgpt_3,temporal_test,28158110000,300,53,2.038190105661739,0.95,11,404,59.2650116810606,67cedc16942a4121f29f039a2b1a559f89bbe10744ea78e4a4c3da5e59797188,development_train,phase31_burstgpt_3_041
burstgpt_3-28397510000,burstgpt,burstgpt_3,temporal_test,28397510000,300,64,1.8218175674503239,0.95,13,341,75.15104406224583,58698527ca717cf821d558d7d399f29e3aa3b44d86047b338b15b5e4c392a326,development_train,phase31_burstgpt_3_039
burstgpt_3-28426610000,burstgpt,burstgpt_3,temporal_test,28426610000,300,47,2.604745696532732,0.95,7,229,62.143263731136585,d42fb1307bd76ab5700c91809395681fb5d1c58795245eb897941576b92df4ee,development_validation,phase31_burstgpt_3_049
burstgpt_3-28467110000,burstgpt,burstgpt_3,temporal_test,28467110000,300,34,2.032686593893491,0.95,14,460,85.14992148006168,cd385b64f891cb7f782a6f89eb61d445aec30e48ff8b8903564ec4105cae2eb6,development_train,phase31_burstgpt_3_048
burstgpt_3-28480910000,burstgpt,burstgpt_3,temporal_test,28480910000,300,55,2.9329731470643416,0.95,2,96,98.08513827155566,a9f0b345abbbad00d779fc89aa32e08acc0872a4ca44c23c2b88e66ea2d062a6,development_train,phase31_burstgpt_3_044
burstgpt_3-28613510000,burstgpt,burstgpt_3,temporal_test,28613510000,300,48,3.6952696743166475,0.95,12,281,67.06396054680656,b9f70aa36c903b98c1758cb717f1b33d0461a69e9e18772229dfdab4104f5580,development_train,phase31_burstgpt_3_046
burstgpt_3-28635710000,burstgpt,burstgpt_3,temporal_test,28635710000,300,49,3.7221860357678382,0.95,3,107,79.03703349460926,72c9d7aa42cd49484631d4955435e4d88b8dca255068fefe87112ff4259a8fe2,development_train,phase31_burstgpt_3_042
burstgpt_3-28636910000,burstgpt,burstgpt_3,temporal_test,28636910000,300,57,3.3237226683827727,0.95,5,79,83.89941002959947,e8e0eff606d5e29c512a4dff2047e8066658429ef0f06d0e9700b1229622f03e,development_validation,phase31_burstgpt_3_051
mooncake_conversation-300000,mooncake,mooncake_conversation,external_test,300000,300,918,2.374361005596856,1.0,1,1,0.0,60a3be98faa7a15327bafc94f037470f301005f24dba61b54782245814aa1b89,development_validation,phase31_mooncake_conversation_056
mooncake_conversation-2100000,mooncake,mooncake_conversation,external_test,2100000,300,1039,0.7226910233605297,1.0,0,1,0.0,cc04b1169494c01cfd14830032982ad89ca27e16819002ef4227cc03b4276fb2,fixed_prediction,phase31_mooncake_conversation_057
mooncake_conversation-2400000,mooncake,mooncake_conversation,external_test,2400000,300,1093,0.5557516833218099,1.0,2,1,0.0,0d2680fa6da0ddc79e7d4c976625b75b31df807b7100ef5e9b523d2a6409a0f9,development_train,phase31_mooncake_conversation_055
mooncake_synthetic-900000,mooncake,mooncake_synthetic,external_synthetic,900000,300,1215,0.4192756873103531,0.95,0,1,0.0,08ffe947f76761318f089c025a9b15a849caa8a72b6ef725ecf04988e1faf409,development_train,phase31_mooncake_synthetic_059
mooncake_toolagent-3240000,mooncake,mooncake_toolagent,external_test,3240000,300,2178,0.8028042042351708,0.95,0,1,0.0,7f6e0c35edd859de935b99f442dbed807f84232177e97580ba6adfc8740ef415,development_train,phase31_mooncake_toolagent_058
