round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,relative_signed_bias
0,p58_r0_ridge_3,calls,0,0.0,0.0,0.0,0.0
0,p58_r0_ridge_3,calls,1,0.0,0.0,0.0,0.0
0,p58_r0_ridge_3,calls,2,1767.1122488490737,1082.3463199570492,-684.7659288920245,-0.3875056207312325
0,p58_r0_ridge_3,calls,3,5031.999230663869,3839.6980206299804,-1192.3012100338883,-0.23694383790209536
0,p58_r0_ridge_3,calls,4,24606.282118418683,14876.704003645576,-9729.578114773107,-0.3954103292788864
0,p58_r0_ridge_3,calls,5,310558.6082667991,359026.6320037573,48468.02373695816,0.1560672364145822
0,p58_r0_ridge_3,calls,6,1551119.6880495693,1297160.1527746231,-253959.53527494613,-0.16372658875491647
0,p58_r0_ridge_3,calls,7,2904284.948131066,3088310.049770409,184025.10163934296,0.0633633079831801
0,p58_r0_ridge_3,calls,8,1391137.5597245158,1409220.092652557,18082.532928041182,0.012998378774002789
0,p58_r0_ridge_3,calls,9,345451.4823159769,315168.55245198443,-30282.92986399244,-0.08766189006042044
0,p58_r0_ridge_3,calls,10,4737.760266255596,3987.808404550953,-749.9518617046433,-0.15829248834014015
0,p58_r0_ridge_3,calls,11,0.0,0.0,0.0,0.0
0,p58_r0_ridge_3,logical_bytes,0,0.0,0.0,0.0,0.0
0,p58_r0_ridge_3,logical_bytes,1,0.0,0.0,0.0,0.0
0,p58_r0_ridge_3,logical_bytes,2,217142753.13857418,162396959.8771609,-54745793.261413276,-0.2521189055131677
0,p58_r0_ridge_3,logical_bytes,3,1680304948.9872465,1366207078.9333553,-314097870.0538912,-0.1869290870345911
0,p58_r0_ridge_3,logical_bytes,4,29688525019.17854,16998937439.027733,-12689587580.150806,-0.4274239818904253
0,p58_r0_ridge_3,logical_bytes,5,1086554615181.949,1333412188516.7117,246857573334.7627,0.2271929729859232
0,p58_r0_ridge_3,logical_bytes,6,19359287150266.773,14123493154219.336,-5235793996047.4375,-0.2704538630687798
0,p58_r0_ridge_3,logical_bytes,7,108272547556364.53,110185114621806.97,1912567065442.4375,0.017664376692039994
0,p58_r0_ridge_3,logical_bytes,8,162453449513508.2,170841608695356.62,8388159181848.4375,0.051634232495327545
0,p58_r0_ridge_3,logical_bytes,9,118285301917077.61,111094890232604.39,-7190411684473.219,-0.06078871650100673
0,p58_r0_ridge_3,logical_bytes,10,3794547254511.1694,2956703329346.5884,-837843925164.581,-0.2208020796600979
0,p58_r0_ridge_3,logical_bytes,11,0.0,0.0,0.0,0.0
0,p58_r0_ratio_0,calls,0,0.0,0.5448644441716666,0.5448644441716666,544864444171.66656
0,p58_r0_ratio_0,calls,1,0.0,0.5448644441716666,0.5448644441716666,544864444171.66656
0,p58_r0_ratio_0,calls,2,1767.1122488490737,1024.6945554786205,-742.4176933704532,-0.4201304664454634
0,p58_r0_ratio_0,calls,3,5031.999230663869,3867.3139203463697,-1164.685310317499,-0.2314557806806029
0,p58_r0_ratio_0,calls,4,24606.282118418683,15922.171755183874,-8684.11036323481,-0.35292249033975115
0,p58_r0_ratio_0,calls,5,310558.6082667991,367138.3113812654,56579.703114466276,0.18218687747936768
0,p58_r0_ratio_0,calls,6,1551119.6880495693,1291408.8965896459,-259710.79145992338,-0.1674343981710996
0,p58_r0_ratio_0,calls,7,2904284.948131066,3071167.9735023095,166883.0253712437,0.057460968311196355
0,p58_r0_ratio_0,calls,8,1391137.5597245158,1405074.692020047,13937.13229553122,0.01001851484643342
0,p58_r0_ratio_0,calls,9,345451.4823159769,318882.6443880827,-26568.837927894143,-0.07691047596545617
0,p58_r0_ratio_0,calls,10,4737.760266255596,3893.2154708114485,-844.5447954441479,-0.17825823764434975
0,p58_r0_ratio_0,calls,11,0.0,0.5448644441716666,0.5448644441716666,544864444171.66656
0,p58_r0_ratio_0,logical_bytes,0,0.0,37469394.26124939,37469394.26124939,3.746939426124939e+19
0,p58_r0_ratio_0,logical_bytes,1,0.0,37469394.26124939,37469394.26124939,3.746939426124939e+19
0,p58_r0_ratio_0,logical_bytes,2,217142753.13857418,150779320.01479268,-66363433.1237815,-0.3056212199788693
0,p58_r0_ratio_0,logical_bytes,3,1680304948.9872465,1382069943.8985634,-298235005.0886831,-0.17748861911549765
0,p58_r0_ratio_0,logical_bytes,4,29688525019.17854,16692538206.056347,-12995986813.122192,-0.4377444418248092
0,p58_r0_ratio_0,logical_bytes,5,1086554615181.949,1368530534064.1045,281975918882.1555,0.2595138016462589
0,p58_r0_ratio_0,logical_bytes,6,19359287150266.773,14214097752741.422,-5145189397525.352,-0.2657737011486216
0,p58_r0_ratio_0,logical_bytes,7,108272547556364.53,111485917232629.19,3213369676264.6562,0.029678526540551194
0,p58_r0_ratio_0,logical_bytes,8,162453449513508.2,176147163914937.44,13693714401429.25,0.08429315870138296
0,p58_r0_ratio_0,logical_bytes,9,118285301917077.61,120863219152774.56,2577917235696.953,0.021794062270764365
0,p58_r0_ratio_0,logical_bytes,10,3794547254511.1694,3573157029616.672,-221390224894.49756,-0.0583443056694831
0,p58_r0_ratio_0,logical_bytes,11,0.0,37469394.26124939,37469394.26124939,3.746939426124939e+19
0,p58_r0_ratio_1,calls,0,0.0,0.0,0.0,0.0
0,p58_r0_ratio_1,calls,1,0.0,0.0,0.0,0.0
0,p58_r0_ratio_1,calls,2,1767.1122488490737,835.3823501255393,-931.7298987235343,-0.527261298386887
0,p58_r0_ratio_1,calls,3,5031.999230663869,3932.077255511196,-1099.9219751526725,-0.2185854815815543
0,p58_r0_ratio_1,calls,4,24606.282118418683,15798.274810353038,-8808.007308065646,-0.35795766567565024
0,p58_r0_ratio_1,calls,5,310558.6082667991,368037.9159596808,57479.30769288167,0.18508360793368037
0,p58_r0_ratio_1,calls,6,1551119.6880495693,1293131.315300891,-257988.37274867832,-0.1663239624487532
0,p58_r0_ratio_1,calls,7,2904284.948131066,3072767.571028423,168482.6228973572,0.05801173986243235
0,p58_r0_ratio_1,calls,8,1391137.5597245158,1404116.28542975,12978.725705234334,0.009329577520575668
0,p58_r0_ratio_1,calls,9,345451.4823159769,318850.63540452655,-26600.846911450324,-0.07700313437103481
0,p58_r0_ratio_1,calls,10,4737.760266255596,3608.3954917443007,-1129.3647745112958,-0.23837524717219785
0,p58_r0_ratio_1,calls,11,0.0,0.0,0.0,0.0
0,p58_r0_ratio_1,logical_bytes,0,0.0,0.0,0.0,0.0
0,p58_r0_ratio_1,logical_bytes,1,0.0,0.0,0.0,0.0
0,p58_r0_ratio_1,logical_bytes,2,217142753.13857418,131752296.33263548,-85390456.8059387,-0.3932457131159473
0,p58_r0_ratio_1,logical_bytes,3,1680304948.9872465,1410803928.5787265,-269501020.40852,-0.16038816083411148
0,p58_r0_ratio_1,logical_bytes,4,29688525019.17854,16962752383.873976,-12725772635.304564,-0.42864280482387795
0,p58_r0_ratio_1,logical_bytes,5,1086554615181.949,1346656296187.498,260101681005.54907,0.23938205900675666
0,p58_r0_ratio_1,logical_bytes,6,19359287150266.773,14126867864415.027,-5232419285851.746,-0.270279543107022
0,p58_r0_ratio_1,logical_bytes,7,108272547556364.53,111170891461000.1,2898343904635.5625,0.026768963786750675
0,p58_r0_ratio_1,logical_bytes,8,162453449513508.2,175317506510519.38,12864056997011.188,0.07918611168636051
0,p58_r0_ratio_1,logical_bytes,9,118285301917077.61,119735955220992.3,1450653303914.6875,0.012264019961936178
0,p58_r0_ratio_1,logical_bytes,10,3794547254511.1694,3272103542827.7954,-522443711683.374,-0.13768275281386042
0,p58_r0_ratio_1,logical_bytes,11,0.0,0.0,0.0,0.0
0,p58_r0_from_0_mlp,calls,0,0.0,1.322960342582427,1.322960342582427,1322960342582.427
0,p58_r0_from_0_mlp,calls,1,0.0,1.3230398277564266,1.3230398277564266,1323039827756.4265
0,p58_r0_from_0_mlp,calls,2,1767.1122488490737,640.6986121968052,-1126.4136366522685,-0.6374318537975759
0,p58_r0_from_0_mlp,calls,3,5031.999230663869,1638.7172368772437,-3393.281993786625,-0.6743407218961263
0,p58_r0_from_0_mlp,calls,4,24606.282118418683,6637.653827509758,-17968.628290908924,-0.730245561049581
0,p58_r0_from_0_mlp,calls,5,310558.6082667991,285125.3245173028,-25433.28374949633,-0.08189527861242456
0,p58_r0_from_0_mlp,calls,6,1551119.6880495693,1390704.7902918383,-160414.8977577309,-0.10341877483319296
0,p58_r0_from_0_mlp,calls,7,2904284.948131066,3099300.219885746,195015.2717546802,0.06714743051647681
0,p58_r0_from_0_mlp,calls,8,1391137.5597245158,1409019.802213357,17882.242488841293,0.012854402761134908
