model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
qwen3-8b,P2D1,L2,qwen3-8b__res_09__p128_p2048,128,2048,18874368,301989888,551.343,7314.78,7314.78,7501.590419099296,7183.284,7265.507,49.27300000000014,236.0834190992964,82.22299999999996,49.27300000000014,236.0834190992964,0.033130378926068044
qwen3-8b,P2D1,L3,qwen3-8b__res_00__p2_p2,2,2,294912,294912,95.2945,95.2945,95.2945,64.23118642800101,79.72,76.4495,18.845,12.21831357199899,3.2704999999999984,18.845,-12.21831357199899,0.00994774328151273
qwen3-8b,P2D1,L3,qwen3-8b__res_01__p8_p8,8,8,1179648,1179648,109.77250000000001,109.77250000000001,109.77250000000001,90.67641109959322,85.551,90.7515,19.021000000000015,0.07508890040676874,5.200499999999991,19.021000000000015,-0.07508890040676874,0.042478636716748376
qwen3-8b,P2D1,L3,qwen3-8b__res_02__p32_p32,32,32,4718592,4718592,176.4385,176.4385,176.4385,212.44719076227906,156.5675,229.57299999999998,53.134499999999974,17.125809237720915,73.00549999999998,-53.134499999999974,-17.125809237720915,0.09586275389527513
qwen3-8b,P2D1,L3,qwen3-8b__res_03__p128_p128,128,128,18874368,18874368,554.3405,554.3405,554.3405,902.715411085807,504.36,872.9559999999999,318.6154999999999,29.759411085807074,368.5959999999999,-318.6154999999999,29.759411085807074,0.025265305467858563
qwen3-8b,P2D1,L3,qwen3-8b__res_04__p512_p512,512,512,75497472,75497472,1824.905,1824.905,1824.905,3223.5030656133113,1835.847,3341.581,1516.6760000000002,118.07793438668887,1505.7340000000002,-1516.6760000000002,-118.07793438668887,0.006741120445681339
qwen3-8b,P2D1,L3,qwen3-8b__res_05__p2048_p2048,2048,2048,301989888,301989888,7340.387,7340.387,7340.387,13297.971960634908,7325.706,13359.546,6019.159000000001,61.574039365092176,6033.84,-6019.159000000001,-61.574039365092176,0.0107719229380998
qwen3-8b,P2D1,L3,qwen3-8b__res_06__p2_p32,2,32,294912,4718592,95.2945,176.4385,176.4385,143.46655021171608,147.6215,148.68,27.758499999999998,5.213449788283924,1.0585000000000093,27.758499999999998,-5.213449788283924,0.0041195856873823735
qwen3-8b,P2D1,L3,qwen3-8b__res_07__p8_p128,8,128,1179648,18874368,109.77250000000001,554.3405,554.3405,524.7874631379282,481.681,481.5155,72.82500000000005,43.271963137928196,0.16550000000000864,72.82500000000005,43.271963137928196,0.0001131843107853471
qwen3-8b,P2D1,L3,qwen3-8b__res_08__p32_p512,32,512,4718592,75497472,176.4385,1824.905,1824.905,1822.139131173986,1802.856,1800.4775,24.42750000000001,21.661631173986052,2.378500000000031,24.42750000000001,21.661631173986052,0.0009886266282138892
qwen3-8b,P2D1,L3,qwen3-8b__res_09__p128_p2048,128,2048,18874368,301989888,554.3405,7340.387,7340.387,7529.143281054091,7305.485,7304.97,35.41699999999946,224.1732810540907,0.5149999999994179,35.41699999999946,224.1732810540907,0.0025603116782136584
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_00__p2_p2,2,2,3981312,3981312,139.84949999999998,139.84949999999998,139.84949999999998,145.614456578767,123.07,179.60750000000002,39.75800000000004,33.99304342123301,56.53750000000002,-39.75800000000004,-33.99304342123301,0.0026335203151316797
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_01__p3_p3,3,3,5971968,5971968,204.75,204.75,204.75,264.1604093207666,177.6515,272.786,68.036,8.625590679233426,95.1345,-68.036,-8.625590679233426,0.0020822182956602743
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_02__p6_p6,6,6,11943936,11943936,358.956,358.956,358.956,545.8299987466229,325.81550000000004,539.572,180.61599999999999,6.257998746622889,213.75649999999996,-180.61599999999999,6.257998746622889,0.003729808070099879
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_03__p12_p12,12,12,23887872,23887872,664.861,664.861,664.861,1104.5899416367606,617.567,1068.219,403.35800000000006,36.37094163676056,450.65200000000004,-403.35800000000006,36.37094163676056,0.005142203986261186
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_04__p24_p24,24,24,47775744,47775744,1177.449,1177.449,1177.449,2040.8729105525017,1194.256,2119.268,941.819,78.39508944749832,925.012,-941.819,-78.39508944749832,0.0029547938250377823
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_05__p48_p48,48,48,95551488,95551488,2295.5825,2295.5825,2295.5825,4083.233155084463,2285.463,4187.967,1892.3844999999997,104.73384491553679,1902.5039999999995,-1892.3844999999997,-104.73384491553679,0.0006544941734259094
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_06__p1_p6,1,6,1990656,11943936,83.4885,358.956,358.956,311.6546487409268,310.55949999999996,340.422,18.533999999999992,28.767351259073223,29.862500000000068,18.533999999999992,-28.767351259073223,0.024139156693750784
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_07__p3_p12,3,12,5971968,23887872,204.75,664.861,664.861,713.4488652249485,593.538,683.558,18.697000000000003,29.89086522494847,90.01999999999998,-18.697000000000003,29.89086522494847,0.0005310449149888418
