model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-8b,P2D1,L2,qwen3-8b__res_09__p128_p2048,1,qwen3-8b__p2d1__l2__r1,18874368,301989888,9,7265.507,495.269,7183.284,7183.284,0.018148177431431062
qwen3-8b,P2D1,L3,qwen3-8b__res_00__p2_p2,0,qwen3-8b__p2d1__l3__r0,294912,294912,7,75.689,79.72,72.186,79.72,0.03902537072283408
qwen3-8b,P2D1,L3,qwen3-8b__res_00__p2_p2,1,qwen3-8b__p2d1__l3__r1,294912,294912,9,76.4495,75.8965,74.85849999999999,75.8965,0.08335400502726138
qwen3-8b,P2D1,L3,qwen3-8b__res_01__p8_p8,0,qwen3-8b__p2d1__l3__r0,1179648,1179648,7,86.8965,84.76050000000001,84.201,84.76050000000001,0.06386762099286891
qwen3-8b,P2D1,L3,qwen3-8b__res_01__p8_p8,1,qwen3-8b__p2d1__l3__r1,1179648,1179648,9,90.7515,85.551,84.07650000000001,85.551,0.08621341527997055
qwen3-8b,P2D1,L3,qwen3-8b__res_02__p32_p32,0,qwen3-8b__p2d1__l3__r0,4718592,4718592,7,207.5655,154.20850000000002,156.5675,156.5675,0.1361468542648138
qwen3-8b,P2D1,L3,qwen3-8b__res_02__p32_p32,1,qwen3-8b__p2d1__l3__r1,4718592,4718592,9,229.57299999999998,155.4975,155.24450000000002,155.4975,0.10991998368440664
qwen3-8b,P2D1,L3,qwen3-8b__res_03__p128_p128,0,qwen3-8b__p2d1__l3__r0,18874368,18874368,7,850.9005,504.36,492.7405,504.36,0.018865928717142495
qwen3-8b,P2D1,L3,qwen3-8b__res_03__p128_p128,1,qwen3-8b__p2d1__l3__r1,18874368,18874368,9,872.9559999999999,501.834,492.6475,501.834,0.030153727482654446
qwen3-8b,P2D1,L3,qwen3-8b__res_04__p512_p512,0,qwen3-8b__p2d1__l3__r0,75497472,75497472,7,3319.055,1825.222,1812.386,1825.222,0.009426731161692532
qwen3-8b,P2D1,L3,qwen3-8b__res_04__p512_p512,1,qwen3-8b__p2d1__l3__r1,75497472,75497472,9,3341.581,1835.847,1817.681,1835.847,0.015381444084530769
qwen3-8b,P2D1,L3,qwen3-8b__res_05__p2048_p2048,0,qwen3-8b__p2d1__l3__r0,301989888,301989888,7,13215.638,7270.401,7282.889,7282.889,0.007551429130673035
qwen3-8b,P2D1,L3,qwen3-8b__res_05__p2048_p2048,1,qwen3-8b__p2d1__l3__r1,301989888,301989888,9,13359.546,7325.706,7275.404,7325.706,0.010103782923499368
qwen3-8b,P2D1,L3,qwen3-8b__res_06__p2_p32,0,qwen3-8b__p2d1__l3__r0,294912,4718592,7,148.0675,64.577,146.985,146.985,0.024075851259540246
qwen3-8b,P2D1,L3,qwen3-8b__res_06__p2_p32,1,qwen3-8b__p2d1__l3__r1,294912,4718592,9,148.68,65.1155,147.6215,147.6215,0.025038273546007902
qwen3-8b,P2D1,L3,qwen3-8b__res_07__p8_p128,0,qwen3-8b__p2d1__l3__r0,1179648,18874368,7,481.461,75.62450000000001,480.307,480.307,0.018113402147397067
qwen3-8b,P2D1,L3,qwen3-8b__res_07__p8_p128,1,qwen3-8b__p2d1__l3__r1,1179648,18874368,9,481.5155,76.774,481.681,481.681,0.1096342688727194
