evaluation,scope,method,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
leave_one_model_out,qwen3-8b_prefill,additive_plus_schedule,36,0.2109187602090312,0.1008656445048874,0.8578354280600289,1569.2090356428316,2125.2547633302315,0.9395382221349732
leave_one_model_out,qwen3-8b_decode,additive_plus_schedule,18,0.3792459980223727,0.3875415694542589,0.6807908982515632,15130.822884793788,17598.12385741769,-0.8468058877956726
leave_one_model_out,qwen3-30b-a3b,additive_plus_schedule,54,0.3275676670714844,0.3033692669497781,0.5205404554459472,9649.893017326322,15374.591925932567,0.6364290698387893
leave_one_model_out,qwen3-30b-a3b_prefill,additive_plus_schedule,36,0.28190366496181046,0.2894814085849497,0.40201529384743584,2402.779533922067,3526.6437467276924,0.7630468005619508
leave_one_model_out,qwen3-30b-a3b_decode,additive_plus_schedule,18,0.41889567129083205,0.43306929696558627,0.5479437891571021,24144.11998413484,26158.3600104094,-1.6437214929321389
leave_one_model_out,deepseek-v2-lite,additive_plus_schedule,54,0.6939685785454709,0.6219805685524833,1.5451105470380482,4981.199780220181,6758.628429770821,0.6672254830423121
leave_one_model_out,deepseek-v2-lite_prefill,additive_plus_schedule,36,0.8456243323797301,0.6592846082681434,1.6289090912237474,2611.4132475219594,2911.037785877617,0.4754720269049334
leave_one_model_out,deepseek-v2-lite_decode,additive_plus_schedule,18,0.39065707087695345,0.3147903645355301,0.8686533400512686,9720.772845616622,10958.50778041904,-0.8810568591742616
workload_cv,all,tp_conditioned_plus_schedule,162,0.25254559519997827,0.12248283126374103,1.2210268477993969,7649.763135947606,16988.963040739083,0.24190176074632097
workload_cv,prefill,tp_conditioned_plus_schedule,108,0.10632683661573508,0.057449541649570994,0.356459982365972,649.5351867862132,1142.0765657431268,0.9764729200016841
workload_cv,decode,tp_conditioned_plus_schedule,54,0.5449831123684648,0.38476536700684816,1.6754330054746194,21650.21903427039,29381.387268724335,-1.7058708205442885
workload_cv,tp2,tp_conditioned_plus_schedule,54,0.24388918053824035,0.11619573718894709,0.7929156077170736,6377.260304782253,14592.803490636501,0.28049129630508685
workload_cv,tp4,tp_conditioned_plus_schedule,54,0.25604396400978463,0.12920346508491043,0.9384228281218149,7892.6099128162,17431.189649640124,0.22490334042748206
workload_cv,tp8,tp_conditioned_plus_schedule,54,0.25770364105190996,0.1356005367846611,0.9160255630826758,8679.419190244365,18683.637474558906,0.20419685917096786
workload_cv,qwen3-8b,tp_conditioned_plus_schedule,54,0.23960070853489002,0.08022739188660516,0.9839530370946661,7652.829020963658,17523.850719202856,-0.12107846928600074
workload_cv,qwen3-30b-a3b,tp_conditioned_plus_schedule,54,0.29006038330271844,0.19023396238721524,0.9208503863731741,10785.631822640908,21584.87028272832,0.28339333624610974
workload_cv,deepseek-v2-lite,tp_conditioned_plus_schedule,54,0.22797569376232638,0.11461356560583608,0.7802900470318432,4510.828564238254,9637.563304470754,0.3233448251150438
leave_one_model_out,all,tp_conditioned_plus_schedule,162,0.46278868733108497,0.392339148761943,1.3167018749378423,7640.490477046516,12059.586699873122,0.6180059545633676
leave_one_model_out,qwen3-8b,tp_conditioned_plus_schedule,54,0.37312237416668387,0.3467442844134055,0.7845928162165878,8231.673489529012,12229.632304882141,0.45398607126753643
leave_one_model_out,qwen3-8b_prefill,tp_conditioned_plus_schedule,36,0.33741558503747815,0.2629908033870184,0.7093488362397707,4204.606786470507,6138.950548853003,0.4955162438969999
leave_one_model_out,qwen3-8b_decode,tp_conditioned_plus_schedule,18,0.44453595242509525,0.37893001379836966,0.8042104745731702,16285.806895646025,19321.44640691596,-1.2262184608423667
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_plus_schedule,54,0.3304375615373225,0.3057167837175111,0.5152622075934676,9651.781671252298,15364.329382034817,0.6369142752182501
leave_one_model_out,qwen3-30b-a3b_prefill,tp_conditioned_plus_schedule,36,0.2857770681997882,0.29591263934606493,0.40935158732961613,2376.166924306728,3305.4609709493875,0.791837035870031
leave_one_model_out,qwen3-30b-a3b_decode,tp_conditioned_plus_schedule,18,0.4197585482123912,0.4299764867273308,0.5432890465910051,24203.011165143438,26198.009611763173,-1.6517420221803545
leave_one_model_out,deepseek-v2-lite,tp_conditioned_plus_schedule,54,0.6848061262892486,0.659243130884767,1.523720915459753,5038.016270358238,7118.593291022804,0.6308343518515378
leave_one_model_out,deepseek-v2-lite_prefill,tp_conditioned_plus_schedule,36,0.8344710522633796,0.6734740108547372,1.6016817270672634,2654.12764400193,3030.392221093448,0.43157829406273984
leave_one_model_out,deepseek-v2-lite_decode,tp_conditioned_plus_schedule,18,0.38547627434098636,0.3482772957276723,0.8742700818289111,9805.793523070857,11560.992920232122,-1.0935789986846323
workload_cv,all,tp_conditioned_plus_schedule_tp,162,0.26525575980172866,0.12107943124974571,1.3252252999927774,7925.270303451252,17666.773688422174,0.18020316673206704
workload_cv,prefill,tp_conditioned_plus_schedule_tp,108,0.11831315580632598,0.05859929486717719,0.3588445690730607,653.4521117395709,1152.38284839833,0.9760463797532297
workload_cv,decode,tp_conditioned_plus_schedule_tp,54,0.5591409677925342,0.3824502089940992,1.769484660261992,22468.906686874605,30556.320217186047,-1.9266080945839277
workload_cv,tp2,tp_conditioned_plus_schedule_tp,54,0.2735702181006931,0.12889135279014027,1.218890548619864,6492.304497010571,14585.272118838742,0.28123378409558963
workload_cv,tp4,tp_conditioned_plus_schedule_tp,54,0.26476922758055477,0.12322956507642789,0.9951939750653893,8379.242387379232,18766.740844654803,0.10157976957957637
workload_cv,tp8,tp_conditioned_plus_schedule_tp,54,0.2574278337239382,0.11891687885610762,0.9258906076075483,8904.264025963956,19272.36241260444,0.1532548987190464
workload_cv,qwen3-8b,tp_conditioned_plus_schedule_tp,54,0.24515854524190125,0.07660970242202919,1.0503504367328058,8134.945161906375,18484.9229678172,-0.24741859083709605
workload_cv,qwen3-30b-a3b,tp_conditioned_plus_schedule_tp,54,0.2663410531863325,0.138990009119502,0.8836106868534074,10923.62809808806,22279.188884616447,0.2365498104599133
workload_cv,deepseek-v2-lite,tp_conditioned_plus_schedule_tp,54,0.2842676809769523,0.1394789463203513,1.2357367172120317,4717.2376503593205,9914.133506828786,0.28395148900670686
leave_one_model_out,all,tp_conditioned_plus_schedule_tp,162,0.4344201542299069,0.35445111741312463,1.3255961221318506,7050.681207144538,11580.100034539963,0.647778090673166
leave_one_model_out,qwen3-8b,tp_conditioned_plus_schedule_tp,54,0.27864655288629264,0.2360887442225965,0.8052744240800639,6303.251793201968,10653.539166441627,0.5856524876448346
leave_one_model_out,qwen3-8b_prefill,tp_conditioned_plus_schedule_tp,36,0.23078255426621982,0.13277055202167898,0.9248184185416068,1876.0105629968618,2687.027292693509,0.9033497298573396
leave_one_model_out,qwen3-8b_decode,tp_conditioned_plus_schedule_tp,18,0.3743745501264382,0.3950853127733388,0.7132654833740996,15157.73425361218,18056.950433817932,-0.9443628843855587
leave_one_model_out,qwen3-30b-a3b,tp_conditioned_plus_schedule_tp,54,0.333414518326776,0.3176916238260902,0.5149862016642104,9699.99758867972,15282.169334303404,0.6407870612553266
leave_one_model_out,qwen3-30b-a3b_prefill,tp_conditioned_plus_schedule_tp,36,0.28816476054026186,0.29985721767455076,0.4119078630633736,2401.3687738147605,3343.1980168969008,0.7870568877380073
leave_one_model_out,qwen3-30b-a3b_decode,tp_conditioned_plus_schedule_tp,18,0.42391403389980437,0.40931569325889106,0.5675679501592633,24297.255218409642,26043.812177302374,-1.620618399759882
leave_one_model_out,deepseek-v2-lite,tp_conditioned_plus_schedule_tp,54,0.6911993914766518,0.664026383415839,1.5328418845210101,5148.794239551925,7433.273444225513,0.5974747405390288
leave_one_model_out,deepseek-v2-lite_prefill,tp_conditioned_plus_schedule_tp,36,0.8391417344627121,0.6779388864382566,1.6065118709870418,2672.9652703366423,3053.9723278248875,0.4226978647351485
leave_one_model_out,deepseek-v2-lite_decode,tp_conditioned_plus_schedule_tp,18,0.3953147055045314,0.34523613118401936,0.9412108121636993,10100.452177982492,12128.774395281838,-1.3042676273637412
workload_cv,profile:balanced,additive_tp_phase,9,0.04756430073766084,0.028386204864132427,0.10666440063229762,1626.8161971818295,1972.1640403289243,0.9696410076390364
workload_cv,profile:bimodal,additive_tp_phase,9,0.0654438771850926,0.04712519718991078,0.12519780226244545,2330.849021530078,2908.522514498395,0.9288816181774151
workload_cv,profile:c1024,additive_tp_phase,54,0.11915397520950337,0.0616002173248682,0.36667618315636896,432.26342793392064,842.5046495214899,0.9044637203524131
workload_cv,profile:c4096,additive_tp_phase,54,0.08575186692433129,0.04460463899129856,0.3170526006350977,1409.2250705834138,2677.603959323992,0.895183289779339
workload_cv,profile:long_tail,additive_tp_phase,9,0.12550990194947131,0.13855360659798438,0.19908448367153112,7853.454301114762,8808.724512289356,0.8298386295588123
workload_cv,profile:staircase,additive_tp_phase,9,0.17709282491023176,0.17851092219800896,0.3771687737722906,5891.887623087008,7044.688601995794,0.592743512000681
workload_cv,profile:uniform_b16,additive_tp_phase,9,0.28500408903764185,0.17144048575420454,0.6236364907954618,13701.811514457642,19436.170836037065,-1.0689689805856637
workload_cv,profile:uniform_b4,additive_tp_phase,9,0.3748014230324895,0.25729288291925845,0.8586413880469865,10541.701163885193,12143.079142012484,-0.04672561874993719
workload_cv,profile:balanced,tp_conditioned_pattern,9,0.028201682593805042,0.016305003333851355,0.09210004359146956,814.6505408946084,1110.3232330077558,0.9903772293263482
workload_cv,profile:bimodal,tp_conditioned_pattern,9,0.051709837242962194,0.046957546645935155,0.10463827421217424,1821.7034902522048,2298.5199556327966,0.9555846014219562
workload_cv,profile:c1024,tp_conditioned_pattern,54,0.10795440381462856,0.06022067071563861,0.34866994441909854,388.84279636262045,807.2145287664938,0.9122995841788378
workload_cv,profile:c4096,tp_conditioned_pattern,54,0.08071511169827461,0.03582997068804474,0.32029846000062406,1205.8333262431993,2529.352865034748,0.9064687617383851
workload_cv,profile:long_tail,tp_conditioned_pattern,9,0.12861200612700813,0.10381904228984735,0.2164396254506415,7860.766452404258,8414.138633235376,0.8447419077649262
workload_cv,profile:staircase,tp_conditioned_pattern,9,0.1690748790082336,0.10915345989585963,0.3578805886322276,5562.347676990156,6497.261520495597,0.6535782859636923
workload_cv,profile:uniform_b16,tp_conditioned_pattern,9,0.30257545748357706,0.23670482732417916,0.6353230343195688,14758.016196275139,19988.61738673949,-1.1882557287401752
workload_cv,profile:uniform_b4,tp_conditioned_pattern,9,0.3747923964250901,0.22227843780788953,0.8551770109214197,10515.128212613008,12506.568252710762,-0.11032857745817792
workload_cv,profile:balanced,additive_plus_schedule,9,0.2562568934629604,0.25259625210609343,0.32359569305221203,8757.424700826496,9178.589602511696,0.34241305118137266
workload_cv,profile:bimodal,additive_plus_schedule,9,0.10998892122928815,0.10041642558765408,0.2173084276795388,4004.301042613386,5012.446638370075,0.7887792740268543
workload_cv,profile:c1024,additive_plus_schedule,54,0.163815878217782,0.0877088030169638,0.6974553045514992,412.99349973342623,588.920260699299,0.9533193705157442
workload_cv,profile:c4096,additive_plus_schedule,54,0.09765157735193693,0.06619391154200552,0.27175265872220306,1072.8190922988697,1647.087488923925,0.9603383134038515
workload_cv,profile:long_tail,additive_plus_schedule,9,0.5126000816463013,0.511961785191609,0.5920114128266526,33908.35804604823,35973.1364687012,-1.8378636770417796
workload_cv,profile:staircase,additive_plus_schedule,9,1.6564603035574508,1.6211809650460756,2.1381609125429053,56458.843587385985,59492.446370399724,-28.044778313457766
workload_cv,profile:uniform_b16,additive_plus_schedule,9,0.4223006915413706,0.397777141201138,0.5937151223322482,15926.837330768836,16387.979177076344,-0.4709007554792599
