aggregation_scope,parallelism,sample_label,estimator_kind,reference_label,phase,policy,parallel_size,source,full_ge_128,cases,calls_mape,calls_wape,p95_calls_ape,bytes_mape,bytes_wape,p95_bytes_ape,mean_calls_histogram_l1,mean_calls_histogram_tv,mean_bytes_histogram_l1,mean_bytes_histogram_tv,mean_log_payload_emd_log2_bytes,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,p95_common_reference_cost_ape,tp_measured_l1_cost_mape,p95_tp_measured_l1_cost_ape
policy,tp,compact32,compact_profile,hfull,decode,throughput,,,,72,0.13951729787505188,0.11969600561979811,0.28212851405622486,0.028976878781279754,0.018561252587264543,0.09827198428788642,0.9993980915242808,0.4996990457621404,0.9390677250833084,0.4695338625416542,0.39406765367171537,0.018765126365319778,0.12776880514584305,0.10694349104581513,0.2722851549026431,0.126472358674001,0.27756806913918936
policy,tp,compact32,compact_profile,hfull,prefill,balanced,,,,72,0.05083505251115402,0.05606283206607129,0.13340643274853795,0.03582519333111009,0.013643878735604098,0.10502711194445852,1.9986521331458045,0.9993260665729022,1.9986543155878351,0.9993271577939176,0.3075560946240608,0.014645528315431469,0.03473355634267281,0.013672430284506258,0.09985436154976154,0.0343554155590639,0.12121515098731105
policy,tp,compact32,compact_profile,hfull,prefill,latency,,,,72,0.051578863766754406,0.07717102660989852,0.1893672491544532,0.03582519333111008,0.01364387873560407,0.10502711194445852,1.9970422992545198,0.9985211496272599,1.9978773320551098,0.9989386660275549,0.41650036801275625,0.0198333508577503,0.03323620481300222,0.013560623721752334,0.09519988607354134,0.044206271083358444,0.12309145937698306
policy,tp,compact32,compact_profile,hfull,prefill,throughput,,,,72,0.048612271455422955,0.04860822668767502,0.12499999999999992,0.03582519333111009,0.013643878735604097,0.10502711194445852,1.9994553376906314,0.9997276688453157,1.9997862274451528,0.9998931137225764,0.25495290397989545,0.012140614475233116,0.03522041243965165,0.013666740312481933,0.10237068861748988,0.03597213773523819,0.15641061928998817
policy,tp,compact32,compact_profile,hfull,total,balanced,,,,72,0.12854145529960526,0.11360724824383892,0.2545454545454546,0.03290307810812994,0.013324396696568567,0.10031277679362269,0.734110764757245,0.3670553823786225,1.9238345114453317,0.9619172557226658,0.3647037783636311,0.017366846588744336,0.0683818427690915,0.030014472728779443,0.1594921341726694,0.10279802388288473,0.22872997937699366
policy,tp,compact32,compact_profile,hfull,total,latency,,,,72,0.12713876692428033,0.11752367660779363,0.43488745980707394,0.03290307810812993,0.013324396696568567,0.10031277679362269,0.38208677574854344,0.19104338787427172,1.9066653249243377,0.9533326624621689,0.21630734602310592,0.01030034981062409,0.08332666185155053,0.05916073173862305,0.3921208464692122,0.11072910880185056,0.4166567534005794
policy,tp,compact32,compact_profile,hfull,total,throughput,,,,72,0.13837321887783546,0.118898493046272,0.2782066508313539,0.03290307810812994,0.013324396696568569,0.10031277679362269,1.008798934545088,0.504399467272544,1.9377989875309563,0.9688994937654781,0.40583736412647425,0.019325588767927344,0.06695569321674028,0.02387595944599556,0.2124900204774929,0.1012730632682864,0.2624124842434056
policy,tp,h128,exact_representative,hfull,decode,balanced,,,,72,0.08914056799090693,0.07366132704235677,0.27903543307086615,0.010852246225523115,0.006628810306295158,0.034848382856056716,0.42521492925443904,0.21260746462721952,0.43022314817896495,0.21511157408948248,0.19693626873919648,0.009377917559009356,0.08499380939234277,0.06955269900084199,0.26619869716361405,0.08640125047064415,0.27484297701189603
policy,tp,h128,exact_representative,hfull,decode,latency,,,,72,0.06267361469772742,0.04234378592754958,0.21190920398009952,0.010852246225523122,0.006628810306295166,0.034848382856056716,0.1902734419954946,0.0951367209977473,0.2420938063009595,0.12104690315047975,0.10003273784943127,0.004763463707115775,0.06088332376528922,0.0413405222419406,0.20720917097362662,0.061116515780186585,0.21103960715901016
policy,tp,h128,exact_representative,hfull,decode,throughput,,,,72,0.07774551653807565,0.06386395265885336,0.2773218412442874,0.010852246225523126,0.006628810306295166,0.034848382856056716,0.5691238405078827,0.28456192025394134,0.5907411141016694,0.2953705570508347,0.21147092587395427,0.010070044089235917,0.07153483568136607,0.057504994289960844,0.26793105038098547,0.07161326292616037,0.2686004326708331
policy,tp,h128,exact_representative,hfull,prefill,balanced,,,,72,0.0332428096969078,0.03410124875398648,0.0875,0.02126858070394955,0.013991425541114853,0.05188298340919114,1.9528061822470981,0.9764030911235491,1.9432231532033768,0.9716115766016884,0.16743262247077562,0.007972982022417885,0.02054076171630769,0.014000176702597749,0.05119482800039743,0.023705663412616398,0.08792922481447968
policy,tp,h128,exact_representative,hfull,prefill,latency,,,,72,0.019995092983360514,0.018528774753010537,0.04124999999999993,0.02126858070394956,0.013991425541114853,0.05188298340919114,1.497461959081166,0.748730979540583,1.4109783968757654,0.7054891984378827,0.13912701473313316,0.006625095939673007,0.02030638740446057,0.013887737731452769,0.05379718468286076,0.019368256508433164,0.06414377417802337
policy,tp,h128,exact_representative,hfull,prefill,throughput,,,,72,0.04428353696960736,0.04398092915197893,0.0875,0.021268580703949557,0.013991425541114853,0.05188298340919114,1.9976271932822494,0.9988135966411247,1.9979509572429928,0.9989754786214964,0.19396939296144688,0.009236637760068899,0.02081571121348138,0.013975175442270593,0.051536608615536314,0.020395337561515275,0.06339191240395034
policy,tp,h128,exact_representative,hfull,total,balanced,,,,72,0.08820837310686147,0.07323188749722034,0.27685546875,0.02010993072474665,0.01372214585555885,0.04764687944704208,0.4413013770680116,0.2206506885340058,1.850587971571393,0.9252939857856965,0.20429069395304655,0.009728128283478406,0.05612763145713232,0.027280470997177956,0.1514792718540135,0.07459560369072143,0.24470425906947724
policy,tp,h128,exact_representative,hfull,total,latency,,,,72,0.06168201629216812,0.041929867334679675,0.2062399517684887,0.020109930724746657,0.01372214585555885,0.04764687944704208,0.2103869426935115,0.10519347134675575,1.3268653500731362,0.6634326750365681,0.10776069637147416,0.005131461731974959,0.04596255802591018,0.02333758999670127,0.17794376332766856,0.054546061813089554,0.19669357491179648
policy,tp,h128,exact_representative,hfull,total,throughput,,,,72,0.07712409554358451,0.06353460995969049,0.2728879651876087,0.020109930724746664,0.013722145855558853,0.047646879447042254,0.5819075096867429,0.29095375484337144,1.9136836881525765,0.9568418440762883,0.21645353644955487,0.010307311259502612,0.044759395375446126,0.019705422102096234,0.18691814348755226,0.059795949286328746,0.24259687393147605
policy,tp,h32,exact_representative,hfull,decode,balanced,,,,72,0.12205474004910405,0.10301009812574259,0.21147001327825318,0.05343212260803311,0.031608303048960326,0.17385128458498025,0.524862007770384,0.262431003885192,0.558605401843689,0.2793027009218445,0.2478535618638929,0.011802550564947282,0.11697609089704583,0.097645415003478,0.2023749590541271,0.11874403435943091,0.20409897396392987
