parallelism,stage,candidate_id,candidate_count,family,score
tp,phase32b_regular,tp32_c38_tp_lowdim_sequence_shape_shared_lr0.001_w64,1,tp_lowdim_sequence_shape,4.670078780684631
tp,phase32b_regular,tp32_c39_tp_lowdim_sequence_shape_policy_lr0.001_w32,1,tp_lowdim_sequence_shape,4.92167836029574
tp,phase32b_regular,tp32_c40_tp_lowdim_sequence_shape_policy_lr0.001_w64,1,tp_lowdim_sequence_shape,4.972883383471956
tp,phase32b_regular,tp32_c41_tp_lowdim_sequence_shape_policy_lr0.001_w32,1,tp_lowdim_sequence_shape,4.860678384354341
tp,phase32b_regular,tp32_c42_tp_lowdim_sequence_shape_policy_lr0.001_w64,1,tp_lowdim_sequence_shape,4.81727531481374
pp,phase32b_regular,pp32_c13_pp_bytes_cost_protection_policy_lr0.001_w64,1,pp_bytes_cost_protection,4.092864683319317
pp,phase32b_regular,pp32_c14_pp_bytes_cost_protection_policy_lr0.003_w64,1,pp_bytes_cost_protection,3.7289414462757042
pp,phase32b_regular,pp32_c15_pp_bytes_cost_protection_policy_lr0.001_w64,1,pp_bytes_cost_protection,3.948309351377734
pp,phase32b_regular,pp32_c16_pp_bytes_cost_protection_policy_lr0.003_w64,1,pp_bytes_cost_protection,4.1769821465222785
pp,phase32b_regular,pp32_c17_pp_bytes_cost_protection_policy_lr0.001_w64,1,pp_bytes_cost_protection,3.811745470475286
pp,phase32b_regular,pp32_c18_pp_bytes_cost_protection_policy_lr0.003_w64,1,pp_bytes_cost_protection,3.788838239087889
pp,phase32b_regular,pp32_c19_pp_bytes_cost_protection_model_policy_lr0.001_w64,1,pp_bytes_cost_protection,4.014564651418225
pp,phase32b_regular,pp32_c20_pp_bytes_cost_protection_model_policy_lr0.003_w64,1,pp_bytes_cost_protection,3.957583198008916
pp,phase32b_regular,pp32_c21_pp_bytes_cost_protection_model_policy_lr0.001_w64,1,pp_bytes_cost_protection,4.386754167814501
pp,phase32b_regular,pp32_c22_pp_bytes_cost_protection_model_policy_lr0.003_w64,1,pp_bytes_cost_protection,3.955481028922854
pp,phase32b_regular,pp32_c23_pp_bytes_cost_protection_model_policy_lr0.001_w64,1,pp_bytes_cost_protection,3.920642288277156
pp,phase32b_regular,pp32_c24_pp_bytes_cost_protection_model_policy_lr0.003_w64,1,pp_bytes_cost_protection,3.9039514375433004
pp,phase32b_regular,pp32_c25_pp_mb_independent_gate_policy_lr0.001_w64,1,pp_mb_independent_gate,4.223162018219145
pp,phase32b_regular,pp32_c26_pp_mb_independent_gate_policy_lr0.003_w64,1,pp_mb_independent_gate,4.103255009069247
pp,phase32b_regular,pp32_c27_pp_mb_independent_gate_policy_lr0.001_w64,1,pp_mb_independent_gate,4.130523318327832
pp,phase32b_regular,pp32_c28_pp_mb_independent_gate_policy_lr0.003_w64,1,pp_mb_independent_gate,3.8478539711656747
pp,phase32b_regular,pp32_c29_pp_mb_independent_gate_policy_lr0.001_w64,1,pp_mb_independent_gate,4.216855374578269
pp,phase32b_regular,pp32_c30_pp_mb_independent_gate_policy_lr0.003_w64,1,pp_mb_independent_gate,3.878103717631691
tp,phase32d_targeted_rescue,tp32_rescue_policy_phase,1,development_oof_residual_gate,4.597806541955645
tp,phase32d_targeted_rescue,tp32_rescue_model_policy,1,development_oof_residual_gate,4.608403681556329
tp,phase32d_targeted_rescue,tp32_rescue_policy,1,development_oof_residual_gate,4.609036669851718
tp,phase32d_targeted_rescue,tp32_rescue_phase,1,development_oof_residual_gate,4.626995240725432
tp,phase32d_targeted_rescue,tp32_rescue_global,1,development_oof_residual_gate,4.637925898556402
tp,phase32d_targeted_rescue,tp32_rescue_model,1,development_oof_residual_gate,4.637925898556402
