method,phase,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
enhanced_bounded_residual,decode,mb1,mooncake_synthetic,9,0.07712093515400285,0.07745557561561718,0.012475724448278942,0.012532027298888419,0.17279591778883072,0.08639795889441536,0.007566178991299458,0.07548779720278553,0.07580713772737968
enhanced_bounded_residual,decode,mb1,mooncake_toolagent,9,0.04201707223966436,0.04226006157750096,0.011713972630065793,0.011705206329999678,0.15654681734517542,0.07827340867258771,0.007579157467944018,0.04056940235440193,0.040794850362507906
enhanced_bounded_residual,decode,mb16,all,54,0.7692171776230152,0.5798642130422416,0.028879934645560837,0.017300595243209933,0.7586070285779279,0.37930351428896397,0.04153439430498699,0.6030970460664444,0.478648894688662
enhanced_bounded_residual,decode,mb16,burstgpt_1,9,0.4963575292352486,0.5346703150615555,0.08909286450014095,0.022896322227673564,0.5588910784815597,0.27944553924077986,0.032233832860165124,0.43504064040073614,0.4620862057010844
enhanced_bounded_residual,decode,mb16,burstgpt_2,9,0.22515137378423736,0.25772058046301494,0.015625430562252327,0.015231439105281906,0.5578568597227159,0.27892842986135796,0.027134053485028706,0.19946568240238893,0.22798664353986503
enhanced_bounded_residual,decode,mb16,burstgpt_3,9,0.5196268966187296,0.24938817548005932,0.011941756307270157,0.010248345429168845,0.7879830303391118,0.3939915151695559,0.03318058546203355,0.42578081997134004,0.21143316276240567
enhanced_bounded_residual,decode,mb16,mooncake_conversation,9,0.928538111915519,0.9398368783614833,0.014143876634696847,0.014157261746446596,1.0437002848267727,0.5218501424133863,0.05952262398379472,0.6888390107247668,0.6956822521556575
enhanced_bounded_residual,decode,mb16,mooncake_synthetic,9,0.6173088669007895,0.6266823230722599,0.03010667210782436,0.0302695868710381,0.3528788441696495,0.17643942208482474,0.01906093171225742,0.4884516413810939,0.4939609745584446
enhanced_bounded_residual,decode,mb16,mooncake_toolagent,9,1.8283202872835682,1.8566369255582924,0.012369007761180363,0.01237692644223137,1.2503320739277588,0.6251660369638794,0.07807433832664247,1.3810044815183415,1.3976784283194594
enhanced_bounded_residual,decode,mb4,all,54,0.1710514007813067,0.13185730538533807,0.033430921619687505,0.020426429520306592,0.2551422418608521,0.12757112093042605,0.01247111161470328,0.1591138918884019,0.12358673120737518
enhanced_bounded_residual,decode,mb4,burstgpt_1,9,0.14828047516282133,0.14129293431783138,0.09371636073551975,0.022073678273557742,0.2086905292931972,0.1043452646465986,0.008695816495415055,0.1379911506145521,0.13301741697533556
enhanced_bounded_residual,decode,mb4,burstgpt_2,9,0.09943637269476875,0.10553261216429874,0.011687597258588332,0.011760833666699286,0.23991566220952118,0.11995783110476059,0.009996769296632733,0.09491268281280293,0.10051777038107916
enhanced_bounded_residual,decode,mb4,burstgpt_3,9,0.31392943035426435,0.17664891296498442,0.03289372725586734,0.021601249628083543,0.17115296832049434,0.08557648416024717,0.007131655234183619,0.29739318137676723,0.16773398812130683
enhanced_bounded_residual,decode,mb4,mooncake_conversation,9,0.1364533152586832,0.13775877195793415,0.03562921928929145,0.035673745517187605,0.35030775662836344,0.17515387831418172,0.016583496099270557,0.12447553080981624,0.12563656458185496
enhanced_bounded_residual,decode,mb4,mooncake_synthetic,9,0.0369717248574799,0.03712556707269977,0.016025643386891095,0.01610544533037111,0.2763752761841105,0.13818763809205525,0.012904997855790253,0.035326077368722786,0.03548528701690211
enhanced_bounded_residual,decode,mb4,mooncake_toolagent,9,0.29123708635982265,0.29346674304106646,0.010632981791967047,0.010644069984622438,0.28441125852942606,0.14220562926471303,0.01951393470692746,0.26458472834775,0.2664389513262535
enhanced_bounded_residual,prefill,all,all,162,0.1594231639724353,0.10418082253312552,0.04315823865918005,0.02022599999316312,0.5240140181720193,0.26200700908600966,0.03790959204405293,0.043820541230423504,0.021100119604572
enhanced_bounded_residual,prefill,all,burstgpt_1,27,0.26147556333843863,0.19843965548152617,0.030793432386394412,0.024570917763705857,0.7151936301404128,0.3575968150702064,0.041480164111581085,0.03568494623353977,0.029817258353570523
enhanced_bounded_residual,prefill,all,burstgpt_2,27,0.18255790757457444,0.12720315392901363,0.03185001336609083,0.034667657628810036,0.6557785329584923,0.32788926647924616,0.04670512982743406,0.030454986508235617,0.031889751671564055
enhanced_bounded_residual,prefill,all,burstgpt_3,27,0.37514303392022896,0.3609051569912715,0.13573816345381975,0.03606503105899417,0.9753802499830058,0.4876901249915029,0.07149562551572937,0.13584271759242073,0.06088491104933569
enhanced_bounded_residual,prefill,all,mooncake_conversation,27,0.035642280445081526,0.035288830943494394,0.011950748904276165,0.011947366234045671,0.25462402793333655,0.12731201396666827,0.013353990423497013,0.01207441249370551,0.012070991005599456
enhanced_bounded_residual,prefill,all,mooncake_synthetic,27,0.06545355155179695,0.06496666628421907,0.03196873620381647,0.03220396541104583,0.4092903841293077,0.20464519206465384,0.04626959774736318,0.032604162920492896,0.03281079327320387
enhanced_bounded_residual,prefill,all,mooncake_toolagent,27,0.036266647004491274,0.03614432075779727,0.01664833764068268,0.016720784871726332,0.1338172838875609,0.06690864194378045,0.008153044638712817,0.0162620216341465,0.01633187968554137
enhanced_bounded_residual,prefill,mb1,all,54,0.0804183596905875,0.06808172118435395,0.036117041900961426,0.015135417295340601,0.28873190685031136,0.14436595342515568,0.02088590555036966,0.022746922484524167,0.015365218318584487
