method,phase,model,parallel_size,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
frozen_mapping,decode,all,8,throughput,all,45,0.1224275448128726,0.1204639097793139,0.011723652910241402,0.010129406155536397,0.4017401001878952,0.2008700500939476,0.019042693049650773,0.11014401502204346,0.10959903792420045
frozen_mapping,decode,all,8,throughput,burstgpt_1,9,0.23573526353099133,0.23063949532583128,0.005725706032062695,0.004645381559537574,0.5854123749068555,0.29270618745342775,0.024392182287785672,0.20855372488767865,0.2036465033434565
frozen_mapping,decode,all,8,throughput,burstgpt_2,9,0.06393316889266777,0.06999677868920277,0.018922782270992426,0.019770121735616743,0.44735828782375037,0.22367914391187518,0.018639928659322954,0.05922278440057979,0.0650153941969231
frozen_mapping,decode,all,8,throughput,burstgpt_3,9,0.14349041590913247,0.15541059347224567,0.011167071718822011,0.007821749794663433,0.4127218658671818,0.2063609329335909,0.018519290079384663,0.12760546284477522,0.13858260227481853
frozen_mapping,decode,all,8,throughput,mooncake_conversation,9,0.11255076581996419,0.11462180527097322,0.007344407803924107,0.007375486142971913,0.29010778087347655,0.14505389043673828,0.019753449882018003,0.10213670298596002,0.10384832551475673
frozen_mapping,decode,all,8,throughput,mooncake_toolagent,9,0.05642810991160749,0.05643632869653632,0.015458296725405758,0.015446994801310244,0.2731001914682115,0.13655009573410576,0.013908614339742569,0.053201399991223676,0.05320529923151434
frozen_mapping,decode,all,all,all,all,405,0.11527851524338914,0.11021373599977373,0.011723652910233596,0.010129406155524127,0.32945048093897106,0.16472524046948553,0.015326628413449974,0.10817295691238538,0.10621813468251572
frozen_mapping,decode,all,all,all,burstgpt_1,81,0.21343523920960777,0.19134146077505887,0.005725706032068147,0.004645381559542627,0.6029421696715782,0.3014710848357891,0.026692134812023264,0.19768386616925976,0.18017862489015843
frozen_mapping,decode,all,all,all,burstgpt_2,81,0.11205191996308597,0.12999671561922269,0.018922782270990163,0.019770121735616895,0.3243146494370057,0.16215732471850286,0.014655067236187331,0.10639982091537278,0.12414953198981342
frozen_mapping,decode,all,all,all,burstgpt_3,81,0.10053595847493946,0.11599902082484675,0.011167071718826202,0.007821749794667803,0.3651341480456425,0.18256707402282124,0.016574137214392954,0.09315213814085858,0.10978511050259651
