timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:22:48.523, 3, 0 MiB, 0 %
2026/08/06 10:22:48.523, 4, 0 MiB, 0 %
2026/08/06 10:22:48.524, 5, 0 MiB, 0 %
2026/08/06 10:22:48.524, 6, 0 MiB, 0 %
2026/08/06 10:22:48.524, 7, 0 MiB, 0 %
2026/08/06 10:22:49.524, 0, 1851 MiB, 0 %
2026/08/06 10:22:49.524, 1, 1851 MiB, 0 %
2026/08/06 10:22:49.524, 2, 0 MiB, 0 %
2026/08/06 10:22:49.524, 3, 0 MiB, 0 %
2026/08/06 10:22:49.524, 4, 0 MiB, 0 %
2026/08/06 10:22:49.524, 5, 0 MiB, 0 %
2026/08/06 10:22:49.524, 6, 0 MiB, 0 %
2026/08/06 10:22:49.524, 7, 0 MiB, 0 %
2026/08/06 10:22:50.524, 0, 9683 MiB, 7 %
2026/08/06 10:22:50.524, 1, 9683 MiB, 8 %
2026/08/06 10:22:50.524, 2, 0 MiB, 0 %
2026/08/06 10:22:50.524, 3, 0 MiB, 0 %
2026/08/06 10:22:50.524, 4, 0 MiB, 0 %
2026/08/06 10:22:50.524, 5, 0 MiB, 0 %
2026/08/06 10:22:50.524, 6, 0 MiB, 0 %
2026/08/06 10:22:50.524, 7, 0 MiB, 0 %
2026/08/06 10:22:51.524, 0, 9683 MiB, 6 %
2026/08/06 10:22:51.524, 1, 9683 MiB, 7 %
2026/08/06 10:22:51.524, 2, 0 MiB, 0 %
2026/08/06 10:22:51.524, 3, 0 MiB, 0 %
2026/08/06 10:22:51.524, 4, 0 MiB, 0 %
2026/08/06 10:22:51.524, 5, 0 MiB, 0 %
2026/08/06 10:22:51.524, 6, 0 MiB, 0 %
2026/08/06 10:22:51.524, 7, 0 MiB, 0 %
2026/08/06 10:22:52.524, 0, 99471 MiB, 6 %
2026/08/06 10:22:52.525, 1, 97445 MiB, 6 %
2026/08/06 10:22:52.525, 2, 0 MiB, 0 %
2026/08/06 10:22:52.525, 3, 0 MiB, 0 %
2026/08/06 10:22:52.525, 4, 0 MiB, 0 %
2026/08/06 10:22:52.525, 5, 0 MiB, 0 %
2026/08/06 10:22:52.525, 6, 0 MiB, 0 %
2026/08/06 10:22:52.525, 7, 0 MiB, 0 %
