model_id,configuration,topology_level,pair_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P2D1,L3,qwen3-8b__dev_08__p16_p1024,3600.435,3602.966,3602.966,0.0007024767927313078,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_09__p64_p4096,14944.78,14899.867,14944.78,0.003005263376242438,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_00__p1_p1,86.283,91.721,91.721,0.05928849445601337,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_01__p4_p4,358.226,357.4975,358.226,0.0020336323996583074,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_02__p8_p8,701.442,704.3105,704.3105,0.004072777560465221,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_03__p16_p16,1435.6295,1409.8425,1435.6295,0.017962155277528105,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_04__p32_p32,2816.264,2770.849,2816.264,0.0161259739853934,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_05__p64_p64,5553.735,5514.831,5553.735,0.007005015543593554,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_06__p1_p8,423.512,410.265,423.512,0.031278924800241824,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_07__p2_p16,796.5895,781.094,796.5895,0.019452302597511004,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_08__p4_p32,1547.195,1531.783,1547.195,0.009961252460097166,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_09__p8_p64,3032.557,3017.161,3032.557,0.005076903748222946,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_00__p1_p1,94.831,96.3635,96.3635,0.01590332439149677,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_01__p4_p4,367.22400000000005,369.8695,369.8695,0.007152522714092321,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_02__p8_p8,714.5795,712.0664999999999,714.5795,0.003516753559261282,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_03__p16_p16,1433.424,1426.75,1433.424,0.004655984551674855,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_04__p32_p32,2809.01,2821.509,2821.509,0.004429899036295754,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_05__p64_p64,5578.324,5580.288,5580.288,0.0003519531608404337,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_06__p1_p8,413.716,413.513,413.716,0.0004906747623974692,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_07__p2_p16,788.358,787.069,788.358,0.0016350439774822953,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_08__p4_p32,1540.766,1541.288,1541.288,0.00033867778118037284,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__dev_09__p8_p64,3037.464,3037.834,3037.834,0.00012179730689691763,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_00__p1_p1,96.098,96.1015,96.1015,3.641982695381967e-05,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_01__p4_p4,369.6995,369.9445,369.9445,0.0006622615013873826,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_02__p8_p8,736.408,732.47,736.408,0.005347579059434428,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_03__p16_p16,1430.7965,1440.9205,1440.9205,0.007026064241573372,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_04__p32_p32,2811.74,2800.788,2811.74,0.003895096986207747,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_05__p64_p64,5577.116,5584.79,5584.79,0.001374089267456785,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_06__p1_p8,413.194,414.033,414.033,0.0020264085229921252,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_07__p2_p16,786.7025,788.3515,788.3515,0.0020917065547538132,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_08__p4_p32,1543.071,1543.645,1543.645,0.00037184715397650957,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__dev_09__p8_p64,3034.406,3037.139,3037.139,0.0008998600327479824,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_00__p1_p1,105.636,113.0355,113.0355,0.06546173547248434,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_01__p4_p4,372.8945,388.7255,388.7255,0.040725396198602916,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_02__p8_p8,718.1175000000001,732.2235000000001,732.2235000000001,0.019264609781029965,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_03__p16_p16,1411.2865000000002,1436.328,1436.328,0.01743438824558166,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_04__p32_p32,2781.312,2827.059,2827.059,0.016181834195890605,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_05__p64_p64,5524.214,5662.381,5662.381,0.02440086599612431,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_06__p1_p8,395.883,409.014,409.014,0.0321040355586851,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_07__p2_p16,764.2515000000001,788.0565,788.0565,0.03020722498957873,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_08__p4_p32,1512.454,1536.421,1536.421,0.01559924005204309,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__dev_09__p8_p64,2998.75,3060.357,3060.357,0.020130657959185796,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_00__p1_p1,87.63900000000001,90.424,90.424,0.03079934530655574,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_01__p4_p4,385.7845,372.845,385.7845,0.0335407461937946,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_02__p8_p8,734.2750000000001,732.935,734.2750000000001,0.0018249293520821836,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_03__p16_p16,1440.028,1430.875,1440.028,0.006356126408653179,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_04__p32_p32,2841.814,2821.522,2841.814,0.007140509547774738,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_05__p64_p64,5666.074,5578.331,5666.074,0.015485678443310039,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_06__p1_p8,407.536,412.075,412.075,0.011014985136200904,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_07__p2_p16,787.9295,791.107,791.107,0.004016523681373075,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_08__p4_p32,1538.428,1541.069,1541.069,0.001713745458509547,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__dev_09__p8_p64,3073.292,3075.218,3075.218,0.0006262970625171715,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_00__p1_p1,81.5715,90.884,90.884,0.1024657805554333,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_01__p4_p4,361.697,363.2305,363.2305,0.0042218370979309385,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_02__p8_p8,714.7455,732.6625,732.6625,0.024454643167897947,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_03__p16_p16,1423.971,1421.636,1423.971,0.001639780585419251,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_04__p32_p32,2822.623,2820.069,2822.623,0.0009048321366332264,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_05__p64_p64,5581.348,5592.618,5592.618,0.002015156407965006,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_06__p1_p8,411.389,407.416,411.389,0.009657526088446734,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_07__p2_p16,790.1614999999999,787.239,790.1614999999999,0.0036986109801602587,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_08__p4_p32,1542.89,1530.98,1542.89,0.007719280052369308,False
deepseek-v2-lite,P2D1,L3,deepseek-v2-lite__dev_09__p8_p64,3061.165,3075.114,3075.114,0.004536091995288653,False
