model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-8b,P2D1,L1,qwen3-8b__dev_07__p4_p256,0,qwen3-8b__p2d1__l1__r0,589824,37748736,5,923.416,78.735,925.5519999999999,925.5519999999999,0.015982157462261216
qwen3-8b,P2D1,L1,qwen3-8b__dev_07__p4_p256,1,qwen3-8b__p2d1__l1__r1,589824,37748736,5,928.1055,78.2655,927.98,927.98,0.004332237173468371
qwen3-8b,P2D1,L1,qwen3-8b__dev_08__p16_p1024,0,qwen3-8b__p2d1__l1__r0,2359296,150994944,5,3569.261,111.663,3538.598,3538.598,0.019866412933984702
qwen3-8b,P2D1,L1,qwen3-8b__dev_08__p16_p1024,1,qwen3-8b__p2d1__l1__r1,2359296,150994944,5,3643.611,111.255,3642.906,3642.906,0.009529264727345063
qwen3-8b,P2D1,L1,qwen3-8b__dev_09__p64_p4096,0,qwen3-8b__p2d1__l1__r0,9437184,603979776,5,14910.997,277.021,14829.487,14829.487,0.022209384179325657
qwen3-8b,P2D1,L1,qwen3-8b__dev_09__p64_p4096,1,qwen3-8b__p2d1__l1__r1,9437184,603979776,5,14854.86,275.924,14943.43,14943.43,0.005113770204555948
qwen3-8b,P2D1,L2,qwen3-8b__dev_00__p1_p1,0,qwen3-8b__p2d1__l2__r0,147456,147456,7,71.25049999999999,71.657,70.931,71.657,0.055167243008505215
qwen3-8b,P2D1,L2,qwen3-8b__dev_00__p1_p1,1,qwen3-8b__p2d1__l2__r1,147456,147456,5,73.031,70.604,71.3335,71.3335,0.05524026677999533
qwen3-8b,P2D1,L2,qwen3-8b__dev_01__p4_p4,0,qwen3-8b__p2d1__l2__r0,589824,589824,7,75.43549999999999,74.9215,73.64150000000001,74.9215,0.05636542766900353
qwen3-8b,P2D1,L2,qwen3-8b__dev_01__p4_p4,1,qwen3-8b__p2d1__l2__r1,589824,589824,5,77.6385,75.634,74.4995,75.634,0.03436470605857277
qwen3-8b,P2D1,L2,qwen3-8b__dev_02__p16_p16,0,qwen3-8b__p2d1__l2__r0,2359296,2359296,7,110.2745,104.319,108.72550000000001,108.72550000000001,0.14318815204965235
qwen3-8b,P2D1,L2,qwen3-8b__dev_02__p16_p16,1,qwen3-8b__p2d1__l2__r1,2359296,2359296,5,123.83850000000001,107.994,109.921,109.921,0.1345641622620224
qwen3-8b,P2D1,L2,qwen3-8b__dev_03__p64_p64,0,qwen3-8b__p2d1__l2__r0,9437184,9437184,7,446.3755,270.007,275.676,275.676,0.01577627884250053
qwen3-8b,P2D1,L2,qwen3-8b__dev_03__p64_p64,1,qwen3-8b__p2d1__l2__r1,9437184,9437184,5,454.8325,272.69399999999996,273.6445,273.6445,0.030811632147563432
qwen3-8b,P2D1,L2,qwen3-8b__dev_04__p256_p256,0,qwen3-8b__p2d1__l2__r0,37748736,37748736,7,1694.656,965.315,944.953,965.315,0.010661125326178116
qwen3-8b,P2D1,L2,qwen3-8b__dev_04__p256_p256,1,qwen3-8b__p2d1__l2__r1,37748736,37748736,5,1712.873,967.177,944.374,967.177,0.0029124506918377286
