workload_id,model,tp,phase,mode,case_label,batch_size,input_len,output_len,output_lens_json,prefill_chunk_size,repeat_count,calls,logical_payload_bytes,calls_by_payload_json,calls_by_op_payload_json,backend_signature,target_post_us,post_repeat_iqr_fraction
deepseek-v2-lite-chunk-c4096-b4-l4096-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,4,4096,8,"[8,8,8,8]",4096,3,55,3690987520,"{""67108864"":55}","{""all_reduce:67108864"":55}",nccl:all_reduce,10159.982421875,0.0005355243486480257
deepseek-v2-lite-chunk-c4096-b4-l4097-m8,deepseek-v2-lite,4,prefill,chunked_prefill,c4096,4,4097,8,"[8,8,8,8]",4096,3,110,3691888640,"{""16384"":55,""67108864"":55}","{""all_reduce:16384"":55,""all_reduce:67108864"":55}",nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,10541.125,0.0016214858619217588
deepseek-v2-lite-mixed-balanced,deepseek-v2-lite,4,decode,mixed_same_coarse,balanced,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,3465,55869440,"{""8192"":1760,""16384"":880,""32768"":825}","{""all_reduce:8192"":1760,""all_reduce:16384"":880,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,22460.607421875,0.01940245904483292
deepseek-v2-lite-mixed-bimodal,deepseek-v2-lite,4,decode,mixed_same_coarse,bimodal,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,3465,55869440,"{""12288"":2640,""24576"":440,""32768"":385}","{""all_reduce:12288"":2640,""all_reduce:24576"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,23239.3955078125,0.019085065722810986
deepseek-v2-lite-mixed-long_tail,deepseek-v2-lite,4,decode,mixed_same_coarse,long_tail,8,512,128,"[8,8,8,8,16,32,64,128]",0,3,6985,59473920,"{""4096"":3520,""8192"":1760,""12288"":880,""16384"":440,""32768"":385}","{""all_reduce:4096"":3520,""all_reduce:8192"":1760,""all_reduce:12288"":880,""all_reduce:16384"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,42046.10302734375,0.0074031169213100686
deepseek-v2-lite-mixed-staircase,deepseek-v2-lite,4,decode,mixed_same_coarse,staircase,8,512,64,"[16,16,16,24,32,40,48,64]",0,3,3465,55869440,"{""4096"":880,""8192"":440,""12288"":440,""16384"":440,""20480"":440,""32768"":825}","{""all_reduce:4096"":880,""all_reduce:8192"":440,""all_reduce:12288"":440,""all_reduce:16384"":440,""all_reduce:20480"":440,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,21569.6650390625,0.014608325123123716
deepseek-v2-lite-mixed-uniform_b16,deepseek-v2-lite,4,decode,mixed_same_coarse,uniform_b16,16,512,64,"[64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64]",0,3,3465,227082240,"{""65536"":3465}","{""all_reduce:65536"":3465}",sglang_custom:all_reduce_one_shot_push,24345.76513671875,0.0215093114383764
deepseek-v2-lite-mixed-uniform_b4,deepseek-v2-lite,4,decode,mixed_same_coarse,uniform_b4,4,512,64,"[64,64,64,64]",0,3,3465,56770560,"{""16384"":3465}","{""all_reduce:16384"":3465}",sglang_custom:all_reduce_one_shot_push,22655.25,0.017561906611740105
deepseek-v2-lite-chunk-c1024-b1-l1023-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c1024,1,1023,8,[8],1024,3,55,230461440,"{""4190208"":55}","{""all_reduce:4190208"":55}",sglang_custom:all_reduce_two_shot,1416.82421875,0.0038986358134803023
deepseek-v2-lite-chunk-c1024-b1-l1024-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c1024,1,1024,8,[8],1024,3,55,230686720,"{""4194304"":55}","{""all_reduce:4194304"":55}",sglang_custom:all_reduce_two_shot,1391.728515625,0.01668707416165543
deepseek-v2-lite-chunk-c1024-b1-l1025-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c1024,1,1025,8,[8],1024,3,110,230912000,"{""4096"":55,""4194304"":55}","{""all_reduce:4096"":55,""all_reduce:4194304"":55}",sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,1740.849609375,0.02360585202762211
deepseek-v2-lite-chunk-c1024-b4-l1023-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c1024,4,1023,8,"[8,8,8,8]",1024,3,55,921845760,"{""16760832"":55}","{""all_reduce:16760832"":55}",sglang_custom:all_reduce_two_shot,3297.10693359375,0.0008841943139367417
deepseek-v2-lite-chunk-c1024-b4-l1024-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c1024,4,1024,8,"[8,8,8,8]",1024,3,55,922746880,"{""16777216"":55}","{""all_reduce:16777216"":55}",sglang_custom:all_reduce_two_shot,3298.1376953125,0.0009854786066829263
deepseek-v2-lite-chunk-c1024-b4-l1025-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c1024,4,1025,8,"[8,8,8,8]",1024,3,110,923648000,"{""16384"":55,""16777216"":55}","{""all_reduce:16384"":55,""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,3687.0244140625,0.009052941944578128
deepseek-v2-lite-chunk-c4096-b1-l4095-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c4096,1,4095,8,[8],4096,3,55,922521600,"{""16773120"":55}","{""all_reduce:16773120"":55}",sglang_custom:all_reduce_two_shot,3302.54541015625,0.0016465312252489904
deepseek-v2-lite-chunk-c4096-b1-l4096-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c4096,1,4096,8,[8],4096,3,55,922746880,"{""16777216"":55}","{""all_reduce:16777216"":55}",sglang_custom:all_reduce_two_shot,3291.53369140625,0.0003949674984397857
deepseek-v2-lite-chunk-c4096-b1-l4097-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c4096,1,4097,8,[8],4096,3,110,922972160,"{""4096"":55,""16777216"":55}","{""all_reduce:4096"":55,""all_reduce:16777216"":55}",sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,3668.40087890625,0.006191296685627425
deepseek-v2-lite-chunk-c4096-b4-l4095-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c4096,4,4095,8,"[8,8,8,8]",4096,3,55,3690086400,"{""67092480"":55}","{""all_reduce:67092480"":55}",nccl:all_reduce,14065.85107421875,0.0007620926999236258
deepseek-v2-lite-chunk-c4096-b4-l4096-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c4096,4,4096,8,"[8,8,8,8]",4096,3,55,3690987520,"{""67108864"":55}","{""all_reduce:67108864"":55}",nccl:all_reduce,14075.228515625,0.0029463609119356826
deepseek-v2-lite-chunk-c4096-b4-l4097-m8,deepseek-v2-lite,8,prefill,chunked_prefill,c4096,4,4097,8,"[8,8,8,8]",4096,3,110,3691888640,"{""16384"":55,""67108864"":55}","{""all_reduce:16384"":55,""all_reduce:67108864"":55}",nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,14437.13134765625,0.0013886819688476218
