parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
tp,h0_plus_dnn_residual,prefill,source,burstgpt,324,0.045581993907941244,0.04197631610899944,1.3564560108232337e-16,1.317023016814945e-16,0.3781709064276119,0.18908545321380596,0.01856147793822479,0.0009853925647596692,0.0006898934345249113,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,overall,all,324,0.10147061859618037,0.0848795872158198,1.1682673978561323e-16,1.0837265307263101e-16,0.35369728140538087,0.17684864070269044,0.017627190685415364,0.0966256292126944,0.0809217948162436,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,model,deepseek-v2-lite,108,0.1011701388857057,0.08439940991870148,1.2054544123699922e-16,1.2065398735607984e-16,0.3196817294413388,0.1598408647206694,0.015463821329825087,0.09747587524441875,0.0813937167919223,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,model,qwen3-30b-a3b,108,0.1009998934369244,0.08463067005452951,1.1215406257538694e-16,1.167565733315192e-16,0.3207610130163027,0.16038050650815136,0.015504428584520781,0.09729746083842447,0.08161674112371538,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,model,qwen3-8b,108,0.102241823465911,0.08557211757180153,1.177807155444535e-16,9.817598423220745e-17,0.4206491017585012,0.2103245508792506,0.021913322141900227,0.09510355155523996,0.0796867969974257,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,policy,balanced,108,0.09190822806150391,0.08576869550057376,1.249368576747815e-16,1.0198905843958562e-16,0.36500147000649946,0.18250073500324973,0.0162475240447532,0.08802827715297293,0.08109634185293665,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,policy,latency,108,0.08677554510065902,0.07580995547348736,1.1294714855849767e-16,1.1445933632739523e-16,0.256568673476304,0.128284336738152,0.011571596968550025,0.08455747052466342,0.07365618845859481,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,policy,throughput,108,0.1257280826263782,0.11500664863983223,1.1259621312356051e-16,1.0866956445091219e-16,0.4395217007333392,0.2197608503666696,0.025062451042942867,0.11729113996044685,0.10434127061001124,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,parallel_size,2,108,0.10147062478349375,0.08487959667511616,1.1682673978561323e-16,1.08372653072631e-16,0.35383064206075465,0.17691532103037733,0.01762586880865426,0.09662563515349233,0.08092180383446887,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,parallel_size,4,108,0.101470613162021,0.08487957727141211,1.1682673978561323e-16,1.08372653072631e-16,0.35365699105782794,0.17682849552891397,0.017624919778475398,0.09662562400127683,0.08092178533552692,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,parallel_size,8,108,0.10147061784302638,0.08487958770093111,1.1682673978561323e-16,1.08372653072631e-16,0.3536042110975601,0.17680210554878004,0.017630783469116434,0.09662562848331403,0.08092179527873497,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,decode,source,burstgpt,324,0.10147061859618037,0.0848795872158198,1.1682673978561323e-16,1.0837265307263101e-16,0.35369728140538087,0.17684864070269044,0.017627190685415364,0.0966256292126944,0.0809217948162436,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,overall,all,324,0.10013448000548966,0.08423161992275767,1.4076668706434782e-16,1.3050719568056363e-16,0.3548385143535096,0.1774192571767548,0.01831667794655756,0.060990121469937604,0.051972918582191385,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,model,deepseek-v2-lite,108,0.09983107771269084,0.08375268269326418,1.223134043022268e-16,1.2655692622453004e-16,0.32157916333084335,0.16078958166542168,0.016191862591709277,0.06600000074924185,0.05702751346899589,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,model,qwen3-30b-a3b,108,0.09967674909865024,0.0839830294502034,1.481054102345957e-16,1.287107341655137e-16,0.32263684468748044,0.16131842234374022,0.016227945015313282,0.0658926128720087,0.05718435743340959,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,model,qwen3-8b,108,0.10089561320512791,0.08492278188796187,1.5188124665622095e-16,1.3318885038632864e-16,0.42029953504220496,0.21014976752110248,0.022530226232650122,0.05107775078856226,0.04383625318453341,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,policy,balanced,108,0.09068937898458976,0.08511812905477419,1.2895957459914123e-16,1.1678910977095893e-16,0.36607488389793874,0.18303744194896937,0.016940441712238623,0.057099165183727235,0.04916238615285063,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,policy,latency,108,0.08525023218868145,0.07515243417706635,1.53694215626405e-16,1.6406089229729944e-16,0.25829745898873246,0.12914872949436623,0.012272514276648416,0.06217475583894986,0.054817843672441864,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,policy,throughput,108,0.12446382884319775,0.1144325380747053,1.3964627096749722e-16,1.106715849734325e-16,0.4401432001738576,0.2200716000869288,0.025737077850785644,0.06369644338713572,0.04979199242845249,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,parallel_size,2,108,0.10013448608845435,0.08423162928599408,1.4076668706434782e-16,1.3050719568056363e-16,0.354980052003905,0.1774900260019525,0.01831544826829051,0.060990125390625954,0.05197292435953159,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,parallel_size,4,108,0.10013447457937476,0.08423161005099306,1.4076668706434782e-16,1.3050719568056363e-16,0.35479948010884965,0.17739974005442483,0.018314431744247933,0.06099011797744019,0.05197291249107716,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,parallel_size,8,108,0.10013447934863987,0.08423162043128586,1.4076668706434782e-16,1.3050719568056363e-16,0.35473601094777407,0.17736800547388704,0.01832015382713424,0.06099012104174668,0.05197291889596541,phase34_blind_phase33_baseline_original_three
tp,h0_plus_dnn_residual,total,source,burstgpt,324,0.10013448000548966,0.08423161992275767,1.4076668706434782e-16,1.3050719568056363e-16,0.3548385143535096,0.1774192571767548,0.01831667794655756,0.060990121469937604,0.051972918582191385,phase34_blind_phase33_baseline_original_three
