candidate_id,model,alpha,strict_gate,composite_ratio,ratio_calls_histogram_wape,ratio_bytes_histogram_wape,ratio_mean_calls_histogram_tv,ratio_mean_normalized_log_payload_emd
pd48_causal_w64_d1,llama-3.2-3b-instruct,0.05,True,0.9877480317912154,0.9887642052104072,0.9860960605722638,0.9885929038373147,0.9875389575448758
pd48_causal_w64_d1,llama-3.2-3b-instruct,0.1,True,0.9763161318916254,0.9780891138699422,0.9733747592266759,0.9774874068412416,0.9763132476286416
pd48_causal_w64_d1,llama-3.2-3b-instruct,0.25,True,0.9472876930865395,0.9503682188572885,0.9407673393017371,0.9475599093144881,0.9504553048726441
pd48_causal_w64_d1,llama-3.2-3b-instruct,0.5,True,0.9106346935874898,0.9124271940614908,0.9047044503305762,0.9044298500679,0.9209772798899925
pd48_causal_w64_d1,llama-3.2-3b-instruct,0.75,True,0.8861251694590254,0.8820219547567404,0.893219534927458,0.8674269259718503,0.9018322621800529
pd48_causal_w64_d1,llama-3.2-3b-instruct,1.0,True,0.8737532076779563,0.8602781894188131,0.907920900482602,0.8378847978762626,0.8889289429341476
pd48_causal_w64_d1,qwen2.5-14b-instruct,0.05,True,0.985164414699361,0.9852782262504194,0.9898617996876746,0.9854075609128603,0.9801100719464897
pd48_causal_w64_d1,qwen2.5-14b-instruct,0.1,True,0.9714290751835866,0.9714370572913507,0.9807741320153469,0.9715041481919534,0.9620009632356952
pd48_causal_w64_d1,qwen2.5-14b-instruct,0.25,True,0.9358793695448595,0.9351586250354557,0.956923701120534,0.9340932355679249,0.9173419164555232
pd48_causal_w64_d1,qwen2.5-14b-instruct,0.5,True,0.8949741678192435,0.8902202326674131,0.9281705780676948,0.8862310134806973,0.8752748470611689
pd48_causal_w64_d1,qwen2.5-14b-instruct,0.75,True,0.8747088988181558,0.8648456121020698,0.9134886733687043,0.8572416545951005,0.8632596552067487
pd48_causal_w64_d1,qwen2.5-14b-instruct,1.0,True,0.8729572675670854,0.8579564051367348,0.9166255746839375,0.8460742802035685,0.8711728102441005
pd48_causal_w64_d1,mixtral-8x7b-instruct-v0.1,0.05,True,0.9887942915602241,0.9887050669090001,0.9896584069204326,0.9884343787976522,0.9883793136138116
pd48_causal_w64_d1,mixtral-8x7b-instruct-v0.1,0.1,True,0.9788460327459501,0.9787093914554632,0.9801193480860773,0.9777007984895902,0.9788545929526692
