model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
qwen3-30b-a3b,P2D1,L3,qwen3-30b-a3b__ext_09__p128_p2048,128,2048,12582912,201326592,391.595,4894.7135,4894.7135,5002.645717396725,4827.948,4837.551,57.162499999999454,165.09471739672426,9.603000000000065,57.162499999999454,165.09471739672426,0.0013856184668648308
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_00__p2_p2,2,2,229376,229376,82.3665,82.3665,82.3665,40.617160695555654,62.8345,65.07,17.29650000000001,24.45283930444434,2.2354999999999947,17.29650000000001,-24.45283930444434,0.0012371292454280113
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_01__p8_p8,8,8,917504,917504,91.549,91.549,91.549,57.38973118504974,73.17,73.1525,18.396500000000003,15.762768814950263,0.017499999999998295,18.396500000000003,-15.762768814950263,0.0004306072929837543
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_02__p32_p32,32,32,3670016,3670016,145.4905,145.4905,145.4905,155.91819413730076,125.0765,177.168,31.67750000000001,21.249805862699247,52.09150000000001,-31.67750000000001,-21.249805862699247,0.05804659983744238
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_03__p128_p128,128,128,14680064,14680064,439.087,439.087,439.087,692.1956775806714,397.104,664.0319999999999,224.94499999999994,28.163677580671447,266.92799999999994,-224.94499999999994,28.163677580671447,0.014784679051611795
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_04__p512_p512,512,512,58720256,58720256,1431.1625,1431.1625,1431.1625,2504.3009054216827,1464.541,2588.283,1157.1205,83.98209457831717,1123.742,-1157.1205,-83.98209457831717,0.015104607958248693
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_05__p2048_p2048,2048,2048,234881024,234881024,5557.11,5557.11,5557.11,10040.67392798655,5624.828,10240.201,4683.090999999999,199.52707201344856,4615.372999999999,-4683.090999999999,-199.52707201344856,0.0005251850036926807
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_06__p2_p32,2,32,229376,3670016,82.3665,145.4905,145.4905,102.25638360154045,116.7995,121.05199999999999,24.438500000000005,18.795616398459543,4.252499999999998,24.438500000000005,-18.795616398459543,0.00493176486138172
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_07__p8_p128,8,128,917504,14680064,91.549,439.087,439.087,396.7530834805339,380.155,384.913,54.17399999999998,11.840083480533906,4.758000000000038,54.17399999999998,11.840083480533906,0.0011288265140434698
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_08__p32_p512,32,512,3670016,58720256,145.4905,1431.1625,1431.1625,1411.3491394510213,1406.349,1410.3455,20.817000000000007,1.0036394510213995,3.996499999999969,20.817000000000007,1.0036394510213995,0.002364314276182634
llama-3.2-3b-instruct,P1D2,L1,llama-3.2-3b-instruct__ext_09__p128_p2048,128,2048,14680064,234881024,439.087,5557.11,5557.11,5689.834618949359,5520.519,5505.102,52.00799999999981,184.73261894935877,15.417000000000371,52.00799999999981,184.73261894935877,0.005985901805270733
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_00__p2_p2,2,2,229376,229376,77.029,77.029,77.029,30.867790155106448,60.143,62.447,14.581999999999994,31.579209844893555,2.304000000000002,14.581999999999994,-31.579209844893555,0.008447163194388896
