scope,model,samples,mape,median_ape,p95_ape,mae_us,rmse_us,r2
test_qwen3-8b_prefill,three_hard_bins,6,0.0666573080476174,0.0679240719303457,0.11198725084690729,288.31937253953953,333.6263490857468,0.9974723049253776
test_qwen3-8b_prefill,continuous_histogram,6,0.03439189234667751,0.0330802711211137,0.05668000559447248,329.37864834915916,565.2441541616972,0.9927443528344594
test_qwen3-8b_prefill,continuous_histogram_dnn_residual,6,0.005705912489612364,0.005074921420876826,0.011137116644106654,38.55388493915132,48.4346854162659,0.9999467257967909
test_qwen3-8b_decode,total_bytes_only,1,0.23832033626069057,0.23832033626069057,0.23832033626069057,6049.328965796696,6049.328965796696,
test_qwen3-8b_decode,three_hard_bins,1,0.10013502662966633,0.10013502662966633,0.10013502662966633,2541.7458139999217,2541.7458139999217,
test_qwen3-8b_decode,continuous_histogram,1,0.13432038069888366,0.13432038069888366,0.13432038069888366,3409.4789492482814,3409.4789492482814,
test_qwen3-8b_decode,continuous_histogram_dnn_residual,1,0.19757848188940824,0.19757848188940824,0.19757848188940824,5015.170976447127,5015.170976447127,
test_deepseek-v2-lite,total_bytes_only,7,0.16587046938465963,0.17557053766242978,0.313414334682444,994.7235838824474,1562.7320268848462,0.9584368630153464
test_deepseek-v2-lite,three_hard_bins,7,0.0834101565713519,0.04977415188716422,0.22074872456107703,976.2808155980275,2188.564459170515,0.9184811625231266
test_deepseek-v2-lite,continuous_histogram,7,0.020086889719568037,0.02024383550787671,0.03505664884289576,170.85167260621682,253.50888020804172,0.9989062309077497
test_deepseek-v2-lite,continuous_histogram_dnn_residual,7,0.02997663783725458,0.004104455955967688,0.1315664483847333,601.429047186755,1536.343255972168,0.959828707081552
test_deepseek-v2-lite_prefill,total_bytes_only,6,0.16425379133836462,0.16100686533214048,0.3191210554018345,513.5438039287613,581.167058775676,0.9892334080970484
test_deepseek-v2-lite_prefill,three_hard_bins,6,0.05390322338970004,0.02999274352338141,0.12710466742377968,179.2449744669964,247.79902693990866,0.9980426185638341
test_deepseek-v2-lite_prefill,continuous_histogram,6,0.01982458916339175,0.01580429716897907,0.0356947512437291,119.50857898074958,191.70822180096806,0.9988284583051705
test_deepseek-v2-lite_prefill,continuous_histogram_dnn_residual,6,0.004338322934887485,0.0029880894773462855,0.009523355078251592,24.351043417461636,34.628522079992365,0.9999617752912529
test_deepseek-v2-lite_decode,total_bytes_only,1,0.17557053766242978,0.17557053766242978,0.17557053766242978,3881.8022636045644,3881.8022636045644,
test_deepseek-v2-lite_decode,three_hard_bins,1,0.260451755661263,0.260451755661263,0.260451755661263,5758.495862384214,5758.495862384214,
test_deepseek-v2-lite_decode,continuous_histogram,1,0.021660693056625734,0.021660693056625734,0.021660693056625734,478.91023435902025,478.91023435902025,
test_deepseek-v2-lite_decode,continuous_histogram_dnn_residual,1,0.18380652725145716,0.18380652725145716,0.18380652725145716,4063.897069802515,4063.897069802515,
test_qwen3-30b-a3b,total_bytes_only,7,0.17807655824507138,0.14931805150636807,0.29402638932496117,2788.5396328506513,5133.133452484173,0.8788641166102897
test_qwen3-30b-a3b,three_hard_bins,7,0.12191886128583582,0.12045552243305592,0.23284036363167698,2178.477997963252,4511.288467756914,0.9064359748970694
test_qwen3-30b-a3b,continuous_histogram,7,0.044385156680475366,0.012575410292245915,0.12461906931055719,823.5031646956196,1629.444084732998,0.9877936273580746
test_qwen3-30b-a3b,continuous_histogram_dnn_residual,7,0.03507678620565942,0.008972540470467805,0.14155753335154111,1280.8725214839667,3099.910526657069,0.9558220033492683
test_qwen3-30b-a3b_prefill,total_bytes_only,6,0.1555152750793851,0.14929971401444556,0.24765886612738325,1044.5884498875494,1212.529716310121,0.9844665458183295
test_qwen3-30b-a3b_prefill,three_hard_bins,6,0.09558901220891984,0.11857739133071454,0.12302846217576713,569.2363326691025,635.1133506632568,0.9957382718516762
test_qwen3-30b-a3b_prefill,continuous_histogram,6,0.03549940631888785,0.012569643143243898,0.11215337892244384,272.3059300757221,503.82613028866115,0.9973180873142389
test_qwen3-30b-a3b_prefill,continuous_histogram_dnn_residual,6,0.008688343812994659,0.006398400092144495,0.019530909905517264,131.49165826063913,258.26628661486825,0.9992952765950918
test_qwen3-30b-a3b_decode,total_bytes_only,1,0.31344425723918906,0.31344425723918906,0.31344425723918906,13252.246730629264,13252.246730629264,
test_qwen3-30b-a3b_decode,three_hard_bins,1,0.2798979557473317,0.2798979557473317,0.2798979557473317,11833.927989728152,11833.927989728152,
test_qwen3-30b-a3b_decode,continuous_histogram,1,0.09769965885000045,0.09769965885000045,0.09769965885000045,4130.686572415005,4130.686572415005,
test_qwen3-30b-a3b_decode,continuous_histogram_dnn_residual,1,0.19340744056164796,0.19340744056164796,0.19340744056164796,8177.157700823933,8177.157700823933,
