round,stage,candidate_id,family,duration_seconds,oof_target,oof_protection,violation_score,oof_score,oof_calls_histogram_wape,oof_bytes_histogram_wape,selected
10,blend,p59_r010_blend_3,oof_blend,0.0,False,True,2.4152715863883274,0.12324657891492784,0.1985689136536616,0.18131454191310853,False
11,train,p59_r011_train_0,metric_shape_mlp,217.0874665840238,False,True,2.46758043559463,0.1269639778709969,0.20325007476628376,0.18869696777990133,False
11,train,p59_r011_train_1,metric_shape_mlp,148.84038004197646,False,True,2.6370788290873994,0.1299434580798504,0.20924855597452163,0.19150061877692393,False
11,train,p59_r011_train_2,metric_shape_mlp,180.06094758299878,False,True,2.6709764547438786,0.1332290030814101,0.21348927668111473,0.19819921971519514,False
11,train,p59_r011_train_3,metric_shape_mlp,188.79165608301992,False,True,2.569800527816413,0.12878059959744462,0.20740763698157547,0.18964779175625657,False
11,blend,p59_r011_blend_0,oof_blend,0.0,False,True,2.4090017783271023,0.12441468819594814,0.19925613012376714,0.18473591856949365,False
11,blend,p59_r011_blend_1,oof_blend,0.0,False,True,2.4055859694948336,0.1236685252416997,0.19857311220770058,0.18283810574638598,False
11,blend,p59_r011_blend_2,oof_blend,0.0,False,True,2.4585387803678267,0.12507620524823093,0.20130672344888337,0.1842736218849836,False
11,blend,p59_r011_blend_3,oof_blend,0.0,False,True,2.3924831763541037,0.1227956593995066,0.19695171207899484,0.18186755182828962,False
12,train,p59_r012_train_0,metric_shape_mlp,174.4051725419995,False,True,2.9056001832572553,0.1357501044008509,0.22050688504082902,0.19691751967374005,False
12,train,p59_r012_train_1,metric_shape_mlp,186.95171537500573,False,True,2.4847581685701474,0.12761995894775302,0.20479967910938426,0.1892430873937794,False
12,train,p59_r012_train_2,metric_shape_mlp,132.26777179099736,False,True,2.8700288520599107,0.1342973494237137,0.21937466034665637,0.19285535548136215,False
12,train,p59_r012_train_3,metric_shape_mlp,193.8898117080098,False,True,2.523012882545178,0.12859656132218997,0.20590772989710407,0.1913863847248216,False
12,blend,p59_r012_blend_0,oof_blend,0.0,False,True,2.415324335379044,0.12503664919168783,0.20012634310083097,0.18609071227502103,False
12,blend,p59_r012_blend_1,oof_blend,0.0,False,True,2.4000636781309126,0.12426408427099672,0.1988656521694343,0.1849413901898462,False
12,blend,p59_r012_blend_2,oof_blend,0.0,False,True,2.4362833815245293,0.1255349812074343,0.20082371145235856,0.18702775027947605,False
12,blend,p59_r012_blend_3,oof_blend,0.0,False,True,2.427213935143568,0.12414586516313313,0.19932549274442718,0.18372586641309818,False
13,train,p59_r013_train_0,metric_shape_mlp,151.61914779199287,False,True,2.537462027259677,0.1280102512402786,0.20678032030172544,0.18751799022327498,False
13,train,p59_r013_train_1,metric_shape_mlp,238.26608154099085,False,True,2.5121839488619067,0.1300296328536307,0.20856908818018846,0.19296813549010347,False
13,train,p59_r013_train_2,metric_shape_mlp,169.30663808400277,False,True,2.545503709246496,0.12725007488875897,0.20547672973050607,0.18656749777262227,False
13,train,p59_r013_train_3,metric_shape_mlp,167.69510674997582,False,True,2.622560234166785,0.13178600944830604,0.21164835606104176,0.1954112258808629,False
