curve_id,topology_category,phase,slice_type,slice_value,cases,physical_cost_mape,phase35_proxy_cost_mape,physical_minus_proxy_cost_mape,physical_cost_wape,phase35_proxy_cost_wape,physical_minus_proxy_cost_wape,physical_signed_bias,phase35_proxy_signed_bias,physical_minus_proxy_signed_bias,physical_evidence,proxy_evidence
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,model,qwen2.5-14b-instruct,108,0.12556993293776128,0.02024591124822239,0.10532402168953889,0.09776935236729105,0.01099855126836041,0.08677080109893064,-0.07053855913181087,-0.0075223594604855335,-0.06301619967132534,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,model,qwen3-30b-a3b,108,0.1439996815786461,0.04270951791006983,0.10129016366857627,0.11574928105568176,0.025796702532150367,0.08995257852353139,-0.08770733927734735,-0.018252619717010882,-0.06945471956033647,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,model,qwen3-8b,108,0.13893658400100686,0.024483920870012048,0.11445266313099481,0.1118556278017235,0.013582726663773973,0.09827290113794954,-0.0838708069856811,-0.009764265100275591,-0.07410654188540551,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,overall,all,648,0.13857556650831426,0.030929882308053526,0.10764568420026074,0.11054119190806636,0.016200797920165034,0.09434039398790132,-0.08366109594621039,-0.011511430884697079,-0.07214966506151331,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,policy,mb1,216,0.016042740287104573,0.0025369360325386285,0.013505804254565944,0.019851397516776302,0.002303278609892864,0.017548118906883438,-0.01697775242616862,-0.002145666448256254,-0.014832085977912366,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,policy,mb16,216,0.2357126953997506,0.04647614753882564,0.18923654786092495,0.20236193059605698,0.022744718674759794,0.17961721192129718,-0.15674736325090316,-0.018306949320775444,-0.1384404139301277,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,policy,mb4,216,0.16397126383808763,0.043776563352796324,0.12019470048529131,0.15353708801208207,0.024300427859163982,0.1292366601529181,-0.11125072747525706,-0.014688821578007966,-0.0965619058972491,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,total,model,deepseek-v2-lite,108,0.1398902630582188,0.10371729630529077,0.03617296675292804,0.04467939050529705,0.04146106566380663,0.0032183248414904136,0.011338144599463123,0.011847483745548223,-0.0005093391460850999,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,total,model,llama-3.2-3b-instruct,108,0.13569833852430802,0.09122138495294364,0.04447695357136437,0.04491996112816007,0.03994220233971321,0.004977758788446855,0.012112282165835798,0.012100355837308252,1.192632852754609e-05,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,total,model,mixtral-8x7b-instruct-v0.1,108,0.13399878553273978,0.08233783895675822,0.05166094657598155,0.044971444497674914,0.03855094070608528,0.006420503791589635,0.01296172804335996,0.01209197398346749,0.0008697540598924698,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
